method,n_real,n_syn,seed,class,f1
noise_aug,2,20,5,worn,0.7157894736842105
rule,2,20,5,healthy,0.7981220657276995
rule,2,20,5,worn,0.7794871794871795
random_open_loop,2,20,5,healthy,0.7887323943661971
random_open_loop,2,20,5,worn,0.7692307692307693
LLM_synthetic,2,20,5,healthy,0.7443946188340808
LLM_synthetic,2,20,5,worn,0.6918918918918919
real_only,2,40,5,healthy,0.7289719626168224
real_only,2,40,5,worn,0.7010309278350515
noise_aug,2,40,5,healthy,0.7420814479638009
noise_aug,2,40,5,worn,0.6951871657754011
rule,2,40,5,healthy,0.7685185185185185
rule,2,40,5,worn,0.7395833333333334
random_open_loop,2,40,5,healthy,0.776255707762557
random_open_loop,2,40,5,worn,0.7407407407407407
LLM_synthetic,2,40,5,healthy,0.7443946188340808
LLM_synthetic,2,40,5,worn,0.6918918918918919
real_only,2,10,6,healthy,0.6946107784431138
real_only,2,10,6,worn,0.7883817427385892
noise_aug,2,10,6,healthy,0.7251461988304093
noise_aug,2,10,6,worn,0.8016877637130801
rule,2,10,6,healthy,0.8148148148148148
rule,2,10,6,worn,0.8401826484018264
random_open_loop,2,10,6,healthy,0.8105263157894737
random_open_loop,2,10,6,worn,0.8348623853211009
LLM_synthetic,2,10,6,healthy,0.8042328042328042
LLM_synthetic,2,10,6,worn,0.8310502283105022
real_only,2,20,6,healthy,0.7100591715976331
real_only,2,20,6,worn,0.7949790794979079
noise_aug,2,20,6,healthy,0.7176470588235294
noise_aug,2,20,6,worn,0.7983193277310925
rule,2,20,6,healthy,0.8105263157894737
rule,2,20,6,worn,0.8348623853211009
random_open_loop,2,20,6,healthy,0.8105263157894737
random_open_loop,2,20,6,worn,0.8348623853211009
LLM_synthetic,2,20,6,healthy,0.8105263157894737
LLM_synthetic,2,20,6,worn,0.8348623853211009
real_only,2,40,6,healthy,0.7251461988304093
real_only,2,40,6,worn,0.8016877637130801
noise_aug,2,40,6,healthy,0.48951048951048953
noise_aug,2,40,6,worn,0.7245283018867924
rule,2,40,6,healthy,0.8105263157894737
rule,2,40,6,worn,0.8348623853211009
random_open_loop,2,40,6,healthy,0.8105263157894737
random_open_loop,2,40,6,worn,0.8348623853211009
LLM_synthetic,2,40,6,healthy,0.8105263157894737
LLM_synthetic,2,40,6,worn,0.8348623853211009
real_only,2,10,7,healthy,0.6575342465753424
real_only,2,10,7,worn,0.13793103448275862
noise_aug,2,10,7,healthy,0.7007299270072993
noise_aug,2,10,7,worn,0.3880597014925373
rule,2,10,7,healthy,0.6857142857142857
rule,2,10,7,worn,0.3125
random_open_loop,2,10,7,healthy,0.7058823529411765
random_open_loop,2,10,7,worn,0.4117647058823529
LLM_synthetic,2,10,7,healthy,0.6981818181818182
LLM_synthetic,2,10,7,worn,0.37593984962406013
real_only,2,20,7,healthy,0.6666666666666666
real_only,2,20,7,worn,0.2
noise_aug,2,20,7,healthy,0.6906474820143885
noise_aug,2,20,7,worn,0.3384615384615385
rule,2,20,7,healthy,0.7084870848708487
rule,2,20,7,worn,0.4233576642335766
random_open_loop,2,20,7,healthy,0.7137546468401487
random_open_loop,2,20,7,worn,0.4460431654676259
LLM_synthetic,2,20,7,healthy,0.6956521739130435
LLM_synthetic,2,20,7,worn,0.36363636363636365
real_only,2,40,7,healthy,0.6666666666666666
real_only,2,40,7,worn,0.2
noise_aug,2,40,7,healthy,0.6981818181818182
noise_aug,2,40,7,worn,0.37593984962406013
rule,2,40,7,healthy,0.6956521739130435
rule,2,40,7,worn,0.36363636363636365
random_open_loop,2,40,7,healthy,0.7300380228136882
random_open_loop,2,40,7,worn,0.5103448275862069
LLM_synthetic,2,40,7,healthy,0.6981818181818182
LLM_synthetic,2,40,7,worn,0.37593984962406013
real_only,2,10,8,healthy,0.7741935483870968
real_only,2,10,8,worn,0.65
noise_aug,2,10,8,healthy,0.75
noise_aug,2,10,8,worn,0.5789473684210527
rule,2,10,8,healthy,0.803347280334728
rule,2,10,8,worn,0.7218934911242604
random_open_loop,2,10,8,healthy,0.7836734693877551
random_open_loop,2,10,8,worn,0.6748466257668712
LLM_synthetic,2,10,8,healthy,0.7710843373493976
LLM_synthetic,2,10,8,worn,0.6415094339622641
real_only,2,20,8,healthy,0.7741935483870968
real_only,2,20,8,worn,0.65
noise_aug,2,20,8,healthy,0.7619047619047619
noise_aug,2,20,8,worn,0.6153846153846154
rule,2,20,8,healthy,0.7804878048780488
rule,2,20,8,worn,0.6666666666666666
random_open_loop,2,20,8,healthy,0.7933884297520661
random_open_loop,2,20,8,worn,0.6987951807228916
LLM_synthetic,2,20,8,healthy,0.7773279352226721
LLM_synthetic,2,20,8,worn,0.6583850931677019
real_only,2,40,8,healthy,0.7741935483870968
real_only,2,40,8,worn,0.65
noise_aug,2,40,8,healthy,0.7441860465116279
noise_aug,2,40,8,worn,0.56
rule,2,40,8,healthy,0.7868852459016393
rule,2,40,8,worn,0.6829268292682927
random_open_loop,2,40,8,healthy,0.7836734693877551
random_open_loop,2,40,8,worn,0.6748466257668712
LLM_synthetic,2,40,8,healthy,0.7804878048780488
LLM_synthetic,2,40,8,worn,0.6666666666666666
real_only,2,10,9,healthy,0.8133971291866029
real_only,2,10,9,worn,0.8040201005025126
noise_aug,2,10,9,healthy,0.832579185520362
noise_aug,2,10,9,worn,0.8021390374331551
rule,2,10,9,healthy,0.8407079646017699
rule,2,10,9,worn,0.8021978021978022
random_open_loop,2,10,9,healthy,0.8235294117647058
random_open_loop,2,10,9,worn,0.7914438502673797
LLM_synthetic,2,10,9,healthy,0.8186046511627907
LLM_synthetic,2,10,9,worn,0.7979274611398963
real_only,2,20,9,healthy,0.7981220657276995
real_only,2,20,9,worn,0.7794871794871795
noise_aug,2,20,9,healthy,0.8340807174887892
noise_aug,2,20,9,worn,0.8
rule,2,20,9,healthy,0.8333333333333334
rule,2,20,9,worn,0.7888888888888889
random_open_loop,2,20,9,healthy,0.8240343347639485
random_open_loop,2,20,9,worn,0.7657142857142857
LLM_synthetic,2,20,9,healthy,0.8177777777777778
LLM_synthetic,2,20,9,worn,0.7759562841530054
real_only,2,40,9,healthy,0.8252427184466019
real_only,2,40,9,worn,0.8217821782178217
noise_aug,2,40,9,healthy,0.8186046511627907
noise_aug,2,40,9,worn,0.7979274611398963
rule,2,40,9,healthy,0.8311688311688312
rule,2,40,9,worn,0.7796610169491526
random_open_loop,2,40,9,healthy,0.8173913043478261
random_open_loop,2,40,9,worn,0.7640449438202247
LLM_synthetic,2,40,9,healthy,0.8105726872246696
LLM_synthetic,2,40,9,worn,0.7624309392265194
real_only,2,10,10,healthy,0.04081632653061224
real_only,2,10,10,worn,0.6967741935483871
noise_aug,2,10,10,healthy,0.0
noise_aug,2,10,10,worn,0.6923076923076923
rule,2,10,10,healthy,0.8220858895705522
rule,2,10,10,worn,0.8816326530612245
random_open_loop,2,10,10,healthy,0.7612903225806451
random_open_loop,2,10,10,worn,0.8537549407114624
LLM_synthetic,2,10,10,healthy,0.7848101265822784
LLM_synthetic,2,10,10,worn,0.864
real_only,2,20,10,healthy,0.2857142857142857
real_only,2,20,10,worn,0.7297297297297297
noise_aug,2,20,10,healthy,0.0
noise_aug,2,20,10,worn,0.6923076923076923
rule,2,20,10,healthy,0.8402366863905325
rule,2,20,10,worn,0.8870292887029289
random_open_loop,2,20,10,healthy,0.8444444444444444
random_open_loop,2,20,10,worn,0.8771929824561403
LLM_synthetic,2,20,10,healthy,0.8457142857142858
LLM_synthetic,2,20,10,worn,0.8841201716738197
real_only,2,40,10,healthy,0.13592233009708737
real_only,2,40,10,worn,0.7081967213114754
