n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
20,True,10,macro_f1,LLM_synthetic>noise_aug,0.02969468541512387,0.009484554575843046,0.004075897354943847,0.6,0.5339103513520098,0.0890840562453716
20,True,10,macro_f1,LLM_synthetic>rule,0.10553211593853046,0.0031688755109630317,0.007971581577421505,0.7,0.1944193328939491,0.19771487587658698
20,True,10,macro_f1,LLM_synthetic>random_open_loop,0.09885743793829349,0.005017462910948322,0.003639435756224274,0.6,0.2696972510797486,0.19771487587658698
20,True,10,macro_f1,LLM_synthetic>real_only,0.015911434367317616,0.010553787947040432,0.010115317690385706,0.65,0.555378016271516,
40,False,2,acc,LLM_synthetic>noise_aug,0.008849290056967307,0.056372549019607844,0.017156862745098034,0.7,0.5868971393867762,0.02654787017090192
40,False,2,acc,LLM_synthetic>rule,0.9995632859096816,-0.017156862745098023,-0.01225490196078427,0.1,-0.9233439784134265,1.0
40,False,2,acc,LLM_synthetic>random_open_loop,0.9928101633758347,-0.016666666666666656,-0.009803921568627416,0.2,-0.6874207824519888,1.0
40,False,2,acc,LLM_synthetic>real_only,0.0020050003973048117,0.04803921568627452,0.024509803921568707,0.8,0.5852661077416538,
40,False,2,macro_f1,LLM_synthetic>noise_aug,0.011953313559440785,0.06680050362469528,0.0108252513155217,0.7,0.5046386612838643,0.035859940678322356
40,False,2,macro_f1,LLM_synthetic>rule,0.9994210943248623,-0.01878112815639078,-0.01396462633216311,0.15,-0.8923061770718785,1.0
40,False,2,macro_f1,LLM_synthetic>random_open_loop,0.9952683425208125,-0.020011706307237215,-0.01046749328610208,0.2,-0.6748578258297135,1.0
40,False,2,macro_f1,LLM_synthetic>real_only,0.0031948089599609375,0.05683017231913821,0.024152770330456597,0.8,0.5163779735982473,
40,False,5,acc,LLM_synthetic>noise_aug,0.046310704962665976,0.020588235294117647,0.004901960784313708,0.55,0.49841135107137696,0.13893211488799792
40,False,5,acc,LLM_synthetic>rule,0.9203565331941956,-0.005637254901960792,-0.004901960784313708,0.3,-0.3330370933854838,1.0
40,False,5,acc,LLM_synthetic>random_open_loop,0.9791808056155739,-0.01029411764705881,-0.009803921568627416,0.3,-0.44256361415939816,1.0
40,False,5,acc,LLM_synthetic>real_only,0.1049145784491789,0.01862745098039214,0.004901960784313708,0.6,0.408864724745944,
40,False,5,macro_f1,LLM_synthetic>noise_aug,0.05699348449707031,0.022300147325112058,0.005527394401514396,0.55,0.5058733082171736,0.17098045349121094
40,False,5,macro_f1,LLM_synthetic>rule,0.9135023870513161,-0.005689542478663273,-0.005488181495791611,0.3,-0.3051440127767704,1.0
40,False,5,macro_f1,LLM_synthetic>random_open_loop,0.9880247116088867,-0.012606968255011019,-0.01086884588654724,0.3,-0.4852401734429795,1.0
40,False,5,macro_f1,LLM_synthetic>real_only,0.08247852325439453,0.02109845154702154,0.005771518915720031,0.6,0.4204180221320011,
40,False,10,acc,LLM_synthetic>noise_aug,0.0907454817669015,0.0036764705882352975,0.004901960784313708,0.55,0.2987447643449033,0.2722364453007045
40,False,10,acc,LLM_synthetic>rule,0.1794740283653164,0.0024509803921568653,0.0,0.45,0.20149017492576604,0.3589480567306328
40,False,10,acc,LLM_synthetic>random_open_loop,0.8881017778365241,-0.004656862745098045,-0.0024509803921569095,0.35,-0.3130714266617498,0.8881017778365241
40,False,10,acc,LLM_synthetic>real_only,0.022613461255256123,0.008088235294117641,0.009803921568627416,0.7,0.4472892633913215,
40,False,10,macro_f1,LLM_synthetic>noise_aug,0.10808372497558594,0.0039054497926118426,0.005160261523556198,0.6,0.2973073723644839,0.3242511749267578
40,False,10,macro_f1,LLM_synthetic>rule,0.16123326428023937,0.0029286599963351035,0.0010882138424307963,0.55,0.21837316168431464,0.3242511749267578
40,False,10,macro_f1,LLM_synthetic>random_open_loop,0.8802188539706681,-0.005301104854705691,-0.003656859105595267,0.4,-0.32309033739274606,0.8802188539706681
40,False,10,macro_f1,LLM_synthetic>real_only,0.020944033245176054,0.00910601381587609,0.011682960870797343,0.7,0.4563261939525805,
