baseline,n_real,seed,actual,predicted,n
noise_aug,2,11,worn,worn,4
random_open_loop,2,11,healthy,healthy,8
random_open_loop,2,11,healthy,worn,0
random_open_loop,2,11,worn,healthy,7
random_open_loop,2,11,worn,worn,2
rule,2,11,healthy,healthy,8
rule,2,11,healthy,worn,0
rule,2,11,worn,healthy,5
rule,2,11,worn,worn,4
majority,2,12,healthy,healthy,8
majority,2,12,healthy,worn,0
majority,2,12,worn,healthy,9
majority,2,12,worn,worn,0
metadata_safe,2,12,healthy,healthy,4
metadata_safe,2,12,healthy,worn,4
metadata_safe,2,12,worn,healthy,4
metadata_safe,2,12,worn,worn,5
metadata_leaky_diagnostic,2,12,healthy,healthy,4
metadata_leaky_diagnostic,2,12,healthy,worn,4
metadata_leaky_diagnostic,2,12,worn,healthy,0
metadata_leaky_diagnostic,2,12,worn,worn,9
real_only,2,12,healthy,healthy,6
real_only,2,12,healthy,worn,2
real_only,2,12,worn,healthy,1
real_only,2,12,worn,worn,8
noise_aug,2,12,healthy,healthy,6
noise_aug,2,12,healthy,worn,2
noise_aug,2,12,worn,healthy,1
noise_aug,2,12,worn,worn,8
random_open_loop,2,12,healthy,healthy,4
random_open_loop,2,12,healthy,worn,4
random_open_loop,2,12,worn,healthy,4
random_open_loop,2,12,worn,worn,5
rule,2,12,healthy,healthy,8
rule,2,12,healthy,worn,0
rule,2,12,worn,healthy,6
rule,2,12,worn,worn,3
majority,2,13,healthy,healthy,8
majority,2,13,healthy,worn,0
majority,2,13,worn,healthy,9
majority,2,13,worn,worn,0
metadata_safe,2,13,healthy,healthy,4
metadata_safe,2,13,healthy,worn,4
metadata_safe,2,13,worn,healthy,5
metadata_safe,2,13,worn,worn,4
metadata_leaky_diagnostic,2,13,healthy,healthy,2
metadata_leaky_diagnostic,2,13,healthy,worn,6
metadata_leaky_diagnostic,2,13,worn,healthy,0
metadata_leaky_diagnostic,2,13,worn,worn,9
real_only,2,13,healthy,healthy,7
real_only,2,13,healthy,worn,1
real_only,2,13,worn,healthy,5
real_only,2,13,worn,worn,4
noise_aug,2,13,healthy,healthy,8
noise_aug,2,13,healthy,worn,0
noise_aug,2,13,worn,healthy,5
noise_aug,2,13,worn,worn,4
random_open_loop,2,13,healthy,healthy,8
random_open_loop,2,13,healthy,worn,0
random_open_loop,2,13,worn,healthy,5
random_open_loop,2,13,worn,worn,4
rule,2,13,healthy,healthy,8
rule,2,13,healthy,worn,0
rule,2,13,worn,healthy,5
rule,2,13,worn,worn,4
majority,2,14,healthy,healthy,8
majority,2,14,healthy,worn,0
majority,2,14,worn,healthy,9
majority,2,14,worn,worn,0
metadata_safe,2,14,healthy,healthy,8
metadata_safe,2,14,healthy,worn,0
metadata_safe,2,14,worn,healthy,9
metadata_safe,2,14,worn,worn,0
metadata_leaky_diagnostic,2,14,healthy,healthy,6
metadata_leaky_diagnostic,2,14,healthy,worn,2
metadata_leaky_diagnostic,2,14,worn,healthy,3
metadata_leaky_diagnostic,2,14,worn,worn,6
real_only,2,14,healthy,healthy,8
real_only,2,14,healthy,worn,0
real_only,2,14,worn,healthy,4
real_only,2,14,worn,worn,5
noise_aug,2,14,healthy,healthy,8
noise_aug,2,14,healthy,worn,0
noise_aug,2,14,worn,healthy,5
noise_aug,2,14,worn,worn,4
random_open_loop,2,14,healthy,healthy,8
random_open_loop,2,14,healthy,worn,0
random_open_loop,2,14,worn,healthy,4
random_open_loop,2,14,worn,worn,5
rule,2,14,healthy,healthy,8
rule,2,14,healthy,worn,0
rule,2,14,worn,healthy,5
rule,2,14,worn,worn,4
majority,2,15,healthy,healthy,8
majority,2,15,healthy,worn,0
majority,2,15,worn,healthy,9
majority,2,15,worn,worn,0
metadata_safe,2,15,healthy,healthy,4
metadata_safe,2,15,healthy,worn,4
metadata_safe,2,15,worn,healthy,5
metadata_safe,2,15,worn,worn,4
metadata_leaky_diagnostic,2,15,healthy,healthy,8
metadata_leaky_diagnostic,2,15,healthy,worn,0
metadata_leaky_diagnostic,2,15,worn,healthy,5
metadata_leaky_diagnostic,2,15,worn,worn,4
real_only,2,15,healthy,healthy,8
real_only,2,15,healthy,worn,0
real_only,2,15,worn,healthy,9
real_only,2,15,worn,worn,0
noise_aug,2,15,healthy,healthy,8
noise_aug,2,15,healthy,worn,0
noise_aug,2,15,worn,healthy,9
noise_aug,2,15,worn,worn,0
random_open_loop,2,15,healthy,healthy,8
random_open_loop,2,15,healthy,worn,0
random_open_loop,2,15,worn,healthy,6
random_open_loop,2,15,worn,worn,3
rule,2,15,healthy,healthy,8
rule,2,15,healthy,worn,0
rule,2,15,worn,healthy,9
rule,2,15,worn,worn,0
majority,2,16,healthy,healthy,8
majority,2,16,healthy,worn,0
majority,2,16,worn,healthy,9
majority,2,16,worn,worn,0
metadata_safe,2,16,healthy,healthy,4
metadata_safe,2,16,healthy,worn,4
metadata_safe,2,16,worn,healthy,5
metadata_safe,2,16,worn,worn,4
metadata_leaky_diagnostic,2,16,healthy,healthy,7
metadata_leaky_diagnostic,2,16,healthy,worn,1
metadata_leaky_diagnostic,2,16,worn,healthy,4
metadata_leaky_diagnostic,2,16,worn,worn,5
real_only,2,16,healthy,healthy,8
real_only,2,16,healthy,worn,0
real_only,2,16,worn,healthy,9
real_only,2,16,worn,worn,0
noise_aug,2,16,healthy,healthy,8
noise_aug,2,16,healthy,worn,0
noise_aug,2,16,worn,healthy,9
noise_aug,2,16,worn,worn,0
random_open_loop,2,16,healthy,healthy,8
random_open_loop,2,16,healthy,worn,0
random_open_loop,2,16,worn,healthy,9
random_open_loop,2,16,worn,worn,0
rule,2,16,healthy,healthy,8
rule,2,16,healthy,worn,0
rule,2,16,worn,healthy,9
rule,2,16,worn,worn,0
majority,2,17,healthy,healthy,8
majority,2,17,healthy,worn,0
majority,2,17,worn,healthy,9
majority,2,17,worn,worn,0
metadata_safe,2,17,healthy,healthy,8
metadata_safe,2,17,healthy,worn,0
metadata_safe,2,17,worn,healthy,9
metadata_safe,2,17,worn,worn,0
metadata_leaky_diagnostic,2,17,healthy,healthy,6
metadata_leaky_diagnostic,2,17,healthy,worn,2
metadata_leaky_diagnostic,2,17,worn,healthy,2
metadata_leaky_diagnostic,2,17,worn,worn,7
real_only,2,17,healthy,healthy,8
real_only,2,17,healthy,worn,0
real_only,2,17,worn,healthy,8
real_only,2,17,worn,worn,1
noise_aug,2,17,healthy,healthy,8
noise_aug,2,17,healthy,worn,0
noise_aug,2,17,worn,healthy,8
noise_aug,2,17,worn,worn,1
random_open_loop,2,17,healthy,healthy,8
random_open_loop,2,17,healthy,worn,0
random_open_loop,2,17,worn,healthy,5
random_open_loop,2,17,worn,worn,4
rule,2,17,healthy,healthy,8
rule,2,17,healthy,worn,0
rule,2,17,worn,healthy,7
rule,2,17,worn,worn,2
majority,2,18,healthy,healthy,8
majority,2,18,healthy,worn,0
majority,2,18,worn,healthy,9
majority,2,18,worn,worn,0
metadata_safe,2,18,healthy,healthy,4
metadata_safe,2,18,healthy,worn,4
metadata_safe,2,18,worn,healthy,5
metadata_safe,2,18,worn,worn,4
metadata_leaky_diagnostic,2,18,healthy,healthy,4
metadata_leaky_diagnostic,2,18,healthy,worn,4
metadata_leaky_diagnostic,2,18,worn,healthy,5
metadata_leaky_diagnostic,2,18,worn,worn,4
real_only,2,18,healthy,healthy,8
real_only,2,18,healthy,worn,0
real_only,2,18,worn,healthy,9
real_only,2,18,worn,worn,0
noise_aug,2,18,healthy,healthy,8
noise_aug,2,18,healthy,worn,0
noise_aug,2,18,worn,healthy,9
noise_aug,2,18,worn,worn,0
random_open_loop,2,18,healthy,healthy,8
random_open_loop,2,18,healthy,worn,0
random_open_loop,2,18,worn,healthy,8
random_open_loop,2,18,worn,worn,1
rule,2,18,healthy,healthy,8
rule,2,18,healthy,worn,0
rule,2,18,worn,healthy,7
rule,2,18,worn,worn,2
majority,2,19,healthy,healthy,8
majority,2,19,healthy,worn,0
majority,2,19,worn,healthy,9
majority,2,19,worn,worn,0
metadata_safe,2,19,healthy,healthy,8
metadata_safe,2,19,healthy,worn,0
metadata_safe,2,19,worn,healthy,9
metadata_safe,2,19,worn,worn,0
metadata_leaky_diagnostic,2,19,healthy,healthy,8
metadata_leaky_diagnostic,2,19,healthy,worn,0
metadata_leaky_diagnostic,2,19,worn,healthy,5
metadata_leaky_diagnostic,2,19,worn,worn,4
real_only,2,19,healthy,healthy,8
real_only,2,19,healthy,worn,0
real_only,2,19,worn,healthy,9
real_only,2,19,worn,worn,0
noise_aug,2,19,healthy,healthy,8
noise_aug,2,19,healthy,worn,0
noise_aug,2,19,worn,healthy,9
noise_aug,2,19,worn,worn,0
random_open_loop,2,19,healthy,healthy,8
random_open_loop,2,19,healthy,worn,0
random_open_loop,2,19,worn,healthy,9
random_open_loop,2,19,worn,worn,0
rule,2,19,healthy,healthy,8
rule,2,19,healthy,worn,0
rule,2,19,worn,healthy,5
rule,2,19,worn,worn,4
majority,5,0,healthy,healthy,8
majority,5,0,healthy,worn,0
majority,5,0,worn,healthy,9
majority,5,0,worn,worn,0
metadata_safe,5,0,healthy,healthy,0
metadata_safe,5,0,healthy,worn,8
metadata_safe,5,0,worn,healthy,0
metadata_safe,5,0,worn,worn,9
metadata_leaky_diagnostic,5,0,healthy,healthy,6
metadata_leaky_diagnostic,5,0,healthy,worn,2
metadata_leaky_diagnostic,5,0,worn,healthy,3
metadata_leaky_diagnostic,5,0,worn,worn,6
real_only,5,0,healthy,healthy,8
real_only,5,0,healthy,worn,0
real_only,5,0,worn,healthy,7
real_only,5,0,worn,worn,2
noise_aug,5,0,healthy,healthy,8
noise_aug,5,0,healthy,worn,0
noise_aug,5,0,worn,healthy,6
noise_aug,5,0,worn,worn,3
random_open_loop,5,0,healthy,healthy,8
random_open_loop,5,0,healthy,worn,0
random_open_loop,5,0,worn,healthy,5
random_open_loop,5,0,worn,worn,4
rule,5,0,healthy,healthy,8
rule,5,0,healthy,worn,0
rule,5,0,worn,healthy,5
rule,5,0,worn,worn,4
majority,5,1,healthy,healthy,8
majority,5,1,healthy,worn,0
