baseline,n_real,seed,class,f1
metadata_leaky_diagnostic,2,19,worn,0.6153846153846154
real_only,2,19,healthy,0.64
real_only,2,19,worn,0.0
noise_aug,2,19,healthy,0.64
noise_aug,2,19,worn,0.0
random_open_loop,2,19,healthy,0.64
random_open_loop,2,19,worn,0.0
rule,2,19,healthy,0.7619047619047619
rule,2,19,worn,0.6153846153846154
majority,5,0,healthy,0.64
majority,5,0,worn,0.0
metadata_safe,5,0,healthy,0.0
metadata_safe,5,0,worn,0.6923076923076923
metadata_leaky_diagnostic,5,0,healthy,0.7058823529411765
metadata_leaky_diagnostic,5,0,worn,0.7058823529411765
real_only,5,0,healthy,0.6956521739130435
real_only,5,0,worn,0.36363636363636365
noise_aug,5,0,healthy,0.7272727272727273
noise_aug,5,0,worn,0.5
random_open_loop,5,0,healthy,0.7619047619047619
random_open_loop,5,0,worn,0.6153846153846154
rule,5,0,healthy,0.7619047619047619
rule,5,0,worn,0.6153846153846154
majority,5,1,healthy,0.64
majority,5,1,worn,0.0
metadata_safe,5,1,healthy,0.47058823529411764
metadata_safe,5,1,worn,0.47058823529411764
metadata_leaky_diagnostic,5,1,healthy,0.7058823529411765
metadata_leaky_diagnostic,5,1,worn,0.7058823529411765
real_only,5,1,healthy,0.7272727272727273
real_only,5,1,worn,0.5
noise_aug,5,1,healthy,0.7272727272727273
noise_aug,5,1,worn,0.5
random_open_loop,5,1,healthy,0.64
random_open_loop,5,1,worn,0.0
rule,5,1,healthy,0.6956521739130435
rule,5,1,worn,0.36363636363636365
majority,5,2,healthy,0.64
majority,5,2,worn,0.0
metadata_safe,5,2,healthy,0.0
metadata_safe,5,2,worn,0.6923076923076923
metadata_leaky_diagnostic,5,2,healthy,0.8571428571428571
metadata_leaky_diagnostic,5,2,worn,0.9
real_only,5,2,healthy,0.8
real_only,5,2,worn,0.7142857142857143
noise_aug,5,2,healthy,0.625
noise_aug,5,2,worn,0.6666666666666666
random_open_loop,5,2,healthy,0.8
random_open_loop,5,2,worn,0.7142857142857143
rule,5,2,healthy,0.7619047619047619
rule,5,2,worn,0.6153846153846154
majority,5,3,healthy,0.64
majority,5,3,worn,0.0
metadata_safe,5,3,healthy,0.0
metadata_safe,5,3,worn,0.6923076923076923
metadata_leaky_diagnostic,5,3,healthy,0.6666666666666666
metadata_leaky_diagnostic,5,3,worn,0.8181818181818182
real_only,5,3,healthy,0.8888888888888888
real_only,5,3,worn,0.875
noise_aug,5,3,healthy,0.8888888888888888
noise_aug,5,3,worn,0.875
random_open_loop,5,3,healthy,0.8888888888888888
random_open_loop,5,3,worn,0.875
rule,5,3,healthy,0.7619047619047619
rule,5,3,worn,0.6153846153846154
majority,5,4,healthy,0.64
majority,5,4,worn,0.0
metadata_safe,5,4,healthy,0.47058823529411764
metadata_safe,5,4,worn,0.47058823529411764
metadata_leaky_diagnostic,5,4,healthy,0.8421052631578947
metadata_leaky_diagnostic,5,4,worn,0.8
real_only,5,4,healthy,0.7619047619047619
real_only,5,4,worn,0.6153846153846154
noise_aug,5,4,healthy,0.7619047619047619
noise_aug,5,4,worn,0.6153846153846154
random_open_loop,5,4,healthy,0.7619047619047619
random_open_loop,5,4,worn,0.6153846153846154
rule,5,4,healthy,0.7619047619047619
rule,5,4,worn,0.6153846153846154
majority,5,5,healthy,0.64
majority,5,5,worn,0.0
metadata_safe,5,5,healthy,0.0
metadata_safe,5,5,worn,0.6923076923076923
metadata_leaky_diagnostic,5,5,healthy,1.0
metadata_leaky_diagnostic,5,5,worn,1.0
real_only,5,5,healthy,0.7619047619047619
real_only,5,5,worn,0.6153846153846154
noise_aug,5,5,healthy,0.7272727272727273
noise_aug,5,5,worn,0.5
random_open_loop,5,5,healthy,0.6956521739130435
random_open_loop,5,5,worn,0.36363636363636365
rule,5,5,healthy,0.64
rule,5,5,worn,0.0
majority,5,6,healthy,0.64
majority,5,6,worn,0.0
metadata_safe,5,6,healthy,0.47058823529411764
metadata_safe,5,6,worn,0.47058823529411764
metadata_leaky_diagnostic,5,6,healthy,0.7692307692307693
metadata_leaky_diagnostic,5,6,worn,0.8571428571428571
real_only,5,6,healthy,0.8421052631578947
real_only,5,6,worn,0.8
noise_aug,5,6,healthy,0.8421052631578947
noise_aug,5,6,worn,0.8
random_open_loop,5,6,healthy,0.7272727272727273
random_open_loop,5,6,worn,0.5
rule,5,6,healthy,0.8
rule,5,6,worn,0.7142857142857143
majority,5,7,healthy,0.64
majority,5,7,worn,0.0
metadata_safe,5,7,healthy,0.64
metadata_safe,5,7,worn,0.0
metadata_leaky_diagnostic,5,7,healthy,0.8571428571428571
metadata_leaky_diagnostic,5,7,worn,0.9
real_only,5,7,healthy,0.7619047619047619
real_only,5,7,worn,0.6153846153846154
noise_aug,5,7,healthy,0.7619047619047619
noise_aug,5,7,worn,0.6153846153846154
random_open_loop,5,7,healthy,0.7619047619047619
random_open_loop,5,7,worn,0.6153846153846154
rule,5,7,healthy,0.7619047619047619
rule,5,7,worn,0.6153846153846154
majority,5,8,healthy,0.64
majority,5,8,worn,0.0
metadata_safe,5,8,healthy,0.0
metadata_safe,5,8,worn,0.6923076923076923
metadata_leaky_diagnostic,5,8,healthy,0.8571428571428571
metadata_leaky_diagnostic,5,8,worn,0.9
real_only,5,8,healthy,0.8421052631578947
real_only,5,8,worn,0.8
noise_aug,5,8,healthy,0.8421052631578947
noise_aug,5,8,worn,0.8
random_open_loop,5,8,healthy,0.8421052631578947
random_open_loop,5,8,worn,0.8
rule,5,8,healthy,0.7619047619047619
rule,5,8,worn,0.6153846153846154
majority,5,9,healthy,0.64
majority,5,9,worn,0.0
metadata_safe,5,9,healthy,0.64
metadata_safe,5,9,worn,0.0
metadata_leaky_diagnostic,5,9,healthy,0.8
metadata_leaky_diagnostic,5,9,worn,0.7142857142857143
real_only,5,9,healthy,0.7619047619047619
real_only,5,9,worn,0.6153846153846154
noise_aug,5,9,healthy,0.7619047619047619
noise_aug,5,9,worn,0.6153846153846154
random_open_loop,5,9,healthy,0.8
random_open_loop,5,9,worn,0.7142857142857143
rule,5,9,healthy,0.6956521739130435
rule,5,9,worn,0.36363636363636365
majority,5,10,healthy,0.64
majority,5,10,worn,0.0
metadata_safe,5,10,healthy,0.64
metadata_safe,5,10,worn,0.0
metadata_leaky_diagnostic,5,10,healthy,1.0
metadata_leaky_diagnostic,5,10,worn,1.0
real_only,5,10,healthy,0.7619047619047619
real_only,5,10,worn,0.6153846153846154
noise_aug,5,10,healthy,0.7619047619047619
noise_aug,5,10,worn,0.6153846153846154
random_open_loop,5,10,healthy,0.7619047619047619
random_open_loop,5,10,worn,0.6153846153846154
rule,5,10,healthy,0.64
rule,5,10,worn,0.0
majority,5,11,healthy,0.64
majority,5,11,worn,0.0
metadata_safe,5,11,healthy,0.64
metadata_safe,5,11,worn,0.0
metadata_leaky_diagnostic,5,11,healthy,0.8571428571428571
metadata_leaky_diagnostic,5,11,worn,0.9
real_only,5,11,healthy,0.8
real_only,5,11,worn,0.7142857142857143
noise_aug,5,11,healthy,0.7619047619047619
noise_aug,5,11,worn,0.6153846153846154
random_open_loop,5,11,healthy,0.7619047619047619
random_open_loop,5,11,worn,0.6153846153846154
rule,5,11,healthy,0.7619047619047619
rule,5,11,worn,0.6153846153846154
majority,5,12,healthy,0.64
majority,5,12,worn,0.0
metadata_safe,5,12,healthy,0.47058823529411764
metadata_safe,5,12,worn,0.47058823529411764
metadata_leaky_diagnostic,5,12,healthy,0.8
metadata_leaky_diagnostic,5,12,worn,0.8421052631578947
real_only,5,12,healthy,0.7619047619047619
real_only,5,12,worn,0.6153846153846154
noise_aug,5,12,healthy,0.7619047619047619
noise_aug,5,12,worn,0.6153846153846154
random_open_loop,5,12,healthy,0.6666666666666666
random_open_loop,5,12,worn,0.2
rule,5,12,healthy,0.7272727272727273
rule,5,12,worn,0.5
majority,5,13,healthy,0.64
majority,5,13,worn,0.0
metadata_safe,5,13,healthy,0.64
metadata_safe,5,13,worn,0.0
metadata_leaky_diagnostic,5,13,healthy,0.75
metadata_leaky_diagnostic,5,13,worn,0.7777777777777778
real_only,5,13,healthy,0.8888888888888888
real_only,5,13,worn,0.875
noise_aug,5,13,healthy,0.8888888888888888
noise_aug,5,13,worn,0.875
random_open_loop,5,13,healthy,0.7619047619047619
random_open_loop,5,13,worn,0.6153846153846154
rule,5,13,healthy,0.7619047619047619
rule,5,13,worn,0.6153846153846154
majority,5,14,healthy,0.64
majority,5,14,worn,0.0
metadata_safe,5,14,healthy,0.5
metadata_safe,5,14,worn,0.5555555555555556
metadata_leaky_diagnostic,5,14,healthy,0.75
metadata_leaky_diagnostic,5,14,worn,0.7777777777777778
real_only,5,14,healthy,1.0
real_only,5,14,worn,1.0
noise_aug,5,14,healthy,0.9411764705882353
noise_aug,5,14,worn,0.9411764705882353
random_open_loop,5,14,healthy,1.0
random_open_loop,5,14,worn,1.0
rule,5,14,healthy,0.7619047619047619
rule,5,14,worn,0.6153846153846154
majority,5,15,healthy,0.64
majority,5,15,worn,0.0
metadata_safe,5,15,healthy,0.5
metadata_safe,5,15,worn,0.5555555555555556
metadata_leaky_diagnostic,5,15,healthy,0.75
metadata_leaky_diagnostic,5,15,worn,0.7777777777777778
real_only,5,15,healthy,0.8421052631578947
real_only,5,15,worn,0.8
noise_aug,5,15,healthy,0.8421052631578947
noise_aug,5,15,worn,0.8
random_open_loop,5,15,healthy,0.8421052631578947
random_open_loop,5,15,worn,0.8
rule,5,15,healthy,0.7619047619047619
rule,5,15,worn,0.6153846153846154
majority,5,16,healthy,0.64
majority,5,16,worn,0.0
metadata_safe,5,16,healthy,0.47058823529411764
metadata_safe,5,16,worn,0.47058823529411764
metadata_leaky_diagnostic,5,16,healthy,0.8571428571428571
metadata_leaky_diagnostic,5,16,worn,0.9
real_only,5,16,healthy,0.7272727272727273
real_only,5,16,worn,0.5
noise_aug,5,16,healthy,0.7619047619047619
noise_aug,5,16,worn,0.6153846153846154
random_open_loop,5,16,healthy,0.6666666666666666
random_open_loop,5,16,worn,0.46153846153846156
rule,5,16,healthy,0.7619047619047619
rule,5,16,worn,0.6153846153846154
majority,5,17,healthy,0.64
majority,5,17,worn,0.0
metadata_safe,5,17,healthy,0.5
metadata_safe,5,17,worn,0.5555555555555556
metadata_leaky_diagnostic,5,17,healthy,0.8571428571428571
metadata_leaky_diagnostic,5,17,worn,0.9
real_only,5,17,healthy,0.7619047619047619
real_only,5,17,worn,0.6153846153846154
noise_aug,5,17,healthy,0.8421052631578947
noise_aug,5,17,worn,0.8
random_open_loop,5,17,healthy,0.7272727272727273
random_open_loop,5,17,worn,0.5
rule,5,17,healthy,0.7619047619047619
rule,5,17,worn,0.6153846153846154
majority,5,18,healthy,0.64
majority,5,18,worn,0.0
metadata_safe,5,18,healthy,0.0
metadata_safe,5,18,worn,0.6923076923076923
metadata_leaky_diagnostic,5,18,healthy,0.7058823529411765
metadata_leaky_diagnostic,5,18,worn,0.7058823529411765
real_only,5,18,healthy,0.7619047619047619
real_only,5,18,worn,0.6153846153846154
noise_aug,5,18,healthy,0.7619047619047619
noise_aug,5,18,worn,0.6153846153846154
random_open_loop,5,18,healthy,0.8
random_open_loop,5,18,worn,0.7142857142857143
rule,5,18,healthy,0.7619047619047619
rule,5,18,worn,0.6153846153846154
majority,5,19,healthy,0.64
majority,5,19,worn,0.0
metadata_safe,5,19,healthy,0.47058823529411764
metadata_safe,5,19,worn,0.47058823529411764
metadata_leaky_diagnostic,5,19,healthy,0.6153846153846154
metadata_leaky_diagnostic,5,19,worn,0.7619047619047619
real_only,5,19,healthy,0.8421052631578947
real_only,5,19,worn,0.8
noise_aug,5,19,healthy,0.8888888888888888
noise_aug,5,19,worn,0.875
random_open_loop,5,19,healthy,0.7272727272727273
random_open_loop,5,19,worn,0.5
rule,5,19,healthy,0.8
rule,5,19,worn,0.7142857142857143
majority,10,0,healthy,0.64
majority,10,0,worn,0.0
metadata_safe,10,0,healthy,0.0
metadata_safe,10,0,worn,0.6923076923076923
metadata_leaky_diagnostic,10,0,healthy,1.0
metadata_leaky_diagnostic,10,0,worn,1.0
real_only,10,0,healthy,0.8888888888888888
real_only,10,0,worn,0.875
noise_aug,10,0,healthy,0.8888888888888888
noise_aug,10,0,worn,0.875
random_open_loop,10,0,healthy,0.8421052631578947
random_open_loop,10,0,worn,0.8
rule,10,0,healthy,0.7619047619047619
rule,10,0,worn,0.6153846153846154
majority,10,1,healthy,0.64
majority,10,1,worn,0.0
metadata_safe,10,1,healthy,0.64
metadata_safe,10,1,worn,0.0
metadata_leaky_diagnostic,10,1,healthy,0.8571428571428571
metadata_leaky_diagnostic,10,1,worn,0.9
real_only,10,1,healthy,0.8421052631578947
real_only,10,1,worn,0.8
noise_aug,10,1,healthy,0.8421052631578947
noise_aug,10,1,worn,0.8
random_open_loop,10,1,healthy,0.8
random_open_loop,10,1,worn,0.7142857142857143
rule,10,1,healthy,0.7619047619047619
rule,10,1,worn,0.6153846153846154
majority,10,2,healthy,0.64
majority,10,2,worn,0.0
metadata_safe,10,2,healthy,0.5
metadata_safe,10,2,worn,0.5555555555555556
metadata_leaky_diagnostic,10,2,healthy,0.8571428571428571
metadata_leaky_diagnostic,10,2,worn,0.9
real_only,10,2,healthy,0.8
real_only,10,2,worn,0.7142857142857143
noise_aug,10,2,healthy,0.8
noise_aug,10,2,worn,0.7142857142857143
random_open_loop,10,2,healthy,0.7619047619047619
random_open_loop,10,2,worn,0.6153846153846154
rule,10,2,healthy,0.7619047619047619
rule,10,2,worn,0.6153846153846154
majority,10,3,healthy,0.64
majority,10,3,worn,0.0
metadata_safe,10,3,healthy,0.64
metadata_safe,10,3,worn,0.0
metadata_leaky_diagnostic,10,3,healthy,1.0
metadata_leaky_diagnostic,10,3,worn,1.0
real_only,10,3,healthy,0.8421052631578947
real_only,10,3,worn,0.8
noise_aug,10,3,healthy,0.8421052631578947
noise_aug,10,3,worn,0.8
random_open_loop,10,3,healthy,0.7619047619047619
random_open_loop,10,3,worn,0.6153846153846154
rule,10,3,healthy,0.7619047619047619
rule,10,3,worn,0.6153846153846154
majority,10,4,healthy,0.64
majority,10,4,worn,0.0
metadata_safe,10,4,healthy,0.0
metadata_safe,10,4,worn,0.6923076923076923
metadata_leaky_diagnostic,10,4,healthy,1.0
metadata_leaky_diagnostic,10,4,worn,1.0
real_only,10,4,healthy,0.8421052631578947
real_only,10,4,worn,0.8
noise_aug,10,4,healthy,0.8421052631578947
noise_aug,10,4,worn,0.8
random_open_loop,10,4,healthy,0.8
random_open_loop,10,4,worn,0.7142857142857143
rule,10,4,healthy,0.7619047619047619
rule,10,4,worn,0.6153846153846154
majority,10,5,healthy,0.64
majority,10,5,worn,0.0
metadata_safe,10,5,healthy,0.5
metadata_safe,10,5,worn,0.5555555555555556
metadata_leaky_diagnostic,10,5,healthy,1.0
metadata_leaky_diagnostic,10,5,worn,1.0
real_only,10,5,healthy,0.8421052631578947
real_only,10,5,worn,0.8
noise_aug,10,5,healthy,0.8421052631578947
noise_aug,10,5,worn,0.8
random_open_loop,10,5,healthy,0.7619047619047619
random_open_loop,10,5,worn,0.6153846153846154
rule,10,5,healthy,0.7619047619047619
rule,10,5,worn,0.6153846153846154
majority,10,6,healthy,0.64
majority,10,6,worn,0.0
metadata_safe,10,6,healthy,0.47058823529411764
metadata_safe,10,6,worn,0.47058823529411764
metadata_leaky_diagnostic,10,6,healthy,1.0
metadata_leaky_diagnostic,10,6,worn,1.0
real_only,10,6,healthy,0.8
real_only,10,6,worn,0.7142857142857143
noise_aug,10,6,healthy,0.8421052631578947
noise_aug,10,6,worn,0.8
random_open_loop,10,6,healthy,0.8
random_open_loop,10,6,worn,0.7142857142857143
rule,10,6,healthy,0.7619047619047619
rule,10,6,worn,0.6153846153846154
majority,10,7,healthy,0.64
majority,10,7,worn,0.0
metadata_safe,10,7,healthy,0.47058823529411764
metadata_safe,10,7,worn,0.47058823529411764
metadata_leaky_diagnostic,10,7,healthy,0.8571428571428571
metadata_leaky_diagnostic,10,7,worn,0.9
real_only,10,7,healthy,0.7272727272727273
real_only,10,7,worn,0.5
noise_aug,10,7,healthy,0.8
noise_aug,10,7,worn,0.7142857142857143
random_open_loop,10,7,healthy,0.7619047619047619
random_open_loop,10,7,worn,0.6153846153846154
rule,10,7,healthy,0.7272727272727273
rule,10,7,worn,0.5
majority,10,8,healthy,0.64
majority,10,8,worn,0.0
metadata_safe,10,8,healthy,0.0
metadata_safe,10,8,worn,0.6923076923076923
metadata_leaky_diagnostic,10,8,healthy,0.8571428571428571
metadata_leaky_diagnostic,10,8,worn,0.9
real_only,10,8,healthy,0.8421052631578947
real_only,10,8,worn,0.8
noise_aug,10,8,healthy,0.8
noise_aug,10,8,worn,0.7142857142857143
