method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
rule,worn,ch1_tpf_amp_ratio,0.00058047516,0.0021652233,0.0015847481,1.497811,2.730088,0.406055
rule,worn,ch2_band0_frac,0.016298047,0.010797608,-0.0055004392,-0.287672,-0.337491,0.798962
rule,worn,ch2_band1_frac,0.16039355,0.24064517,0.080251629,0.491816,0.500342,0.437543
rule,worn,ch2_band2_frac,0.29373118,0.40384084,0.11010966,0.538310,0.374865,0.254325
rule,worn,ch2_band3_frac,0.10298489,0.073160498,-0.029824388,-0.421593,-0.289600,0.390657
rule,worn,ch2_band4_frac,0.23902639,0.16368314,-0.075343257,-0.307358,-0.315209,0.427163
rule,worn,ch2_band5_frac,0.013238743,0.0099416929,-0.0032970501,-0.444963,-0.249046,0.748789
rule,worn,ch2_crest,1.374628,1.4113484,0.036720376,0.170992,0.026713,0.589965
rule,worn,ch2_kurtosis,2.6675527,2.7390136,0.071460902,0.160836,0.026789,0.927855
rule,worn,ch2_rms,0.82795875,0.81547957,-0.01247918,-0.034171,-0.015072,0.070934
rule,worn,ch2_skewness,0.018945702,0.37994272,0.36099702,0.853786,19.054296,0.500865
rule,worn,ch2_tooth_rms_cv,0.11990188,0.12683194,0.0069300574,0.097758,0.057798,0.330450
rule,worn,ch2_tpf_amp_ratio,0.10006333,0.10877052,0.0087071977,0.107771,0.087017,0.339100
rule,worn,ch3_band0_frac,0.33678739,0.38057975,0.043792355,0.195623,0.130030,0.410035
rule,worn,ch3_band1_frac,0.14046564,0.16482495,0.024359316,0.403918,0.173418,0.578893
rule,worn,ch3_band2_frac,0.1506968,0.15181196,0.0011151605,0.013874,0.007400,0.423529
rule,worn,ch3_band3_frac,0.10901849,0.095787276,-0.013231216,-0.330024,-0.121367,0.603633
rule,worn,ch3_band4_frac,0.093754223,0.074273514,-0.019480709,-0.281022,-0.207785,0.516955
rule,worn,ch3_band5_frac,0.085251241,0.09990264,0.014651399,0.418225,0.171861,0.475433
rule,worn,ch3_crest,1.1803263,1.1827905,0.0024642431,0.046088,0.002088,0.875433
rule,worn,ch3_kurtosis,3.8505793,4.0521306,0.20155132,0.140371,0.052343,0.885813
rule,worn,ch3_rms,0.29155255,0.29012296,-0.0014295912,-0.033180,-0.004903,0.138408
rule,worn,ch3_skewness,0.6679819,0.55204878,-0.11593312,-0.198599,-0.173557,0.568339
rule,worn,ch3_tooth_rms_cv,0.035931304,0.03755837,0.001627066,0.154932,0.045283,0.564014
rule,worn,ch3_tpf_amp_ratio,0.033182067,0.034000159,0.00081809219,0.036011,0.024655,0.626125
rule,worn,ch4_band0_frac,0.082662115,0.080676256,-0.0019858591,-0.032425,-0.024024,0.636332
rule,worn,ch4_band1_frac,0.18353008,0.22853133,0.045001254,0.386088,0.245198,0.476990
rule,worn,ch4_band2_frac,0.19056329,0.22316608,0.032602796,0.330703,0.171086,0.594464
rule,worn,ch4_band3_frac,0.13366667,0.15591087,0.022244199,0.398222,0.166415,0.616782
rule,worn,ch4_band4_frac,0.23987085,0.22852852,-0.011342329,-0.089567,-0.047285,0.468339
rule,worn,ch4_band5_frac,0.043851473,0.041730834,-0.002120639,-0.112986,-0.048360,0.602768
rule,worn,ch4_crest,1.4638833,1.4931736,0.02929034,0.227376,0.020009,0.492907
rule,worn,ch4_kurtosis,3.1549548,3.0965314,-0.058423438,-0.118054,-0.018518,0.854671
rule,worn,ch4_rms,0.22213867,0.2214344,-0.00070426939,-0.010555,-0.003170,0.128028
rule,worn,ch4_skewness,0.45879358,0.41664803,-0.042145555,-0.179305,-0.091862,0.629585
