method,class,channel,band,real_frac,method_frac,delta
random_open_loop,sharp,AE_spindle,8-20,0.373351,0.333816,-0.039536
random_open_loop,sharp,AE_spindle,20-40,0.325461,0.351270,0.025809
random_open_loop,sharp,AE_spindle,40-70,0.131478,0.143930,0.012452
random_open_loop,sharp,AE_spindle,70-100,0.085430,0.086662,0.001232
random_open_loop,sharp,AE_spindle,100-125,0.042739,0.043296,0.000557
random_open_loop,worn,smcAC,0-8,0.004151,0.006682,0.002531
random_open_loop,worn,smcAC,8-20,0.985060,0.932439,-0.052621
random_open_loop,worn,smcAC,20-40,0.003068,0.012780,0.009712
random_open_loop,worn,smcAC,40-70,0.002552,0.018050,0.015498
random_open_loop,worn,smcAC,70-100,0.002816,0.016606,0.013790
random_open_loop,worn,smcAC,100-125,0.002354,0.013444,0.011089
random_open_loop,worn,smcDC,0-8,0.927060,0.754815,-0.172245
random_open_loop,worn,smcDC,8-20,0.025119,0.103791,0.078672
random_open_loop,worn,smcDC,20-40,0.040522,0.066580,0.026058
random_open_loop,worn,smcDC,40-70,0.006290,0.027695,0.021405
random_open_loop,worn,smcDC,70-100,0.000814,0.025923,0.025109
random_open_loop,worn,smcDC,100-125,0.000195,0.021196,0.021001
random_open_loop,worn,vib_table,0-8,0.052770,0.025124,-0.027646
random_open_loop,worn,vib_table,8-20,0.214616,0.338326,0.123710
random_open_loop,worn,vib_table,20-40,0.287798,0.439955,0.152157
random_open_loop,worn,vib_table,40-70,0.114899,0.099939,-0.014960
random_open_loop,worn,vib_table,70-100,0.317423,0.073070,-0.244353
random_open_loop,worn,vib_table,100-125,0.012494,0.023586,0.011092
random_open_loop,worn,vib_spindle,0-8,0.110530,0.452397,0.341868
random_open_loop,worn,vib_spindle,8-20,0.229694,0.134599,-0.095095
random_open_loop,worn,vib_spindle,20-40,0.225050,0.130862,-0.094188
random_open_loop,worn,vib_spindle,40-70,0.220972,0.110275,-0.110698
random_open_loop,worn,vib_spindle,70-100,0.147118,0.106040,-0.041077
random_open_loop,worn,vib_spindle,100-125,0.066637,0.065827,-0.000810
random_open_loop,worn,AE_table,0-8,0.105419,0.105124,-0.000296
random_open_loop,worn,AE_table,8-20,0.194408,0.256478,0.062069
random_open_loop,worn,AE_table,20-40,0.184379,0.247958,0.063579
random_open_loop,worn,AE_table,40-70,0.123423,0.165222,0.041799
random_open_loop,worn,AE_table,70-100,0.354388,0.164298,-0.190090
random_open_loop,worn,AE_table,100-125,0.037983,0.060921,0.022938
random_open_loop,worn,AE_spindle,0-8,0.164121,0.127817,-0.036304
random_open_loop,worn,AE_spindle,8-20,0.209481,0.250603,0.041122
random_open_loop,worn,AE_spindle,20-40,0.213533,0.259350,0.045817
random_open_loop,worn,AE_spindle,40-70,0.117671,0.151576,0.033905
random_open_loop,worn,AE_spindle,70-100,0.260681,0.161257,-0.099424
random_open_loop,worn,AE_spindle,100-125,0.034514,0.049397,0.014884
random_open_loop,severe,smcAC,0-8,0.003696,0.005747,0.002051
random_open_loop,severe,smcAC,8-20,0.986361,0.935430,-0.050931
random_open_loop,severe,smcAC,20-40,0.002536,0.012257,0.009721
random_open_loop,severe,smcAC,40-70,0.002280,0.016936,0.014655
random_open_loop,severe,smcAC,70-100,0.002821,0.017286,0.014465
random_open_loop,severe,smcAC,100-125,0.002305,0.012343,0.010038
random_open_loop,severe,smcDC,0-8,0.909220,0.737841,-0.171379
random_open_loop,severe,smcDC,8-20,0.026629,0.133988,0.107359
random_open_loop,severe,smcDC,20-40,0.063954,0.055701,-0.008253
random_open_loop,severe,smcDC,40-70,0.000137,0.028178,0.028041
random_open_loop,severe,smcDC,70-100,0.000038,0.024637,0.024599
random_open_loop,severe,smcDC,100-125,0.000022,0.019654,0.019633
random_open_loop,severe,vib_table,0-8,0.047298,0.030008,-0.017290
random_open_loop,severe,vib_table,8-20,0.309386,0.316778,0.007392
random_open_loop,severe,vib_table,20-40,0.216909,0.366158,0.149249
random_open_loop,severe,vib_table,40-70,0.125918,0.132110,0.006192
random_open_loop,severe,vib_table,70-100,0.287301,0.128884,-0.158417
random_open_loop,severe,vib_table,100-125,0.013189,0.026063,0.012874
random_open_loop,severe,vib_spindle,0-8,0.210732,0.502250,0.291518
random_open_loop,severe,vib_spindle,8-20,0.200274,0.123394,-0.076880
random_open_loop,severe,vib_spindle,20-40,0.204689,0.117238,-0.087451
random_open_loop,severe,vib_spindle,40-70,0.178395,0.110925,-0.067469
random_open_loop,severe,vib_spindle,70-100,0.134462,0.075830,-0.058632
random_open_loop,severe,vib_spindle,100-125,0.071450,0.070364,-0.001086
random_open_loop,severe,AE_table,0-8,0.124164,0.075890,-0.048274
random_open_loop,severe,AE_table,8-20,0.171550,0.247986,0.076437
random_open_loop,severe,AE_table,20-40,0.145076,0.210348,0.065271
random_open_loop,severe,AE_table,40-70,0.101338,0.153933,0.052596
random_open_loop,severe,AE_table,70-100,0.426352,0.261981,-0.164371
random_open_loop,severe,AE_table,100-125,0.031521,0.049862,0.018342
