split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
loco_N15_M07_F04,loco_N15_M07_F04_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.44319749999999997,0.3847825,0.058414999999999995,0.05760000000000004,27,0,13,635.0,0.0009797538523343974,0.002939261557003192,0.003243323097382833,True
loco_N15_M07_F04,loco_N15_M07_F04_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.3335125,0.3083675,0.025145000000000008,0.009049999999999975,20,3,17,427.0,0.12734853810364577,0.25469707620729154,0.27785135586249987,False
loco_N15_M07_F04,loco_N15_M07_F04_n5_macro_f1_superiority,macro_f1,5,llm>random_open_loop,random_open_loop,greater,40,0.3335125,0.24659499999999998,0.08691750000000002,0.09925000000000002,31,1,8,629.0,0.00042587335570527763,0.0017034934228211105,0.0017034934228211107,True
loco_N15_M07_F04,loco_N15_M07_F04_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.3335125,0.5432549999999999,-0.2097425,-0.21180000000000002,5,0,35,38.0,0.9999999947813194,0.9999999947813194,0.9999999999990905,False
loco_N15_M07_F04,loco_N15_M07_F04_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.3335125,0.263945,0.0695675,0.03390000000000004,29,0,11,593.0,0.0069510099433381135,0.02085302983001434,0.019626381016484087,True
loco_N15_M07_F04,loco_N15_M07_F04_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.553315,0.515125,0.038189999999999995,0.041799999999999976,27,0,13,574.5,0.013513820414122583,0.027027640828245166,0.03506288539880454,True
loco_N15_M07_F04,loco_N15_M07_F04_n10_acc_superiority,acc,10,llm>random_open_loop,random_open_loop,greater,40,0.553315,0.4533149999999999,0.1,0.10025,29,0,11,678.0,8.514921501046047e-05,0.0002554476450313814,0.0005108952900627628,True
loco_N15_M07_F04,loco_N15_M07_F04_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.553315,0.61432,-0.061005,-0.06940000000000002,9,0,31,182.0,0.9989103771150343,0.9989103771150343,0.9999999999990905,False
loco_N15_M07_F04,loco_N15_M07_F04_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.553315,0.3849,0.168415,0.17584999999999998,39,0,1,807.0,4.7442891847999384e-08,1.8977156739199754e-07,1.1386294043519853e-06,True
loco_N15_M07_F04,loco_N15_M07_F04_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.5016200000000001,0.436905,0.06471500000000001,0.05924999999999997,28,0,12,609.0,0.003328936801153759,0.006657873602307518,0.009986810403461277,True
