split,method,n_real,metric,n_seeds,mean,std,median,min,max
loco_N15_M01_F10,llm,5,acc,40,0.3592025,0.06263980256501943,0.33204999999999996,0.2765,0.5428
loco_N15_M01_F10,llm,5,macro_f1,40,0.2636025,0.09196496681777726,0.26,0.1587,0.4838
loco_N15_M01_F10,llm,10,acc,40,0.435525,0.07537371081518597,0.438,0.259,0.623
loco_N15_M01_F10,llm,10,macro_f1,40,0.387125,0.08730376309920466,0.39535,0.1965,0.5403
loco_N15_M01_F10,llm,25,acc,40,0.5373050000000001,0.08123635333127714,0.5521499999999999,0.3637,0.7248
loco_N15_M01_F10,llm,25,macro_f1,40,0.5005974999999999,0.07554005386005154,0.5201,0.2686,0.7071
loco_N15_M01_F10,rule,5,acc,40,0.3687175,0.0538950636981314,0.3679,0.2786,0.5048
loco_N15_M01_F10,rule,5,macro_f1,40,0.2993925,0.08617116653676966,0.29769999999999996,0.1599,0.5224
loco_N15_M01_F10,rule,10,acc,40,0.4388675,0.07642638283727513,0.41969999999999996,0.3037,0.619
loco_N15_M01_F10,rule,10,macro_f1,40,0.40351250000000005,0.09146649992742895,0.38515,0.1995,0.6364
loco_N15_M01_F10,rule,25,acc,40,0.5688,0.056839030468643505,0.57445,0.3747,0.6575
loco_N15_M01_F10,rule,25,macro_f1,40,0.5329475,0.06343133573056854,0.53515,0.2892,0.6587
loco_N15_M01_F10,random_open_loop,5,acc,40,0.37726249999999995,0.08579259930876233,0.33505,0.2586,0.6207
loco_N15_M01_F10,random_open_loop,5,macro_f1,40,0.28350749999999997,0.116377437207672,0.25834999999999997,0.1572,0.5384
loco_N15_M01_F10,random_open_loop,10,acc,40,0.4747100000000001,0.10922512108907491,0.45245,0.3093,0.7536
loco_N15_M01_F10,random_open_loop,10,macro_f1,40,0.4070774999999999,0.13234315823665113,0.39115,0.1688,0.7376
loco_N15_M01_F10,random_open_loop,25,acc,40,0.5908450000000001,0.06879142742507592,0.6123000000000001,0.3722,0.72
loco_N15_M01_F10,random_open_loop,25,macro_f1,40,0.5436675000000001,0.08777614414389157,0.5412,0.2736,0.7154
loco_N15_M01_F10,noise_aug,5,acc,40,0.5385975000000001,0.1020658623144879,0.5660499999999999,0.316,0.6809
loco_N15_M01_F10,noise_aug,5,macro_f1,40,0.4882099999999999,0.10225354560964421,0.51885,0.1744,0.6385
loco_N15_M01_F10,noise_aug,10,acc,40,0.572915,0.08969878240033453,0.5859,0.3833,0.7376
loco_N15_M01_F10,noise_aug,10,macro_f1,40,0.527865,0.102450181889691,0.5302,0.3289,0.7325
loco_N15_M01_F10,noise_aug,25,acc,40,0.6159025,0.075781610946801,0.6182000000000001,0.4294,0.7956
loco_N15_M01_F10,noise_aug,25,macro_f1,40,0.5782925,0.08740845874545786,0.5633999999999999,0.4167,0.7968
loco_N15_M01_F10,real_only,5,acc,40,0.385785,0.111362442571024,0.33445,0.3058,0.7023
loco_N15_M01_F10,real_only,5,macro_f1,40,0.262465,0.14494667551754936,0.21775,0.1587,0.7133
loco_N15_M01_F10,real_only,10,acc,40,0.41976499999999994,0.10339330323500721,0.384,0.3124,0.672
loco_N15_M01_F10,real_only,10,macro_f1,40,0.31918750000000007,0.14812502028562016,0.2821,0.1587,0.6855
loco_N15_M01_F10,real_only,25,acc,40,0.5698399999999999,0.08683265308065648,0.6101,0.3698,0.7115
loco_N15_M01_F10,real_only,25,macro_f1,40,0.5069475000000001,0.09389834925913097,0.5306500000000001,0.2811,0.6967
loco_N15_M07_F04,llm,5,acc,40,0.5091975,0.12103861746015884,0.49285,0.3241,0.7279
loco_N15_M07_F04,llm,5,macro_f1,40,0.38454499999999997,0.15220120615108854,0.4113,0.1821,0.7071
loco_N15_M07_F04,llm,10,acc,40,0.6262925,0.0741341659270023,0.65675,0.3971,0.7501
loco_N15_M07_F04,llm,10,macro_f1,40,0.5560449999999999,0.10028877522383767,0.56525,0.2284,0.7155
loco_N15_M07_F04,llm,25,acc,40,0.66889,0.05959566237872496,0.6653,0.5655,0.7867
loco_N15_M07_F04,llm,25,macro_f1,40,0.62954,0.08009355683295534,0.62645,0.4951,0.7632
loco_N15_M07_F04,rule,5,acc,40,0.43743,0.07993732544937941,0.42005,0.3183,0.6651
loco_N15_M07_F04,rule,5,macro_f1,40,0.3083675,0.1278625291184407,0.29625,0.1806,0.6597
loco_N15_M07_F04,rule,10,acc,40,0.515125,0.10735660382396318,0.52235,0.3661,0.6979
loco_N15_M07_F04,rule,10,macro_f1,40,0.436905,0.16081028629875382,0.4818,0.1821,0.6882
loco_N15_M07_F04,rule,25,acc,40,0.6916375,0.05534176652217448,0.6839,0.6079,0.8004
loco_N15_M07_F04,rule,25,macro_f1,40,0.6718824999999999,0.0648514866978628,0.67415,0.5351,0.7783
loco_N15_M07_F04,random_open_loop,5,acc,40,0.35805750000000003,0.07068321124966029,0.3135,0.2464,0.5609
loco_N15_M07_F04,random_open_loop,5,macro_f1,40,0.24659499999999998,0.09821319288369693,0.2016,0.1586,0.4734
loco_N15_M07_F04,random_open_loop,10,acc,40,0.4533149999999999,0.11471609001222238,0.4359,0.3062,0.6476
loco_N15_M07_F04,random_open_loop,10,macro_f1,40,0.3732375,0.14826150266700025,0.38880000000000003,0.1586,0.6549
loco_N15_M07_F04,random_open_loop,25,acc,40,0.62213,0.0744646472650458,0.6208,0.3451,0.7979
loco_N15_M07_F04,random_open_loop,25,macro_f1,40,0.5820825000000001,0.09093663865571457,0.56565,0.2847,0.7836
loco_N15_M07_F04,noise_aug,5,acc,40,0.5793225000000001,0.11604923466091716,0.5952999999999999,0.2653,0.7933
loco_N15_M07_F04,noise_aug,5,macro_f1,40,0.5432549999999999,0.13801859582995255,0.5704,0.2158,0.7919
loco_N15_M07_F04,noise_aug,10,acc,40,0.61432,0.06250248077127903,0.61965,0.4383,0.7823
loco_N15_M07_F04,noise_aug,10,macro_f1,40,0.571455,0.07917795260984702,0.5644,0.344,0.7645
loco_N15_M07_F04,noise_aug,25,acc,40,0.6599625,0.05947384983421339,0.65935,0.5279,0.7736
loco_N15_M07_F04,noise_aug,25,macro_f1,40,0.62473,0.07847931035531691,0.6269,0.4761,0.7572
loco_N15_M07_F04,real_only,5,acc,40,0.3847825,0.10520002409939277,0.33305,0.2963,0.6753
loco_N15_M07_F04,real_only,5,macro_f1,40,0.263945,0.12257363239691625,0.2152,0.1586,0.5588
loco_N15_M07_F04,real_only,10,acc,40,0.3849,0.09448283252012316,0.337,0.3,0.6383
loco_N15_M07_F04,real_only,10,macro_f1,40,0.2748925,0.13790384124268323,0.2193,0.1586,0.6491
loco_N15_M07_F04,real_only,25,acc,40,0.6068149999999999,0.05393835298817459,0.61185,0.4711,0.7306
loco_N15_M07_F04,real_only,25,macro_f1,40,0.55626,0.07211849864045872,0.53955,0.4055,0.701
loco_N15_M07_F10,llm,5,acc,40,0.44742,0.10627554703428206,0.43474999999999997,0.2841,0.6668
loco_N15_M07_F10,llm,5,macro_f1,40,0.3647875,0.12694532274939757,0.34630000000000005,0.1587,0.6265
loco_N15_M07_F10,llm,10,acc,40,0.5533049999999999,0.11039031672044892,0.5677,0.2982,0.7902
loco_N15_M07_F10,llm,10,macro_f1,40,0.49879249999999997,0.1375622775280998,0.5186999999999999,0.1668,0.7717
loco_N15_M07_F10,llm,25,acc,40,0.6662675,0.07380887094033602,0.6547499999999999,0.5513,0.7985
loco_N15_M07_F10,llm,25,macro_f1,40,0.626965,0.1001005944038296,0.6213,0.4682,0.7931
loco_N15_M07_F10,rule,5,acc,40,0.41648499999999994,0.06114099950534683,0.41995000000000005,0.2612,0.5935
loco_N15_M07_F10,rule,5,macro_f1,40,0.2878775,0.09694210137618624,0.29005000000000003,0.1665,0.6135
loco_N15_M07_F10,rule,10,acc,40,0.48087,0.09765502389691834,0.46975,0.3234,0.7811
loco_N15_M07_F10,rule,10,macro_f1,40,0.40054750000000006,0.1333920037343184,0.3748,0.164,0.7612
loco_N15_M07_F10,rule,25,acc,40,0.6727450000000001,0.0671535628243208,0.65205,0.5677,0.8085
loco_N15_M07_F10,rule,25,macro_f1,40,0.6494775,0.0831578372195047,0.65065,0.4795,0.7927
loco_N15_M07_F10,random_open_loop,5,acc,40,0.373455,0.08687753523325306,0.3588,0.2522,0.5992
loco_N15_M07_F10,random_open_loop,5,macro_f1,40,0.27132,0.11071287929155145,0.26385000000000003,0.1587,0.5247
loco_N15_M07_F10,random_open_loop,10,acc,40,0.49259249999999993,0.12248318437699195,0.5171,0.1894,0.7059
loco_N15_M07_F10,random_open_loop,10,macro_f1,40,0.4256475,0.14376919713510192,0.45740000000000003,0.1081,0.7002
loco_N15_M07_F10,random_open_loop,25,acc,40,0.6218175,0.05395217201730265,0.6173500000000001,0.5617,0.7917
loco_N15_M07_F10,random_open_loop,25,macro_f1,40,0.5734375,0.07944718835288941,0.55765,0.4682,0.7631
loco_N15_M07_F10,noise_aug,5,acc,40,0.5637225,0.12098812505302392,0.5980000000000001,0.2776,0.7856
loco_N15_M07_F10,noise_aug,5,macro_f1,40,0.5245025,0.14360911778692345,0.5519499999999999,0.2078,0.7613
loco_N15_M07_F10,noise_aug,10,acc,40,0.62414,0.05947992464603025,0.61675,0.5163,0.7702
loco_N15_M07_F10,noise_aug,10,macro_f1,40,0.5836175,0.0772170364073788,0.577,0.4252,0.7519
loco_N15_M07_F10,noise_aug,25,acc,40,0.6638474999999999,0.06777113820113193,0.6315,0.5623,0.7994
loco_N15_M07_F10,noise_aug,25,macro_f1,40,0.6289875,0.08835678020941211,0.62265,0.4682,0.7978
loco_N15_M07_F10,real_only,5,acc,40,0.390605,0.11975926911292309,0.3206,0.3047,0.717
loco_N15_M07_F10,real_only,5,macro_f1,40,0.27044,0.13807635160227427,0.21815,0.1587,0.6344
loco_N15_M07_F10,real_only,10,acc,40,0.38216250000000007,0.08782072557058265,0.3479,0.3118,0.6208
loco_N15_M07_F10,real_only,10,macro_f1,40,0.27232,0.13494805876374275,0.20105,0.1587,0.6257
loco_N15_M07_F10,real_only,25,acc,40,0.6094375,0.04464585252222089,0.613,0.5349,0.7392
loco_N15_M07_F10,real_only,25,macro_f1,40,0.5570225,0.05966038279831119,0.5445500000000001,0.4682,0.7128
