method,class,channel,band,real_frac,method_frac,delta
random_open_loop,worn,vib_table,8-20,0.214616,0.338326,0.123710
random_open_loop,worn,vib_table,20-40,0.287798,0.439955,0.152157
random_open_loop,worn,vib_table,40-70,0.114899,0.099939,-0.014960
random_open_loop,worn,vib_table,70-100,0.317423,0.073070,-0.244353
random_open_loop,worn,vib_table,100-125,0.012494,0.023586,0.011092
random_open_loop,worn,vib_spindle,0-8,0.110530,0.452397,0.341868
random_open_loop,worn,vib_spindle,8-20,0.229694,0.134599,-0.095095
random_open_loop,worn,vib_spindle,20-40,0.225050,0.130862,-0.094188
random_open_loop,worn,vib_spindle,40-70,0.220972,0.110275,-0.110698
random_open_loop,worn,vib_spindle,70-100,0.147118,0.106040,-0.041077
random_open_loop,worn,vib_spindle,100-125,0.066637,0.065827,-0.000810
random_open_loop,worn,AE_table,0-8,0.105419,0.105124,-0.000296
random_open_loop,worn,AE_table,8-20,0.194408,0.256478,0.062069
random_open_loop,worn,AE_table,20-40,0.184379,0.247958,0.063579
random_open_loop,worn,AE_table,40-70,0.123423,0.165222,0.041799
random_open_loop,worn,AE_table,70-100,0.354388,0.164298,-0.190090
random_open_loop,worn,AE_table,100-125,0.037983,0.060921,0.022938
random_open_loop,worn,AE_spindle,0-8,0.164121,0.127817,-0.036304
random_open_loop,worn,AE_spindle,8-20,0.209481,0.250603,0.041122
random_open_loop,worn,AE_spindle,20-40,0.213533,0.259350,0.045817
random_open_loop,worn,AE_spindle,40-70,0.117671,0.151576,0.033905
random_open_loop,worn,AE_spindle,70-100,0.260681,0.161257,-0.099424
random_open_loop,worn,AE_spindle,100-125,0.034514,0.049397,0.014884
random_open_loop,severe,smcAC,0-8,0.003696,0.005747,0.002051
random_open_loop,severe,smcAC,8-20,0.986361,0.935430,-0.050931
random_open_loop,severe,smcAC,20-40,0.002536,0.012257,0.009721
random_open_loop,severe,smcAC,40-70,0.002280,0.016936,0.014655
random_open_loop,severe,smcAC,70-100,0.002821,0.017286,0.014465
random_open_loop,severe,smcAC,100-125,0.002305,0.012343,0.010038
random_open_loop,severe,smcDC,0-8,0.909220,0.737841,-0.171379
