class,slot,candidate_rounds,n_candidates,n_expansions,n_feasible_expansions,first_pass_round,final_admitted,record_sha256
healthy,77,0,1,0,0,,False,de61b30acbb23601513ccb5a71ac09c8edeb5787735bbe052134484163cad67d
healthy,78,0;1;2;3,4,4,1,0,True,cd30b046aba6ea9381a79ca5a958921f1fa9cc1889e5a323ce17e03a7d09babc
healthy,79,0;1;2;3,4,0,0,0,True,41e65c02c82c1e39186ef1e1d1eb8ac3ac4ee12c896b84dde24eca3d107b4025
healthy,80,0,1,0,0,,False,daf810eeac1e7ea2984770908558e6beb2067d35a79f37f2ffa584d57aac26f4
healthy,81,0,1,4,2,0,True,0fffc65f5f567ee1b323a7042feba294512d3546aa69294015aa6e352c2c9e70
healthy,82,0,1,0,0,,False,a2664eb819fd79c376d4824fbff7e5e09eccbe2f551c2c18a3a950e83450c29f
healthy,83,0;1;2;3,4,0,0,0,True,5baf3f64d2095c4bdd4b1b8aad769b60c9643e95e07f862968553967fb7f01f1
healthy,84,0,1,0,0,,False,b62de55552105b804c6de94ff296899b7d88a50d620bdb6ff908f85c146189c1
healthy,85,0;1;2;3,4,0,0,2,True,70ae8c5ccbd7a519d3e2687db5af15e7991ed0fc08c7a36a4157a152320e7ba6
healthy,86,0;1,2,1,1,0,True,97f6cab38d16e45cc5a692a5a70db14fccb97e2f06f2178bf0664a7ee2733125
healthy,87,0;1;2,3,2,2,0,True,60bab7e15bec5bda0b21adbe401fcf7f1741ef1f8d7a534b1e53320e30b623bb
healthy,88,0,1,0,0,,False,6f3958c23c926384b49b6460e87bacf4beff1e733483efc9b14bde1aaef99f49
healthy,89,0;1,2,2,0,0,True,e1d25a94126f890b65eb394a46270bc7ea7f414d2124f329c2745e2c1f94918d
healthy,90,0;1,2,3,3,1,True,3c4110a24a7eddfe89c1e705ac3450eeec117e6546d4663f6af2866d54178bcb
healthy,91,0;1;2;3,4,0,0,1,True,3b65b9d30baf6703b9303e950109a5e3c2a51d9fe109ae813469fb481100b6df
healthy,92,0;1,2,2,2,0,True,c55f3cbf757ad9aa9a5f12057d377b704cef8423d37712d1829f6207ddbc455f
healthy,93,0,1,4,1,0,True,4fa33e686ff4bc521f015ffe0cc410c0702357e492c6cd68663b44779cc2c924
healthy,94,0,1,4,3,0,True,e642b0d68f69bd2fd50d45da150b4028ca9a10c0fc982b62aec6ec39eadf8b30
healthy,95,0,1,0,0,,False,77ec0433f126ecdebedf0c1677cea0d90d7e28b928bcb0d37e29ba87c9e2b00e
healthy,96,0;1;2;3,4,0,0,1,True,323242717281f2aa1214309ae440b16473c5525e15038bdd051d9574b1b48ad7
healthy,97,0,1,4,3,0,True,ac83b20c5cf645030ac79d9ab20aa85b758e219c322c2249d96086e6a389673a
healthy,98,0,1,4,2,0,True,febe8a91acf87879d73855b0aa827eef70a5c63447738b62baed621be5ba6365
healthy,99,0;1,2,0,0,,False,c1b04c01af7697b04fd41782bbf8e01ca28cc71d85fe5f63ef9f333f3c0ec7ea
healthy,100,0;1;2;3,4,0,0,0,True,11060b5c4809bfc7ce388cec96a4fb1e1cc2854786eec7237632c82f5fc41ed4
healthy,101,0;1;2;3,4,0,0,0,True,643cc194c55e5ea66a7e5e79dc03d141208c3b00ef66d9f53f54739830ee92dd
healthy,102,0;1,2,4,1,0,True,2c596825ff1024f622c6de5e21543993f1a79f1f35f574460490bcefe1f9aa27
healthy,103,0,1,4,1,0,True,0c9fda9618b7ed1bb1fca9a4f6cd64cf9cb9bfdfd79156d826362cbf932ca789
healthy,104,0,1,0,0,,False,fea56368eaf12e6c9efc3137ad5f78054f34bba23d418028eb2b42432ebd4e93
healthy,105,0,1,4,1,0,True,dc9dcad77f1ece8e396fb34a7409db651a0786caf8baadd87a044e0c1905d338
healthy,106,0;1,2,3,2,0,True,0461169c33352ae389b854d91a4eb11560968f86e1f25543ef5795c972a126f0
healthy,107,0,1,0,0,,False,924dff2c241b0af79cce60fc454bf8bab1c29ae07829c2f860cd3b449b324e0a
healthy,108,0;1;2;3,4,3,1,0,True,45ad6014842c87a7aea0a7ae9dda1f0de31323db7895d2be2c38c0ec1055d9cd
healthy,109,0,1,4,0,0,True,4720a9b13f7502f9aca17d7468094e8b7afc566909fe0ee60ea8f7b062d81647
healthy,110,0,1,4,4,0,True,6d55dd9e387e21cea2d8c55011434d8fa87ea4d8c6bb8710dff22434232e688d
healthy,111,0,1,4,1,0,True,9ef8b8652c75e5966416e4436ffef6d4d4e321f37e5d4828cafb106d9014e67e
healthy,112,0,1,4,1,0,True,fa9af68fa667feb4aabd62161a14d1b0a0fe1a38a3b823a5e17058667ae43077
healthy,113,0;1;2;3,4,0,0,0,True,d3663eed62ac5dde0e4a8640a8f85dfb1de1e3ea7ce021b6ff2e9da13a66520d
healthy,114,0,1,0,0,,False,2e8bf9dc14d6d24310d56748129ae38432064eaf0f075dc4b268cddf7902fa18
healthy,115,0,1,4,4,0,True,f5d7f52900aa7c7ee1e93013f485ec33d3f6d022d6df9d4337003711192bb6e0
healthy,116,0;1;2,3,2,1,0,True,6c340f4041a04fe8c30f9214b1b34a2406f4a323858cbf0074ffe0157c56cf9d
healthy,117,0;1;2,3,4,1,0,True,c67b49badda0125e08c1c2670c4f39aec8108e9df513456c0e89a5e989171e8c
healthy,118,0,1,0,0,,False,e8bd294f3c4ea4ab032a3274b9fc783ed6432a0fb21fc0df58e63ab9f5a1ed77
healthy,119,0;1;2,3,2,0,1,True,3f84a28aaae500ef678532d7058fce53de1d0bcb423a6811f4ee1071cfa39146
healthy,120,0;1;2;3,4,0,0,,False,bfa1c562648423ceb5a2eeaf7afa726023840acbb9df757c7bace4b8539e9e30
healthy,121,0;1;2;3,4,2,1,2,True,fe80cbfdf7dbf849ac4f99646e436b2ec7fb6542ec84269c1efcc1ba6382794b
healthy,122,0;1;2,3,4,2,0,True,5c8cd5cdcefd6cb5b4ae9aa294a05a430a6d21c820c3393cf637c06c652f59c5
healthy,123,0,1,0,0,,False,72230f8450d86735c60fb283baf5abfc8540ffc4c3e4eefbae4baf26508de9db
healthy,124,0;1;2;3,4,0,0,,False,312ac09f55e5bddd55afbf99c1c7da0eae86b1e4d839bcd7e6ecd6d945d85ba7
healthy,125,0;1,2,0,0,0,True,f4ca8b4e0ffffcfdbe86cd2bf46ef43ccc1a12c3ec36469c88bc26f2e8a9b867
healthy,126,0,1,0,0,,False,5cb4b3062058ad3ae4a7119204ef5e8c9b3a93accf993dedef25c083b360b7c1
healthy,127,0;1;2,3,0,0,0,True,b73e4e59ae3d7432c1a4d016207d76ce29123efe2321df26b88d73332f543589
healthy,128,0;1;2,3,2,1,1,True,6f069e27df5ac2b880f911633aa58b7789eefff76d64e5d0bd753f44bba7e3e8
healthy,129,0,1,0,0,,False,73bfdb27e93149437f60d705eaf8262cb432a6f6bb8c059eb27fe37712523a3b
healthy,130,0,1,0,0,,False,c68949ad56e6c4f895857c5734d30a890a328b646256e921cb37f5914d49148b
healthy,131,0;1,2,2,1,0,True,db32598b30b03bbb7859a9d213457541c277df0d86e6190feb832985b2265509
healthy,132,0;1;2,3,4,2,0,True,d8fa4670e20e1b450ce609db74ef44e1dd4d1617e185b115b3a14771030913c5
healthy,133,0;1;2;3,4,0,0,,False,5c9b503c1728b443199afb5023bb4a801979c67206bd9036fdf6b0e0e3a5e533
healthy,134,0,1,0,0,,False,687109bab00fcc96a61d5551e356659af88281316ffa4191737034d5388dfba4
healthy,135,0,1,0,0,,False,23c5153e6a75184939f284ca63b3729d8e527b2eb7bc217ff88c7f4a4f0c3f10
healthy,136,0,1,0,0,,False,11f877740af0eb9e9e89f5b2521ec623705fe5347af7a7a73507914d3e15b705
healthy,137,0,1,0,0,,False,9e8b411137918ffe6d50aa37bfdd9d01209723ed8c755ed3dd2c53d43bef9706
healthy,138,0,1,4,3,0,True,16a763774b24f48d82ce5d091d24a05027a372bd0f4f272249604074e6b5e70e
healthy,139,0,1,4,2,0,True,6767b0569d2d5b8a55da14b180da04a415bc0192ec7a24a92201324ee1af641a
healthy,140,0;1;2;3,4,0,0,,False,85e5940cb5ba63c319f4cabded3f3a38c5ae72a9a626e75c3e3de6f129ac2b20
healthy,141,0;1;2;3,4,0,0,2,True,9e8cbec876ae2fbe448c834dd6ed913eb7defacc9ca99bdab9306bf0aae09fab
healthy,142,0,1,1,1,0,True,6817f498b168a9618bfab6dc6dae4c7793903c8e0e4fda093989935c5f6eb562
