class,slot,accepted_before_diversity,n_candidates,n_feasible_expansions
IR,96,True,4,0
IR,97,False,4,0
IR,98,True,4,3
IR,99,False,4,0
IR,100,True,3,1
IR,101,False,4,0
IR,102,False,4,0
IR,103,False,2,0
IR,104,True,1,3
IR,105,True,4,0
IR,106,True,1,4
IR,107,True,1,2
IR,108,False,2,0
IR,109,True,4,0
IR,110,True,3,4
IR,111,True,4,0
IR,112,False,4,0
IR,113,True,3,0
IR,114,False,1,0
IR,115,True,4,2
IR,116,False,3,0
IR,117,True,4,4
IR,118,True,1,4
IR,119,False,1,0
IR,120,False,1,0
IR,121,True,1,2
IR,122,True,1,0
IR,123,True,3,4
IR,124,True,1,1
IR,125,True,1,2
IR,126,False,4,0
IR,127,True,4,0
IR,128,True,4,2
IR,129,False,4,0
IR,130,True,1,0
IR,131,False,2,0
IR,132,True,1,1
IR,133,False,4,0
IR,134,True,1,3
IR,135,False,4,0
IR,136,True,4,0
IR,137,True,4,0
IR,138,False,4,0
IR,139,False,4,0
IR,140,True,2,1
IR,141,True,3,2
IR,142,True,1,2
IR,143,True,2,2
IR,144,True,4,0
IR,145,True,1,4
IR,146,True,2,0
IR,147,True,1,0
IR,148,True,4,0
IR,149,True,4,0
