scheme,baseline,model,split_protocol,condition_id,n,majority_acc,acc,macro_f1
B,signal_only,extratrees,groupkfold_insert_edge,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,extratrees,groupkfold_insert_edge,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,extratrees,groupkfold_insert_edge,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,0.625,0.38461538461538464
B,signal_only,extratrees,groupkfold_insert_edge,CastIron.GG30|200.0|0.2|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,extratrees,groupkfold_insert_edge,StainlessSteel.316L|100.0|0.05|1.5|58.4,6,0.6666666666666666,0.5,0.3333333333333333
B,signal_only,extratrees,groupkfold_insert_edge,StainlessSteel.316L|100.0|0.1|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,extratrees,groupkfold_insert_edge,StainlessSteel.316L|50.0|0.05|1.5|58.4,7,0.7142857142857143,0.2857142857142857,0.2222222222222222
B,signal_only,extratrees,groupkfold_insert_edge,StainlessSteel.316L|50.0|0.1|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
C,signal_only,logreg,loeo,CastIron.GG30|100.0|0.1|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,loeo,CastIron.GG30|100.0|0.2|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,loeo,CastIron.GG30|200.0|0.1|1.5|58.4,10,0.5,1.0,1.0
C,signal_only,logreg,loeo,CastIron.GG30|200.0|0.2|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,loeo,StainlessSteel.316L|100.0|0.05|1.5|58.4,8,0.5,0.75,0.75
C,signal_only,logreg,loeo,StainlessSteel.316L|100.0|0.1|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,loeo,StainlessSteel.316L|50.0|0.05|1.5|58.4,9,0.5555555555555556,0.6666666666666666,0.6493506493506493
C,signal_only,logreg,loeo,StainlessSteel.316L|50.0|0.1|1.5|58.4,8,0.5,0.75,0.7333333333333334
C,signal_only,logreg,logo_condition,CastIron.GG30|100.0|0.1|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,logo_condition,CastIron.GG30|100.0|0.2|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,logo_condition,CastIron.GG30|200.0|0.1|1.5|58.4,10,0.5,1.0,1.0
