scheme,baseline,model,split_protocol,actual,predicted,n
C,signal_only,extratrees,loeo,worn,worn,32
C,signal_only,extratrees,logo_condition,healthy,healthy,25
C,signal_only,extratrees,logo_condition,healthy,worn,8
C,signal_only,extratrees,logo_condition,worn,healthy,3
C,signal_only,extratrees,logo_condition,worn,worn,31
C,signal_only,extratrees,groupkfold_condition,healthy,healthy,23
C,signal_only,extratrees,groupkfold_condition,healthy,worn,10
C,signal_only,extratrees,groupkfold_condition,worn,healthy,3
C,signal_only,extratrees,groupkfold_condition,worn,worn,31
C,signal_only,extratrees,groupkfold_insert_edge,healthy,healthy,25
C,signal_only,extratrees,groupkfold_insert_edge,healthy,worn,8
C,signal_only,extratrees,groupkfold_insert_edge,worn,healthy,6
C,signal_only,extratrees,groupkfold_insert_edge,worn,worn,28
