request_index,slot,target_class,round_id,model,prompt_hash,response_hash,http_status,parse_status,timestamp,accepted,rejection_reasons
24,4,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,3e8126b1a2a005d72acc5ea9c5c89b0fc60eda3a55ca12d1485c168cb5fa792a,200,json_object_ok,2026-07-14T02:17:37Z,True,
25,5,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,459bd8fb3cc6399de412624d2ab579589e70d7e8714a9cab4f80b80c8fd9c9c4,200,json_object_ok,2026-07-14T02:17:48Z,False,recipe_schema
26,5,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,7c1f4c396e6dc3d09be7345ef59602454e546926436da347f31df5b169f67f33,200,json_object_ok,2026-07-14T02:17:56Z,False,recipe_schema
27,5,base_imbalance,2,mimo-v2.5,1bd09c2ddf15f7991f2fd57c16c63ea7ff185e73af889b4f1166fabd9246e9c3,25bfa7765fcc08338b4e2a454a0fba89e969ab210b0bb542915a2028b82e0091,200,json_object_ok,2026-07-14T02:18:08Z,False,recipe_schema
28,5,base_imbalance,3,mimo-v2.5,5f6c432f69134fa32fe732597b640d244e5cee4225fe6dfc57bc31b6f9ea7336,7cde63b022ee16919ffdf0bafadb4f2644efd826335ad0d2ec96a1e446e09069,200,json_object_ok,2026-07-14T02:18:19Z,True,
29,5,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,1daeea566a5ada16884a98969afc47b98aa9acaca0a42eadf4b879522123eb43,200,json_object_ok,2026-07-14T02:18:28Z,True,
30,5,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,4634ced02c320ec8b8c281717eb716a030a06b1f4828150ce9aeb5e207ffeacf,200,json_object_ok,2026-07-14T02:18:36Z,True,
31,6,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,154fed2c390522c916cbfcd422638111e429b9241f076c82b94361fe23acee7e,200,json_object_ok,2026-07-14T02:18:47Z,True,
32,6,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,1857d1fd6fe9326e1b38bdd61847269f178bd1c363786cece78fb0c9c36ad5d0,200,json_object_ok,2026-07-14T02:18:57Z,True,
33,6,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,fd83df5fed66953fdc1c08b33766dd2cb0c0afa04c2e8499a6ce9f6b852e46ed,200,json_object_ok,2026-07-14T02:19:07Z,True,
34,7,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,ae4dcb8c7fad812b52d34b2c61be77c556d0eb14d51877522a5aab1c27989b1e,200,json_object_ok,2026-07-14T02:19:16Z,False,recipe_schema
35,7,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,6603c5e912131e0416b0f1aba3265a70eff51ce5aacd5286e2ed5e6e0d4485f8,200,json_object_ok,2026-07-14T02:19:25Z,True,
36,7,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,91d901003cc2ddd0b898a98f3c1250c75e67c4cd7054e25cb3e923c24fe8b6a9,200,json_object_ok,2026-07-14T02:19:36Z,True,
37,7,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,64a6dc545d5db9d2eeb4ce790da646d75252dbf6806196a43cd1a92ebb5d6f7d,200,json_object_ok,2026-07-14T02:19:46Z,True,
38,8,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,d72566b274df45689313596ff64ccfcca11d9dd4b8f3988951335a9a52a23025,200,json_object_ok,2026-07-14T02:19:58Z,False,recipe_schema
39,8,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,a6fdc67fc669b0e6b2839812dd01b29145b4c9d650324518511c95a0280b43dc,200,json_object_ok,2026-07-14T02:20:07Z,True,
40,8,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,e8c112a4434c7afe9e501aa9c05e7a579cb149be42194bc9cafaa087cc91d9fe,200,json_object_ok,2026-07-14T02:20:16Z,True,
41,8,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,bd36146f9e06209ad6d75dd16992692b6ec5b75d8a349414492f0d8450cc191c,200,json_object_ok,2026-07-14T02:20:26Z,True,
42,9,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,731dce9325dca6cdc35c82b5e05df26ddd1ad20d5a59163ab4a6f2948bb9cfde,200,json_object_ok,2026-07-14T02:20:32Z,False,recipe_schema
43,9,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,69aa8e1546e419f50dbf1ed12f2e6858139efa16d98fd0b0e9e318ebbbca9ec0,200,json_object_ok,2026-07-14T02:20:41Z,False,recipe_schema
44,9,base_imbalance,2,mimo-v2.5,1bd09c2ddf15f7991f2fd57c16c63ea7ff185e73af889b4f1166fabd9246e9c3,24949d0bb371599cb0209aa4ccc1255ff2aefe8fd3b4918236778f25c978b0b1,200,json_object_ok,2026-07-14T02:20:52Z,True,
45,9,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,4b886fd4906c935d8ca99832cb015a9087414410323b7a290f288efcccda78da,200,json_object_ok,2026-07-14T02:21:04Z,True,
46,9,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,8b3937b100cb01d1d4e93cdf9460ad64e18c0610f82d682095cd4dfddee7f636,200,json_object_ok,2026-07-14T02:21:13Z,False,recipe_schema
47,9,normal_machining,1,mimo-v2.5,3b51ba257ca9fdeb77745e11e6c263e186fdcab62c4a6c1e91dd15038e40d5f5,86cb1f3e10d2612a219098e024a00835962735767434026311ba89599c67b2e8,200,json_object_ok,2026-07-14T02:21:20Z,False,recipe_schema
