n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
20,False,2,acc,LLM_synthetic>real_only,0.008407019951563786,0.04607843137254903,0.031862745098039214,0.7,0.5920948782041053,
20,False,2,macro_f1,LLM_synthetic>noise_aug,0.0133209228515625,0.06987678003643653,0.030717732947666943,0.75,0.5087105228598877,0.0399627685546875
20,False,2,macro_f1,LLM_synthetic>rule,0.9840885656326824,-0.017657017336334457,-0.011368343925551694,0.25,-0.557066789746527,1.0
20,False,2,macro_f1,LLM_synthetic>random_open_loop,0.9825404729591367,-0.020902708910840784,-0.007930908899085043,0.35,-0.6182563061052656,1.0
20,False,2,macro_f1,LLM_synthetic>real_only,0.008879030494043469,0.05304919938784316,0.03537548101790555,0.7,0.5443920203448501,
20,False,5,acc,LLM_synthetic>noise_aug,0.00932201359695963,0.02083333333333335,0.012254901960784326,0.7,0.5398078228932329,0.027966040790878888
20,False,5,acc,LLM_synthetic>rule,0.9639558707838944,-0.006372549019607826,-0.004901960784313708,0.25,-0.45931732462449537,0.9639558707838944
20,False,5,acc,LLM_synthetic>random_open_loop,0.340384993580354,0.0007352941176470729,-0.002450980392156854,0.45,0.036749116337602555,0.680769987160708
20,False,5,acc,LLM_synthetic>real_only,0.010799108271444568,0.025980392156862757,0.012254901960784326,0.6,0.6041562606559849,
20,False,5,macro_f1,LLM_synthetic>noise_aug,0.008021030958197223,0.02467892596640462,0.013808382643161587,0.75,0.5537547985989965,0.02406309287459167
20,False,5,macro_f1,LLM_synthetic>rule,0.9652099609375,-0.0072191353145782625,-0.006195055771801461,0.3,-0.3894521934823318,0.9652099609375
20,False,5,macro_f1,LLM_synthetic>random_open_loop,0.2729377746582031,0.0003554254132466572,-0.0015386604315363872,0.5,0.014720647055354742,0.5458755493164062
20,False,5,macro_f1,LLM_synthetic>real_only,0.009316874731466886,0.03001400100493799,0.01320989577815257,0.6,0.6108275842307558,
20,False,10,acc,LLM_synthetic>noise_aug,0.1698990588076294,0.004166666666666663,0.002450980392156854,0.5,0.25656099373567776,0.5096971764228881
20,False,10,acc,LLM_synthetic>rule,0.6176996976606866,-0.0007352941176470617,0.0,0.45,-0.04865968723380393,0.7642798844166816
20,False,10,acc,LLM_synthetic>random_open_loop,0.3821399422083408,0.0012254901960784327,0.0,0.4,0.07384782814342747,0.7642798844166816
20,False,10,acc,LLM_synthetic>real_only,0.06972231889770317,0.005882352941176466,0.004901960784313708,0.55,0.3843594429777679,
