method,n_real,n_syn,seed,actual_syn,acc,macro_f1,confusion_json
random_open_loop,2,40,2,80,0.7450980392156863,0.7426242236024845,"[[86,10],[42,66]]"
LLM_synthetic,2,40,2,80,0.7303921568627451,0.7262813788392575,"[[87,9],[46,62]]"
real_only,2,10,3,0,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
noise_aug,2,10,3,20,0.6519607843137255,0.6224880756900462,"[[95,1],[70,38]]"
rule,2,10,3,20,0.6519607843137255,0.6201914251999476,"[[96,0],[71,37]]"
random_open_loop,2,10,3,20,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
LLM_synthetic,2,10,3,20,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
real_only,2,20,3,0,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
noise_aug,2,20,3,40,0.6519607843137255,0.6224880756900462,"[[95,1],[70,38]]"
rule,2,20,3,40,0.6862745098039216,0.6644736842105263,"[[96,0],[64,44]]"
random_open_loop,2,20,3,40,0.696078431372549,0.6766540546068105,"[[96,0],[62,46]]"
LLM_synthetic,2,20,3,40,0.6715686274509803,0.64582415589127,"[[96,0],[67,41]]"
real_only,2,40,3,0,0.6519607843137255,0.6224880756900462,"[[95,1],[70,38]]"
noise_aug,2,40,3,80,0.6470588235294118,0.6182952182952183,"[[94,2],[70,38]]"
rule,2,40,3,80,0.6813725490196079,0.6583090679516582,"[[96,0],[65,43]]"
random_open_loop,2,40,3,80,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
LLM_synthetic,2,40,3,80,0.6519607843137255,0.6201914251999476,"[[96,0],[71,37]]"
real_only,2,10,4,0,0.75,0.7499939925507629,"[[76,20],[31,77]]"
noise_aug,2,10,4,20,0.6862745098039216,0.6843326885880077,"[[62,34],[30,78]]"
rule,2,10,4,20,0.803921568627451,0.8001567398119123,"[[96,0],[40,68]]"
random_open_loop,2,10,4,20,0.7990196078431373,0.7948743102391171,"[[96,0],[41,67]]"
LLM_synthetic,2,10,4,20,0.7941176470588235,0.7895667550839964,"[[96,0],[42,66]]"
real_only,2,20,4,0,0.7892156862745098,0.7890889855978457,"[[83,13],[30,78]]"
noise_aug,2,20,4,40,0.6813725490196079,0.6813036267935684,"[[68,28],[37,71]]"
rule,2,20,4,40,0.7941176470588235,0.7895667550839964,"[[96,0],[42,66]]"
random_open_loop,2,20,4,40,0.7794117647058824,0.7734843437708194,"[[96,0],[45,63]]"
LLM_synthetic,2,20,4,40,0.7450980392156863,0.7349060375849661,"[[96,0],[52,56]]"
real_only,2,40,4,0,0.7794117647058824,0.7793640493186242,"[[81,15],[30,78]]"
noise_aug,2,40,4,80,0.7549019607843137,0.7548076923076923,"[[79,17],[33,75]]"
rule,2,40,4,80,0.7843137254901961,0.7788726842727631,"[[96,0],[44,64]]"
random_open_loop,2,40,4,80,0.7647058823529411,0.7571428571428571,"[[96,0],[48,60]]"
LLM_synthetic,2,40,4,80,0.7647058823529411,0.7571428571428571,"[[96,0],[48,60]]"
real_only,2,10,5,0,0.7205882352941176,0.7190693629049794,"[[81,15],[42,66]]"
noise_aug,2,10,5,20,0.6862745098039216,0.6810942843185149,"[[83,13],[51,57]]"
rule,2,10,5,20,0.8480392156862745,0.8478600813145043,"[[83,13],[18,90]]"
random_open_loop,2,10,5,20,0.7549019607843137,0.7540509259259259,"[[83,13],[37,71]]"
LLM_synthetic,2,10,5,20,0.7254901960784313,0.7233362394652718,"[[83,13],[43,65]]"
real_only,2,20,5,0,0.7254901960784313,0.7241912119748913,"[[81,15],[41,67]]"
noise_aug,2,20,5,40,0.7352941176470589,0.7340415258329309,"[[82,14],[40,68]]"
rule,2,20,5,40,0.7892156862745098,0.7888046226074394,"[[85,11],[32,76]]"
random_open_loop,2,20,5,40,0.7794117647058824,0.7789815817984832,"[[84,12],[33,75]]"
LLM_synthetic,2,20,5,40,0.6813725490196079,0.6765143568100315,"[[82,14],[51,57]]"
real_only,2,40,5,0,0.7156862745098039,0.715001445225937,"[[78,18],[40,68]]"
noise_aug,2,40,5,80,0.7205882352941176,0.7186343068696011,"[[82,14],[43,65]]"
rule,2,40,5,80,0.7549019607843137,0.7540509259259259,"[[83,13],[37,71]]"
random_open_loop,2,40,5,80,0.7598039215686274,0.7584982242516489,"[[85,11],[38,70]]"
LLM_synthetic,2,40,5,80,0.7254901960784313,0.7233362394652718,"[[83,13],[43,65]]"
real_only,2,10,6,0,0.75,0.7414962605908515,"[[58,38],[13,95]]"
noise_aug,2,10,6,20,0.7696078431372549,0.7634169812717447,"[[62,34],[13,95]]"
rule,2,10,6,20,0.8284313725490197,0.8274987316083207,"[[77,19],[16,92]]"
random_open_loop,2,10,6,20,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
LLM_synthetic,2,10,6,20,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
real_only,2,20,6,0,0.7598039215686274,0.7525191255477706,"[[60,36],[13,95]]"
noise_aug,2,20,6,40,0.7647058823529411,0.7579831932773109,"[[61,35],[13,95]]"
rule,2,20,6,40,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
random_open_loop,2,20,6,40,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
LLM_synthetic,2,20,6,40,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
real_only,2,40,6,0,0.7696078431372549,0.7634169812717447,"[[62,34],[13,95]]"
noise_aug,2,40,6,80,0.6421568627450981,0.6070193956986409,"[[35,61],[12,96]]"
rule,2,40,6,80,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
random_open_loop,2,40,6,80,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
LLM_synthetic,2,40,6,80,0.8235294117647058,0.8226943505552873,"[[77,19],[17,91]]"
real_only,2,10,7,0,0.5098039215686274,0.39773264052905055,"[[96,0],[100,8]]"
noise_aug,2,10,7,20,0.5980392156862745,0.5443948142499183,"[[96,0],[82,26]]"
rule,2,10,7,20,0.5686274509803921,0.49910714285714286,"[[96,0],[88,20]]"
random_open_loop,2,10,7,20,0.6078431372549019,0.5588235294117647,"[[96,0],[80,28]]"
LLM_synthetic,2,10,7,20,0.5833333333333334,0.5221429161958828,"[[96,0],[85,23]]"
real_only,2,20,7,0,0.5294117647058824,0.43333333333333335,"[[96,0],[96,12]]"
noise_aug,2,20,7,40,0.5784313725490197,0.5145545102379635,"[[96,0],[86,22]]"
rule,2,20,7,40,0.6127450980392157,0.5659223745522126,"[[96,0],[79,29]]"
random_open_loop,2,20,7,40,0.6225490196078431,0.5798989061538873,"[[96,0],[77,31]]"
LLM_synthetic,2,20,7,40,0.5833333333333334,0.5221429161958828,"[[96,0],[85,23]]"
real_only,2,40,7,0,0.5294117647058824,0.43333333333333335,"[[96,0],[96,12]]"
noise_aug,2,40,7,80,0.5931372549019608,0.5370608339029392,"[[96,0],[83,25]]"
rule,2,40,7,80,0.5882352941176471,0.5296442687747036,"[[96,0],[84,24]]"
random_open_loop,2,40,7,80,0.6519607843137255,0.6201914251999476,"[[96,0],[71,37]]"
LLM_synthetic,2,40,7,80,0.5784313725490197,0.5145545102379635,"[[96,0],[86,22]]"
real_only,2,10,8,0,0.7254901960784313,0.7120967741935484,"[[96,0],[56,52]]"
noise_aug,2,10,8,20,0.6862745098039216,0.6644736842105263,"[[96,0],[64,44]]"
rule,2,10,8,20,0.7696078431372549,0.7626203857294942,"[[96,0],[47,61]]"
random_open_loop,2,10,8,20,0.7401960784313726,0.7292600475773131,"[[96,0],[53,55]]"
LLM_synthetic,2,10,8,20,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
real_only,2,20,8,0,0.7254901960784313,0.7120967741935484,"[[96,0],[56,52]]"
noise_aug,2,20,8,40,0.7058823529411765,0.6886446886446886,"[[96,0],[60,48]]"
rule,2,20,8,40,0.7352941176470589,0.7235772357723578,"[[96,0],[54,54]]"
random_open_loop,2,20,8,40,0.7549019607843137,0.7460918052374789,"[[96,0],[50,58]]"
LLM_synthetic,2,20,8,40,0.7254901960784313,0.7120967741935484,"[[96,0],[56,52]]"
real_only,2,40,8,0,0.7254901960784313,0.7120967741935484,"[[96,0],[56,52]]"
noise_aug,2,40,8,80,0.6764705882352942,0.652093023255814,"[[96,0],[66,42]]"
rule,2,40,8,80,0.7450980392156863,0.7349060375849661,"[[96,0],[52,56]]"
random_open_loop,2,40,8,80,0.7401960784313726,0.7292600475773131,"[[96,0],[53,55]]"
LLM_synthetic,2,40,8,80,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
real_only,2,10,9,0,0.8088235294117647,0.8087086148445577,"[[85,11],[28,80]]"
noise_aug,2,10,9,20,0.8186274509803921,0.8173591114767585,"[[92,4],[33,75]]"
rule,2,10,9,20,0.8235294117647058,0.8214528833997861,"[[95,1],[35,73]]"
random_open_loop,2,10,9,20,0.8088235294117647,0.8074866310160428,"[[91,5],[34,74]]"
LLM_synthetic,2,10,9,20,0.8088235294117647,0.8080440080102299,"[[89,7],[32,76]]"
real_only,2,20,9,0,0.7892156862745098,0.7888046226074394,"[[85,11],[32,76]]"
noise_aug,2,20,9,40,0.8186274509803921,0.8170403587443946,"[[93,3],[34,74]]"
rule,2,20,9,40,0.8137254901960784,0.8111111111111111,"[[95,1],[37,71]]"
random_open_loop,2,20,9,40,0.7990196078431373,0.7948743102391171,"[[96,0],[41,67]]"
LLM_synthetic,2,20,9,40,0.7990196078431373,0.7968670309653916,"[[92,4],[37,71]]"
real_only,2,40,9,0,0.8235294117647058,0.8235124483322118,"[[85,11],[25,83]]"
noise_aug,2,40,9,80,0.8088235294117647,0.8082660561513435,"[[88,8],[31,77]]"
rule,2,40,9,80,0.8088235294117647,0.8054149240589918,"[[96,0],[39,69]]"
random_open_loop,2,40,9,80,0.7941176470588235,0.7907181240840254,"[[94,2],[40,68]]"
LLM_synthetic,2,40,9,80,0.7941176470588235,0.7921195652173914,"[[91,5],[37,71]]"
real_only,2,10,10,0,0.5392156862745098,0.3687952600394997,"[[2,94],[0,108]]"
noise_aug,2,10,10,20,0.5294117647058824,0.34615384615384615,"[[0,96],[0,108]]"
rule,2,10,10,20,0.8578431372549019,0.8518592713158883,"[[67,29],[0,108]]"
random_open_loop,2,10,10,20,0.8186274509803921,0.8075226316460538,"[[59,37],[0,108]]"
LLM_synthetic,2,10,10,20,0.8284313725490197,0.8188139163092851,"[[61,35],[0,108]]"
real_only,2,20,10,0,0.6078431372549019,0.5077220077220077,"[[16,80],[0,108]]"
noise_aug,2,20,10,40,0.5294117647058824,0.34615384615384615,"[[0,96],[0,108]]"
rule,2,20,10,40,0.8676470588235294,0.8636329875467307,"[[71,25],[2,106]]"
random_open_loop,2,20,10,40,0.8627450980392157,0.8608187134502924,"[[76,20],[8,100]]"
LLM_synthetic,2,20,10,40,0.8823529411764706,0.8793851005124163,"[[74,22],[2,106]]"
real_only,2,40,10,0,0.5637254901960784,0.4220595257042814,"[[7,89],[0,108]]"
noise_aug,2,40,10,80,0.5294117647058824,0.34615384615384615,"[[0,96],[0,108]]"
rule,2,40,10,80,0.8774509803921569,0.8745541753781823,"[[74,22],[3,105]]"
random_open_loop,2,40,10,80,0.8431372549019608,0.8416149068322981,"[[76,20],[12,96]]"
LLM_synthetic,2,40,10,80,0.8774509803921569,0.8745541753781823,"[[74,22],[3,105]]"
real_only,2,10,11,0,0.7843137254901961,0.78222049689441,"[[90,6],[38,70]]"
noise_aug,2,10,11,20,0.803921568627451,0.8006839276990718,"[[95,1],[39,69]]"
rule,2,10,11,20,0.7941176470588235,0.7895667550839964,"[[96,0],[42,66]]"
random_open_loop,2,10,11,20,0.7941176470588235,0.7895667550839964,"[[96,0],[42,66]]"
LLM_synthetic,2,10,11,20,0.7598039215686274,0.7516336621363082,"[[96,0],[49,59]]"
real_only,2,20,11,0,0.7990196078431373,0.7964319614476598,"[[93,3],[38,70]]"
noise_aug,2,20,11,40,0.7647058823529411,0.7632495164410058,"[[86,10],[38,70]]"
rule,2,20,11,40,0.7941176470588235,0.7895667550839964,"[[96,0],[42,66]]"
random_open_loop,2,20,11,40,0.7892156862745098,0.7842331816504735,"[[96,0],[43,65]]"
LLM_synthetic,2,20,11,40,0.7401960784313726,0.7292600475773131,"[[96,0],[53,55]]"
real_only,2,40,11,0,0.7941176470588235,0.7921195652173914,"[[91,5],[37,71]]"
noise_aug,2,40,11,80,0.7892156862745098,0.7865018132255945,"[[92,4],[39,69]]"
rule,2,40,11,80,0.7794117647058824,0.7734843437708194,"[[96,0],[45,63]]"
random_open_loop,2,40,11,80,0.7696078431372549,0.7626203857294942,"[[96,0],[47,61]]"
LLM_synthetic,2,40,11,80,0.7058823529411765,0.6886446886446886,"[[96,0],[60,48]]"
real_only,2,10,12,0,0.6323529411764706,0.6224739062846991,"[[81,15],[60,48]]"
noise_aug,2,10,12,20,0.6519607843137255,0.6474797381166792,"[[78,18],[53,55]]"
rule,2,10,12,20,0.7843137254901961,0.783293095123129,"[[87,9],[35,73]]"
random_open_loop,2,10,12,20,0.7401960784313726,0.7374134790528233,"[[86,10],[43,65]]"
LLM_synthetic,2,10,12,20,0.7598039215686274,0.758124228712464,"[[86,10],[39,69]]"
real_only,2,20,12,0,0.6617647058823529,0.6537695240437831,"[[83,13],[56,52]]"
noise_aug,2,20,12,40,0.5392156862745098,0.5385059684251059,"[[59,37],[57,51]]"
rule,2,20,12,40,0.7794117647058824,0.7782126549249837,"[[87,9],[36,72]]"
random_open_loop,2,20,12,40,0.7450980392156863,0.740203761755486,"[[90,6],[46,62]]"
LLM_synthetic,2,20,12,40,0.7647058823529411,0.7628596338273758,"[[87,9],[39,69]]"
real_only,2,40,12,0,0.6666666666666666,0.65929855585028,"[[83,13],[55,53]]"
noise_aug,2,40,12,80,0.6274509803921569,0.6238354037267081,"[[74,22],[54,54]]"
rule,2,40,12,80,0.7892156862745098,0.7880698702616511,"[[88,8],[35,73]]"
random_open_loop,2,40,12,80,0.7794117647058824,0.7774815173918312,"[[89,7],[38,70]]"
LLM_synthetic,2,40,12,80,0.7892156862745098,0.7880698702616511,"[[88,8],[35,73]]"
real_only,2,10,13,0,0.6617647058823529,0.6372819336717602,"[[94,2],[67,41]]"
noise_aug,2,10,13,20,0.6911764705882353,0.6768174617144869,"[[92,4],[59,49]]"
rule,2,10,13,20,0.7401960784313726,0.7332148937745206,"[[92,4],[49,59]]"
random_open_loop,2,10,13,20,0.7303921568627451,0.723147531275446,"[[91,5],[50,58]]"
LLM_synthetic,2,10,13,20,0.7254901960784313,0.7156228218659764,"[[93,3],[53,55]]"
real_only,2,20,13,0,0.6617647058823529,0.6428045778668765,"[[91,5],[64,44]]"
noise_aug,2,20,13,40,0.7549019607843137,0.7478991596638656,"[[94,2],[48,60]]"
rule,2,20,13,40,0.7107843137254902,0.7009466544090243,"[[91,5],[54,54]]"
random_open_loop,2,20,13,40,0.75,0.7440905177714918,"[[92,4],[47,61]]"
LLM_synthetic,2,20,13,40,0.7009803921568627,0.6856861407895734,"[[94,2],[59,49]]"
real_only,2,40,13,0,0.6568627450980392,0.6310077519379844,"[[94,2],[68,40]]"
noise_aug,2,40,13,80,0.7549019607843137,0.7487189594008672,"[[93,3],[47,61]]"
rule,2,40,13,80,0.7450980392156863,0.736904761904762,"[[94,2],[50,58]]"
random_open_loop,2,40,13,80,0.75,0.7440905177714918,"[[92,4],[47,61]]"
LLM_synthetic,2,40,13,80,0.7205882352941176,0.7110840559544811,"[[92,4],[53,55]]"
real_only,2,10,14,0,0.6519607843137255,0.6201914251999476,"[[96,0],[71,37]]"
noise_aug,2,10,14,20,0.6715686274509803,0.64582415589127,"[[96,0],[67,41]]"
rule,2,10,14,20,0.6813725490196079,0.6583090679516582,"[[96,0],[65,43]]"
random_open_loop,2,10,14,20,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
LLM_synthetic,2,10,14,20,0.6813725490196079,0.6583090679516582,"[[96,0],[65,43]]"
real_only,2,20,14,0,0.6666666666666666,0.6395010395010395,"[[96,0],[68,40]]"
noise_aug,2,20,14,40,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
rule,2,20,14,40,0.6862745098039216,0.6644736842105263,"[[96,0],[64,44]]"
random_open_loop,2,20,14,40,0.7058823529411765,0.6886446886446886,"[[96,0],[60,48]]"
LLM_synthetic,2,20,14,40,0.6519607843137255,0.6201914251999476,"[[96,0],[71,37]]"
real_only,2,40,14,0,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
noise_aug,2,40,14,80,0.6862745098039216,0.6644736842105263,"[[96,0],[64,44]]"
rule,2,40,14,80,0.7058823529411765,0.6886446886446886,"[[96,0],[60,48]]"
random_open_loop,2,40,14,80,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
LLM_synthetic,2,40,14,80,0.6666666666666666,0.6395010395010395,"[[96,0],[68,40]]"
real_only,2,10,15,0,0.5833333333333334,0.5779687005622216,"[[71,25],[60,48]]"
noise_aug,2,10,15,20,0.553921568627451,0.5526207976864683,"[[62,34],[57,51]]"
rule,2,10,15,20,0.7156862745098039,0.7004556962025317,"[[96,0],[58,50]]"
random_open_loop,2,10,15,20,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
LLM_synthetic,2,10,15,20,0.7156862745098039,0.7004556962025317,"[[96,0],[58,50]]"
real_only,2,20,15,0,0.6078431372549019,0.6023391812865497,"[[74,22],[58,50]]"
noise_aug,2,20,15,40,0.5245098039215687,0.5242239907672332,"[[56,40],[57,51]]"
rule,2,20,15,40,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
random_open_loop,2,20,15,40,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
LLM_synthetic,2,20,15,40,0.7156862745098039,0.7004556962025317,"[[96,0],[58,50]]"
real_only,2,40,15,0,0.5833333333333334,0.5804195804195804,"[[68,28],[57,51]]"
noise_aug,2,40,15,80,0.6127450980392157,0.6058404871964194,"[[76,20],[59,49]]"
rule,2,40,15,80,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
random_open_loop,2,40,15,80,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
LLM_synthetic,2,40,15,80,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
real_only,2,10,16,0,0.7303921568627451,0.7201646090534979,"[[94,2],[53,55]]"
noise_aug,2,10,16,20,0.7107843137254902,0.7020128246391523,"[[90,6],[53,55]]"
rule,2,10,16,20,0.75,0.7414962605908515,"[[95,1],[50,58]]"
random_open_loop,2,10,16,20,0.7450980392156863,0.7349060375849661,"[[96,0],[52,56]]"
LLM_synthetic,2,10,16,20,0.7450980392156863,0.7349060375849661,"[[96,0],[52,56]]"
real_only,2,20,16,0,0.7303921568627451,0.7201646090534979,"[[94,2],[53,55]]"
noise_aug,2,20,16,40,0.7107843137254902,0.7020128246391523,"[[90,6],[53,55]]"
rule,2,20,16,40,0.75,0.7405162738496072,"[[96,0],[51,57]]"
random_open_loop,2,20,16,40,0.7598039215686274,0.7516336621363082,"[[96,0],[49,59]]"
LLM_synthetic,2,20,16,40,0.7401960784313726,0.7292600475773131,"[[96,0],[53,55]]"
real_only,2,40,16,0,0.7205882352941176,0.708826843620884,"[[94,2],[55,53]]"
noise_aug,2,40,16,80,0.7205882352941176,0.7110840559544811,"[[92,4],[53,55]]"
rule,2,40,16,80,0.7303921568627451,0.7178565141951869,"[[96,0],[55,53]]"
random_open_loop,2,40,16,80,0.7401960784313726,0.7292600475773131,"[[96,0],[53,55]]"
LLM_synthetic,2,40,16,80,0.7352941176470589,0.7235772357723578,"[[96,0],[54,54]]"
real_only,2,10,17,0,0.6470588235294118,0.6392572944297081,"[[51,45],[27,81]]"
noise_aug,2,10,17,20,0.7156862745098039,0.7146990740740741,"[[67,29],[29,79]]"
rule,2,10,17,20,0.7401960784313726,0.7348375229920294,"[[90,6],[47,61]]"
random_open_loop,2,10,17,20,0.7401960784313726,0.7374134790528233,"[[86,10],[43,65]]"
LLM_synthetic,2,10,17,20,0.7843137254901961,0.783293095123129,"[[87,9],[35,73]]"
real_only,2,20,17,0,0.6176470588235294,0.5989919354838709,"[[41,55],[23,85]]"
noise_aug,2,20,17,40,0.5735294117647058,0.5450980392156863,"[[33,63],[24,84]]"
rule,2,20,17,40,0.7107843137254902,0.6986102416426694,"[[93,3],[56,52]]"
random_open_loop,2,20,17,40,0.7254901960784313,0.7194223401119952,"[[89,7],[49,59]]"
LLM_synthetic,2,20,17,40,0.7205882352941176,0.712114084820876,"[[91,5],[52,56]]"
real_only,2,40,17,0,0.6666666666666666,0.6619883040935672,"[[56,40],[28,80]]"
noise_aug,2,40,17,80,0.5784313725490197,0.5491365131578947,"[[33,63],[23,85]]"
rule,2,40,17,80,0.7303921568627451,0.7190434455990985,"[[95,1],[54,54]]"
random_open_loop,2,40,17,80,0.7254901960784313,0.7156228218659764,"[[93,3],[53,55]]"
LLM_synthetic,2,40,17,80,0.7058823529411765,0.6953101662849746,"[[91,5],[55,53]]"
real_only,2,10,18,0,0.7401960784313726,0.7368510721152676,"[[87,9],[44,64]]"
noise_aug,2,10,18,20,0.7303921568627451,0.7255851493139629,"[[88,8],[47,61]]"
rule,2,10,18,20,0.7254901960784313,0.7176470588235293,"[[91,5],[51,57]]"
random_open_loop,2,10,18,20,0.7303921568627451,0.724019185832001,"[[90,6],[49,59]]"
LLM_synthetic,2,10,18,20,0.7303921568627451,0.723147531275446,"[[91,5],[50,58]]"
real_only,2,20,18,0,0.7352941176470589,0.7315789473684211,"[[87,9],[45,63]]"
noise_aug,2,20,18,40,0.7254901960784313,0.7216374269005847,"[[86,10],[46,62]]"
rule,2,20,18,40,0.7254901960784313,0.7156228218659764,"[[93,3],[53,55]]"
random_open_loop,2,20,18,40,0.7303921568627451,0.723147531275446,"[[91,5],[50,58]]"
LLM_synthetic,2,20,18,40,0.7303921568627451,0.724019185832001,"[[90,6],[49,59]]"
real_only,2,40,18,0,0.7303921568627451,0.7262813788392575,"[[87,9],[46,62]]"
noise_aug,2,40,18,80,0.7156862745098039,0.713926499032882,"[[81,15],[43,65]]"
rule,2,40,18,80,0.7303921568627451,0.7212214574999378,"[[93,3],[52,56]]"
random_open_loop,2,40,18,80,0.7254901960784313,0.7166666666666667,"[[92,4],[52,56]]"
LLM_synthetic,2,40,18,80,0.7401960784313726,0.7340548518017465,"[[91,5],[48,60]]"
real_only,2,10,19,0,0.7647058823529411,0.7587702010248325,"[[94,2],[46,62]]"
noise_aug,2,10,19,20,0.7352941176470589,0.7267857142857144,"[[93,3],[51,57]]"
rule,2,10,19,20,0.7401960784313726,0.7323166051843233,"[[93,3],[50,58]]"
random_open_loop,2,10,19,20,0.7401960784313726,0.7323166051843233,"[[93,3],[50,58]]"
LLM_synthetic,2,10,19,20,0.75,0.7448436541998773,"[[91,5],[46,62]]"
real_only,2,20,19,0,0.7303921568627451,0.7222153450025997,"[[92,4],[51,57]]"
noise_aug,2,20,19,40,0.7254901960784313,0.7166666666666667,"[[92,4],[52,56]]"
rule,2,20,19,40,0.7401960784313726,0.7340548518017465,"[[91,5],[48,60]]"
random_open_loop,2,20,19,40,0.7401960784313726,0.7340548518017465,"[[91,5],[48,60]]"
LLM_synthetic,2,20,19,40,0.7549019607843137,0.7508549096238397,"[[90,6],[44,64]]"
real_only,2,40,19,0,0.7352941176470589,0.7286164761529366,"[[91,5],[49,59]]"
noise_aug,2,40,19,80,0.7303921568627451,0.724019185832001,"[[90,6],[49,59]]"
rule,2,40,19,80,0.75,0.7448436541998773,"[[91,5],[46,62]]"
random_open_loop,2,40,19,80,0.7401960784313726,0.7332148937745206,"[[92,4],[49,59]]"
