method,n_real,n_syn,seed,actual_syn,acc,macro_f1,confusion_json
noise_aug,2,40,5,80,0.6274509803921569,0.6168067226890757,"[[81,15],[61,47]]"
rule,2,40,5,80,0.6813725490196079,0.6728107187800725,"[[86,10],[55,53]]"
random_open_loop,2,40,5,80,0.7156862745098039,0.706547619047619,"[[91,5],[53,55]]"
LLM_synthetic,2,40,5,80,0.6519607843137255,0.6414052635488103,"[[84,12],[59,49]]"
real_only,2,10,6,0,0.5931372549019608,0.5405779405779405,"[[26,70],[13,95]]"
noise_aug,2,10,6,20,0.6078431372549019,0.5707070707070707,"[[32,64],[16,92]]"
rule,2,10,6,20,0.7598039215686274,0.7577020967155497,"[[68,28],[21,87]]"
random_open_loop,2,10,6,20,0.75,0.7440905177714918,"[[61,35],[16,92]]"
LLM_synthetic,2,10,6,20,0.803921568627451,0.8020186335403727,"[[72,24],[16,92]]"
real_only,2,20,6,0,0.5931372549019608,0.5405779405779405,"[[26,70],[13,95]]"
noise_aug,2,20,6,40,0.5980392156862745,0.5626895325734602,"[[32,64],[18,90]]"
rule,2,20,6,40,0.8137254901960784,0.8135642135642136,"[[80,16],[22,86]]"
random_open_loop,2,20,6,40,0.7598039215686274,0.7577020967155497,"[[68,28],[21,87]]"
LLM_synthetic,2,20,6,40,0.7990196078431373,0.7984335462103869,"[[76,20],[21,87]]"
real_only,2,40,6,0,0.5931372549019608,0.5405779405779405,"[[26,70],[13,95]]"
noise_aug,2,40,6,80,0.6225490196078431,0.5905856595511767,"[[35,61],[16,92]]"
rule,2,40,6,80,0.8088235294117647,0.8087086148445577,"[[80,16],[23,85]]"
random_open_loop,2,40,6,80,0.8186274509803921,0.8184136454398923,"[[80,16],[21,87]]"
LLM_synthetic,2,40,6,80,0.7990196078431373,0.7986276634163958,"[[77,19],[22,86]]"
real_only,2,10,7,0,0.5196078431372549,0.4157802454704851,"[[96,0],[98,10]]"
noise_aug,2,10,7,20,0.5441176470588235,0.458793324775353,"[[96,0],[93,15]]"
rule,2,10,7,20,0.5980392156862745,0.5443948142499183,"[[96,0],[82,26]]"
random_open_loop,2,10,7,20,0.5833333333333334,0.5221429161958828,"[[96,0],[85,23]]"
LLM_synthetic,2,10,7,20,0.5735294117647058,0.5068767191797949,"[[96,0],[87,21]]"
real_only,2,20,7,0,0.5196078431372549,0.4157802454704851,"[[96,0],[98,10]]"
noise_aug,2,20,7,40,0.553921568627451,0.47522261484098943,"[[96,0],[91,17]]"
rule,2,20,7,40,0.6078431372549019,0.5588235294117647,"[[96,0],[80,28]]"
random_open_loop,2,20,7,40,0.6274509803921569,0.5867803837953092,"[[96,0],[76,32]]"
LLM_synthetic,2,20,7,40,0.5784313725490197,0.5145545102379635,"[[96,0],[86,22]]"
real_only,2,40,7,0,0.5196078431372549,0.4157802454704851,"[[96,0],[98,10]]"
noise_aug,2,40,7,80,0.5588235294117647,0.48328267477203646,"[[96,0],[90,18]]"
rule,2,40,7,80,0.6372549019607843,0.6003388753574076,"[[96,0],[74,34]]"
random_open_loop,2,40,7,80,0.6323529411764706,0.5935931149892422,"[[96,0],[75,33]]"
LLM_synthetic,2,40,7,80,0.5686274509803921,0.49910714285714286,"[[96,0],[88,20]]"
real_only,2,10,8,0,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
noise_aug,2,10,8,20,0.6764705882352942,0.652093023255814,"[[96,0],[66,42]]"
rule,2,10,8,20,0.7990196078431373,0.7954362022158632,"[[95,1],[40,68]]"
random_open_loop,2,10,8,20,0.7647058823529411,0.7571428571428571,"[[96,0],[48,60]]"
LLM_synthetic,2,10,8,20,0.75,0.7405162738496072,"[[96,0],[51,57]]"
real_only,2,20,8,0,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
noise_aug,2,20,8,40,0.6862745098039216,0.6644736842105263,"[[96,0],[64,44]]"
rule,2,20,8,40,0.7990196078431373,0.7948743102391171,"[[96,0],[41,67]]"
random_open_loop,2,20,8,40,0.803921568627451,0.8001567398119123,"[[96,0],[40,68]]"
LLM_synthetic,2,20,8,40,0.7598039215686274,0.7516336621363082,"[[96,0],[49,59]]"
real_only,2,40,8,0,0.7107843137254902,0.6945720303499379,"[[96,0],[59,49]]"
noise_aug,2,40,8,80,0.6764705882352942,0.652093023255814,"[[96,0],[66,42]]"
rule,2,40,8,80,0.803921568627451,0.8001567398119123,"[[96,0],[40,68]]"
random_open_loop,2,40,8,80,0.7990196078431373,0.7948743102391171,"[[96,0],[41,67]]"
LLM_synthetic,2,40,8,80,0.7352941176470589,0.7235772357723578,"[[96,0],[54,54]]"
real_only,2,10,9,0,0.7941176470588235,0.793939393939394,"[[78,18],[24,84]]"
noise_aug,2,10,9,20,0.7892156862745098,0.7891700915711298,"[[82,14],[29,79]]"
rule,2,10,9,20,0.8088235294117647,0.8085981668150215,"[[86,10],[29,79]]"
random_open_loop,2,10,9,20,0.8284313725490197,0.8277318020604627,"[[91,5],[30,78]]"
LLM_synthetic,2,10,9,20,0.803921568627451,0.8037518037518038,"[[85,11],[29,79]]"
real_only,2,20,9,0,0.7941176470588235,0.793939393939394,"[[78,18],[24,84]]"
noise_aug,2,20,9,40,0.803921568627451,0.8034492725696116,"[[87,9],[31,77]]"
rule,2,20,9,40,0.8088235294117647,0.806775956284153,"[[93,3],[36,72]]"
random_open_loop,2,20,9,40,0.7990196078431373,0.7964319614476598,"[[93,3],[38,70]]"
LLM_synthetic,2,20,9,40,0.7990196078431373,0.7987826881901509,"[[85,11],[30,78]]"
real_only,2,40,9,0,0.7941176470588235,0.793939393939394,"[[78,18],[24,84]]"
noise_aug,2,40,9,80,0.7843137254901961,0.783981517135156,"[[84,12],[32,76]]"
rule,2,40,9,80,0.7990196078431373,0.7964319614476598,"[[93,3],[38,70]]"
random_open_loop,2,40,9,80,0.7843137254901961,0.780752320468979,"[[93,3],[41,67]]"
LLM_synthetic,2,40,9,80,0.7794117647058824,0.7785123169348807,"[[86,10],[35,73]]"
real_only,2,10,10,0,0.7058823529411765,0.6886446886446886,"[[48,48],[12,96]]"
noise_aug,2,10,10,20,0.7156862745098039,0.697515083341855,"[[48,48],[10,98]]"
rule,2,10,10,20,0.8186274509803921,0.8180985660923003,"[[89,7],[30,78]]"
random_open_loop,2,10,10,20,0.8578431372549019,0.8578123873386689,"[[86,10],[19,89]]"
LLM_synthetic,2,10,10,20,0.8186274509803921,0.8185882183286466,"[[82,14],[23,85]]"
real_only,2,20,10,0,0.7058823529411765,0.6886446886446886,"[[48,48],[12,96]]"
noise_aug,2,20,10,40,0.7107843137254902,0.6930766288410047,"[[48,48],[11,97]]"
rule,2,20,10,40,0.7892156862745098,0.7860018052743285,"[[93,3],[40,68]]"
random_open_loop,2,20,10,40,0.8235294117647058,0.8229166666666667,"[[90,6],[30,78]]"
LLM_synthetic,2,20,10,40,0.7450980392156863,0.7435203094777563,"[[84,12],[40,68]]"
real_only,2,40,10,0,0.7058823529411765,0.6886446886446886,"[[48,48],[12,96]]"
noise_aug,2,40,10,80,0.7058823529411765,0.6854440789473684,"[[46,50],[10,98]]"
rule,2,40,10,80,0.7843137254901961,0.780752320468979,"[[93,3],[41,67]]"
random_open_loop,2,40,10,80,0.7696078431372549,0.7648559166155733,"[[93,3],[44,64]]"
LLM_synthetic,2,40,10,80,0.7598039215686274,0.758124228712464,"[[86,10],[39,69]]"
real_only,2,10,11,0,0.6764705882352942,0.6764394886090551,"[[68,28],[38,70]]"
noise_aug,2,10,11,20,0.6764705882352942,0.6764394886090551,"[[68,28],[38,70]]"
rule,2,10,11,20,0.7647058823529411,0.7632495164410058,"[[86,10],[38,70]]"
random_open_loop,2,10,11,20,0.803921568627451,0.8020186335403727,"[[92,4],[36,72]]"
LLM_synthetic,2,10,11,20,0.803921568627451,0.8006839276990718,"[[95,1],[39,69]]"
real_only,2,20,11,0,0.6764705882352942,0.6764394886090551,"[[68,28],[38,70]]"
noise_aug,2,20,11,40,0.6568627450980392,0.6565656565656566,"[[64,32],[38,70]]"
rule,2,20,11,40,0.803921568627451,0.8006839276990718,"[[95,1],[39,69]]"
random_open_loop,2,20,11,40,0.7892156862745098,0.7854574803727346,"[[94,2],[41,67]]"
LLM_synthetic,2,20,11,40,0.7892156862745098,0.7848681790312693,"[[95,1],[42,66]]"
real_only,2,40,11,0,0.6764705882352942,0.6764394886090551,"[[68,28],[38,70]]"
noise_aug,2,40,11,80,0.6568627450980392,0.6565656565656566,"[[64,32],[38,70]]"
rule,2,40,11,80,0.7941176470588235,0.7907181240840254,"[[94,2],[40,68]]"
random_open_loop,2,40,11,80,0.7892156862745098,0.7854574803727346,"[[94,2],[41,67]]"
LLM_synthetic,2,40,11,80,0.7205882352941176,0.707596751075012,"[[95,1],[56,52]]"
real_only,2,10,12,0,0.8137254901960784,0.813438582980362,"[[87,9],[29,79]]"
noise_aug,2,10,12,20,0.8284313725490197,0.8282291240647629,"[[88,8],[27,81]]"
rule,2,10,12,20,0.8186274509803921,0.8180985660923003,"[[89,7],[30,78]]"
random_open_loop,2,10,12,20,0.8382352941176471,0.8377635859742137,"[[91,5],[28,80]]"
LLM_synthetic,2,10,12,20,0.8333333333333334,0.83293188168417,"[[90,6],[28,80]]"
real_only,2,20,12,0,0.8137254901960784,0.813438582980362,"[[87,9],[29,79]]"
noise_aug,2,20,12,40,0.8186274509803921,0.8185184294679138,"[[86,10],[27,81]]"
rule,2,20,12,40,0.8480392156862745,0.8478600813145043,"[[90,6],[25,83]]"
random_open_loop,2,20,12,40,0.8284313725490197,0.8277318020604627,"[[91,5],[30,78]]"
LLM_synthetic,2,20,12,40,0.8284313725490197,0.827931076033257,"[[90,6],[29,79]]"
real_only,2,40,12,0,0.8137254901960784,0.813438582980362,"[[87,9],[29,79]]"
noise_aug,2,40,12,80,0.8137254901960784,0.8136538461538462,"[[85,11],[27,81]]"
rule,2,40,12,80,0.8284313725490197,0.827931076033257,"[[90,6],[29,79]]"
random_open_loop,2,40,12,80,0.8284313725490197,0.827931076033257,"[[90,6],[29,79]]"
LLM_synthetic,2,40,12,80,0.8284313725490197,0.827931076033257,"[[90,6],[29,79]]"
real_only,2,10,13,0,0.6127450980392157,0.5799515208382203,"[[91,5],[74,34]]"
noise_aug,2,10,13,20,0.6225490196078431,0.5952276651119643,"[[90,6],[71,37]]"
rule,2,10,13,20,0.6274509803921569,0.6036404540341548,"[[89,7],[69,39]]"
random_open_loop,2,10,13,20,0.6715686274509803,0.6496732026143791,"[[94,2],[65,43]]"
LLM_synthetic,2,10,13,20,0.6078431372549019,0.5782945736434109,"[[89,7],[73,35]]"
real_only,2,20,13,0,0.6127450980392157,0.5799515208382203,"[[91,5],[74,34]]"
noise_aug,2,20,13,40,0.6127450980392157,0.5823896763494079,"[[90,6],[73,35]]"
rule,2,20,13,40,0.6568627450980392,0.6349319971367215,"[[92,4],[66,42]]"
random_open_loop,2,20,13,40,0.6911764705882353,0.6738650493567133,"[[94,2],[61,47]]"
LLM_synthetic,2,20,13,40,0.6127450980392157,0.5823896763494079,"[[90,6],[73,35]]"
real_only,2,40,13,0,0.6127450980392157,0.5799515208382203,"[[91,5],[74,34]]"
noise_aug,2,40,13,80,0.5980392156862745,0.5677519379844961,"[[88,8],[74,34]]"
rule,2,40,13,80,0.6715686274509803,0.6547700234901872,"[[91,5],[62,46]]"
random_open_loop,2,40,13,80,0.7009803921568627,0.6842185398533256,"[[95,1],[60,48]]"
LLM_synthetic,2,40,13,80,0.6225490196078431,0.5952276651119643,"[[90,6],[71,37]]"
real_only,2,10,14,0,0.6372549019607843,0.6053539684199518,"[[94,2],[72,36]]"
noise_aug,2,10,14,20,0.6568627450980392,0.6349319971367215,"[[92,4],[66,42]]"
rule,2,10,14,20,0.6617647058823529,0.6331222144030026,"[[96,0],[69,39]]"
random_open_loop,2,10,14,20,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
LLM_synthetic,2,10,14,20,0.6813725490196079,0.6583090679516582,"[[96,0],[65,43]]"
real_only,2,20,14,0,0.6372549019607843,0.6053539684199518,"[[94,2],[72,36]]"
noise_aug,2,20,14,40,0.696078431372549,0.6863095238095238,"[[89,7],[55,53]]"
rule,2,20,14,40,0.6519607843137255,0.6224880756900462,"[[95,1],[70,38]]"
random_open_loop,2,20,14,40,0.7401960784313726,0.7303404414515526,"[[95,1],[52,56]]"
LLM_synthetic,2,20,14,40,0.6813725490196079,0.6601307189542484,"[[95,1],[64,44]]"
real_only,2,40,14,0,0.6372549019607843,0.6053539684199518,"[[94,2],[72,36]]"
noise_aug,2,40,14,80,0.6421568627450981,0.6255186461136117,"[[87,9],[64,44]]"
rule,2,40,14,80,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
random_open_loop,2,40,14,80,0.7303921568627451,0.7190434455990985,"[[95,1],[54,54]]"
LLM_synthetic,2,40,14,80,0.6764705882352942,0.655793025871766,"[[94,2],[64,44]]"
real_only,2,10,15,0,0.6666666666666666,0.662744335310707,"[[79,17],[51,57]]"
noise_aug,2,10,15,20,0.6617647058823529,0.6574098863387445,"[[79,17],[52,56]]"
rule,2,10,15,20,0.7107843137254902,0.6959915132227021,"[[95,1],[58,50]]"
random_open_loop,2,10,15,20,0.7058823529411765,0.6915322580645161,"[[94,2],[58,50]]"
LLM_synthetic,2,10,15,20,0.7009803921568627,0.6842185398533256,"[[95,1],[60,48]]"
real_only,2,20,15,0,0.6666666666666666,0.662744335310707,"[[79,17],[51,57]]"
noise_aug,2,20,15,40,0.6715686274509803,0.6665609524041862,"[[81,15],[52,56]]"
rule,2,20,15,40,0.7058823529411765,0.690126582278481,"[[95,1],[59,49]]"
random_open_loop,2,20,15,40,0.7058823529411765,0.690126582278481,"[[95,1],[59,49]]"
LLM_synthetic,2,20,15,40,0.7009803921568627,0.6842185398533256,"[[95,1],[60,48]]"
real_only,2,40,15,0,0.6666666666666666,0.662744335310707,"[[79,17],[51,57]]"
noise_aug,2,40,15,80,0.6813725490196079,0.6756915400983198,"[[83,13],[52,56]]"
rule,2,40,15,80,0.7156862745098039,0.7004556962025317,"[[96,0],[58,50]]"
random_open_loop,2,40,15,80,0.7009803921568627,0.6826724467678185,"[[96,0],[61,47]]"
LLM_synthetic,2,40,15,80,0.7058823529411765,0.6886446886446886,"[[96,0],[60,48]]"
real_only,2,10,16,0,0.7254901960784313,0.7209574987787005,"[[87,9],[47,61]]"
noise_aug,2,10,16,20,0.7205882352941176,0.7169907756711369,"[[85,11],[46,62]]"
rule,2,10,16,20,0.7107843137254902,0.7039478538925101,"[[88,8],[51,57]]"
random_open_loop,2,10,16,20,0.7254901960784313,0.7222600408441116,"[[85,11],[45,63]]"
LLM_synthetic,2,10,16,20,0.7107843137254902,0.706374570027567,"[[85,11],[48,60]]"
real_only,2,20,16,0,0.7254901960784313,0.7209574987787005,"[[87,9],[47,61]]"
noise_aug,2,20,16,40,0.7450980392156863,0.7430979366463237,"[[85,11],[41,67]]"
rule,2,20,16,40,0.7450980392156863,0.7408891060087933,"[[89,7],[45,63]]"
random_open_loop,2,20,16,40,0.7254901960784313,0.7209574987787005,"[[87,9],[47,61]]"
LLM_synthetic,2,20,16,40,0.7009803921568627,0.695648983784577,"[[85,11],[50,58]]"
real_only,2,40,16,0,0.7254901960784313,0.7209574987787005,"[[87,9],[47,61]]"
noise_aug,2,40,16,80,0.7205882352941176,0.7169907756711369,"[[85,11],[46,62]]"
rule,2,40,16,80,0.7745098039215687,0.7707865168539326,"[[92,4],[42,66]]"
random_open_loop,2,40,16,80,0.7450980392156863,0.7378151260504202,"[[93,3],[49,59]]"
LLM_synthetic,2,40,16,80,0.6862745098039216,0.67836026803311,"[[86,10],[54,54]]"
real_only,2,10,17,0,0.5637254901960784,0.5636311197635013,"[[56,40],[49,59]]"
noise_aug,2,10,17,20,0.5784313725490197,0.5774159360246651,"[[54,42],[44,64]]"
rule,2,10,17,20,0.7009803921568627,0.6964211656217218,"[[84,12],[49,59]]"
random_open_loop,2,10,17,20,0.7107843137254902,0.7070606274490715,"[[84,12],[47,61]]"
