n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
10,False,10,acc,LLM_synthetic>rule,0.9310751235312298,-0.01715686274509804,-0.004901960784313708,0.25,-0.2563786648035724,1.0
10,False,10,acc,LLM_synthetic>random_open_loop,0.9336010236970913,-0.01740196078431373,-0.002450980392156854,0.25,-0.25623606068081844,1.0
10,False,10,acc,LLM_synthetic>real_only,0.993301176071192,-0.020833333333333336,-0.004901960784313764,0.2,-0.29506737450882575,
10,False,10,macro_f1,LLM_synthetic>noise_aug,0.80475420590375,-0.023585693768873824,-0.0025539752826928552,0.4,-0.23382002196154106,1.0
10,False,10,macro_f1,LLM_synthetic>rule,0.9220703156634782,-0.024855892397891235,-0.004726586646720099,0.3,-0.248046702947998,1.0
10,False,10,macro_f1,LLM_synthetic>random_open_loop,0.9553200980092326,-0.025415250310964553,-0.0030230853482030584,0.3,-0.251149409229974,1.0
10,False,10,macro_f1,LLM_synthetic>real_only,0.9911259290774734,-0.028649614092423746,-0.0059005431806039566,0.2,-0.2753835198379098,
20,False,2,acc,LLM_synthetic>noise_aug,0.0016859072735817694,0.05392156862745099,0.02941176470588236,0.75,0.794946933259915,0.005057721820745308
20,False,2,acc,LLM_synthetic>rule,0.9984179991840955,-0.01985294117647058,-0.019607843137254832,0.2,-0.8049740109344645,1.0
20,False,2,acc,LLM_synthetic>random_open_loop,0.996801541913471,-0.024019607843137253,-0.019607843137254943,0.15,-0.6894178245698048,1.0
20,False,2,acc,LLM_synthetic>real_only,0.00038855916590508423,0.06029411764705883,0.04656862745098039,0.85,0.9299044785260263,
20,False,2,macro_f1,LLM_synthetic>noise_aug,0.0024115548078885974,0.05696239089756312,0.03265132725194084,0.75,0.7705996623191564,0.007234664423665792
20,False,2,macro_f1,LLM_synthetic>rule,0.9991550445556641,-0.02153361871315639,-0.01787237697452493,0.2,-0.7784502824528117,1.0
20,False,2,macro_f1,LLM_synthetic>random_open_loop,0.9975700378417969,-0.02813473527744807,-0.020409342382329554,0.25,-0.705066363435517,1.0
20,False,2,macro_f1,LLM_synthetic>real_only,0.00013065338134765625,0.06708659501019569,0.05482618568368208,0.9,0.9164347438809093,
20,False,5,acc,LLM_synthetic>noise_aug,0.17518125833467973,0.008088235294117629,0.004901960784313708,0.55,0.2811184380148227,0.5255437750040393
20,False,5,acc,LLM_synthetic>rule,0.9928272033436768,-0.01176470588235295,-0.014705882352941235,0.2,-0.660578259038726,1.0
20,False,5,acc,LLM_synthetic>random_open_loop,0.9993015359503774,-0.016176470588235303,-0.019607843137254888,0.15,-0.9921432556092411,1.0
20,False,5,acc,LLM_synthetic>real_only,0.22718369347618583,0.0068627450980391965,0.007352941176470562,0.6,0.2325189038481444,
20,False,5,macro_f1,LLM_synthetic>noise_aug,0.20454883575439453,0.007994764538949012,0.004504078461357364,0.55,0.25574184094003777,0.6136465072631836
20,False,5,macro_f1,LLM_synthetic>rule,0.9946556091308594,-0.013323112098098,-0.0177788174318132,0.35,-0.6731779419022497,1.0
