method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
random_open_loop,sharp,ch5_tpf_amp_ratio,0.055496024,0.04991961,-0.0055764145,-0.184006,-0.100483,0.618137
random_open_loop,sharp,energy_frac_ch0,0.058475151,0.27289843,0.21442328,120.508520,3.666913,0.125000
random_open_loop,sharp,energy_frac_ch1,0.8836246,0.57409894,-0.30952565,-9.123955,-0.350291,0.166176
random_open_loop,sharp,energy_frac_ch2,0.04113655,0.030795563,-0.010340988,-0.302139,-0.251382,0.331373
random_open_loop,sharp,energy_frac_ch3,0.0048482995,0.013308516,0.0084602169,3.125844,1.744986,0.235294
random_open_loop,sharp,energy_frac_ch4,0.0010649405,0.0083936045,0.007328664,16.506112,6.881759,0.324510
random_open_loop,sharp,energy_frac_ch5,0.0018104221,0.012255597,0.010445175,9.250440,5.769469,0.251961
random_open_loop,sharp,high_band_frac,0.011751773,0.036797662,0.025045889,4.436108,2.131243,0.141176
random_open_loop,sharp,total_rms,1.8646022,1.6959985,-0.16860371,-0.245000,-0.090423,0.152941
random_open_loop,worn,ch0_band0_frac,0.0046332941,0.0061569041,0.00152361,0.537861,0.328839,0.574481
random_open_loop,worn,ch0_band1_frac,0.98208213,0.9387516,-0.04333053,-7.063084,-0.044121,0.001730
random_open_loop,worn,ch0_band2_frac,0.002728005,0.011750095,0.0090220904,5.936623,3.307212,0.057093
random_open_loop,worn,ch0_band3_frac,0.0026568001,0.017207055,0.014550255,12.220357,5.476609,0.000000
random_open_loop,worn,ch0_band4_frac,0.0030907785,0.017195979,0.014105201,10.822925,4.563640,0.001730
random_open_loop,worn,ch0_band5_frac,0.0031478864,0.013122863,0.0099749763,7.336736,3.168785,0.020761
random_open_loop,worn,ch0_crest,1.8972932,2.6075678,0.7102746,4.063642,0.374362,0.183045
random_open_loop,worn,ch0_kurtosis,1.5981081,2.487276,0.88916789,17.758179,0.556388,0.046713
random_open_loop,worn,ch0_rms,1.6641238,2.2384584,0.57433458,0.667683,0.345127,0.150519
random_open_loop,worn,ch0_skewness,-0.011776697,0.0080557214,0.019832418,1.000618,1.684039,0.405882
random_open_loop,worn,ch0_tooth_rms_cv,0.39760559,0.56941256,0.17180697,5.912986,0.432104,0.128028
random_open_loop,worn,ch0_tpf_amp_ratio,0.0030529902,0.011103989,0.0080509987,5.695234,2.637086,0.055363
random_open_loop,worn,ch1_band0_frac,0.65669002,0.75361836,0.096928337,0.150779,0.147601,0.179931
random_open_loop,worn,ch1_band1_frac,0.022030967,0.11270748,0.090676509,1.090267,4.115866,0.244550
random_open_loop,worn,ch1_band2_frac,0.083980745,0.060079008,-0.023901738,-0.152730,-0.284610,0.229152
random_open_loop,worn,ch1_band3_frac,0.00017600102,0.027671849,0.027495848,102.460486,156.225506,0.325000
random_open_loop,worn,ch1_band4_frac,6.3335488e-05,0.026211742,0.026148406,186.759777,412.855520,0.012111
random_open_loop,worn,ch1_band5_frac,4.343938e-05,0.020416142,0.020372702,225.355428,468.991544,0.000000
random_open_loop,worn,ch1_crest,1.0387061,1.1336077,0.09490168,2.253245,0.091365,0.369550
random_open_loop,worn,ch1_kurtosis,2.371822,2.3988641,0.027042061,0.036549,0.011401,0.970588
random_open_loop,worn,ch1_rms,6.5480722,8.9965651,2.4484929,0.726260,0.373926,0.119377
random_open_loop,worn,ch1_skewness,-0.031065346,-0.12834277,-0.097277421,-0.547423,-3.131381,0.700779
random_open_loop,worn,ch1_tooth_rms_cv,0.017993949,0.054203684,0.036209735,1.544279,2.012328,0.380623
random_open_loop,worn,ch1_tpf_amp_ratio,0.00058047516,0.010331983,0.0097515074,9.216553,16.799181,0.010381
random_open_loop,worn,ch2_band0_frac,0.016298047,0.024643362,0.0083453142,0.436458,0.512044,0.746280
random_open_loop,worn,ch2_band1_frac,0.16039355,0.33499082,0.17459727,1.070005,1.088555,0.368339
random_open_loop,worn,ch2_band2_frac,0.29373118,0.44769331,0.15396213,0.752699,0.524160,0.467734
random_open_loop,worn,ch2_band3_frac,0.10298489,0.087010997,-0.01597389,-0.225805,-0.155109,0.502336
random_open_loop,worn,ch2_band4_frac,0.23902639,0.076598917,-0.16242748,-0.662612,-0.679538,0.290484
random_open_loop,worn,ch2_band5_frac,0.013238743,0.023096565,0.009857822,1.330392,0.744619,0.387197
random_open_loop,worn,ch2_crest,1.374628,1.7321637,0.35753568,1.664899,0.260096,0.439273
random_open_loop,worn,ch2_kurtosis,2.6675527,2.741757,0.07420428,0.167011,0.027817,0.752076
random_open_loop,worn,ch2_rms,0.82795875,0.74245366,-0.085505089,-0.234135,-0.103272,0.332180
random_open_loop,worn,ch2_skewness,0.018945702,-0.047073099,-0.0660188,-0.156140,-3.484632,0.697318
random_open_loop,worn,ch2_tooth_rms_cv,0.11990188,0.23401487,0.11411299,1.609728,0.951720,0.304152
random_open_loop,worn,ch2_tpf_amp_ratio,0.10006333,0.057426419,-0.042636908,-0.527727,-0.426099,0.296626
random_open_loop,worn,ch3_band0_frac,0.33678739,0.46425936,0.12747197,0.569425,0.378494,0.408131
random_open_loop,worn,ch3_band1_frac,0.14046564,0.13814688,-0.0023187594,-0.038449,-0.016508,0.577509
random_open_loop,worn,ch3_band2_frac,0.1506968,0.1443061,-0.0063907014,-0.079508,-0.042408,0.549654
random_open_loop,worn,ch3_band3_frac,0.10901849,0.10938178,0.00036328806,0.009061,0.003332,0.628287
random_open_loop,worn,ch3_band4_frac,0.093754223,0.084863755,-0.0088904671,-0.128251,-0.094827,0.449827
