class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
healthy,llm,171.875,6.175612028243857e-05,0.0001462315748276245,0.00026732154204000007,150,500-2000
healthy,llm,175.78125,6.027548698912189e-05,0.0001197532608509107,0.000271598163756466,150,500-2000
healthy,llm,179.6875,5.818101473276226e-05,0.0001174637065041542,0.0002839497117072154,150,500-2000
healthy,llm,183.59375,5.622776417038758e-05,0.00011817576338360111,0.00025160177462962564,150,500-2000
healthy,llm,187.5,5.469761951755478e-05,0.0001358088706077098,0.0002481480113495359,150,500-2000
healthy,llm,191.40625,5.866270893302578e-05,0.00013166179608581848,0.0002725871811079522,150,500-2000
healthy,llm,195.3125,5.0130394943211066e-05,0.00012114111061493359,0.0002980659064555258,150,500-2000
healthy,llm,199.21875,5.598967890094185e-05,0.0001232359877516852,0.00031826670590205284,150,500-2000
healthy,llm,203.125,5.065212878101102e-05,0.0001232243515883877,0.0002811306249438595,150,500-2000
healthy,llm,207.03125,5.590549567395538e-05,0.00013402379757726512,0.00027339860316275054,150,500-2000
healthy,llm,210.9375,6.089791004308837e-05,0.0001247651162879171,0.00024989449413380393,150,500-2000
healthy,llm,214.84375,5.8943671969632317e-05,0.00012475267379709145,0.00024349666044290056,150,500-2000
healthy,llm,218.75,6.236221110068096e-05,0.00010797212126507219,0.00025484047047286075,150,500-2000
healthy,rule,0.0,1.8378804472018734e-05,4.588441867004801e-05,8.001717692688043e-05,150,500-2000
healthy,rule,3.90625,5.1780497634981544e-05,8.42281227092996e-05,0.00012597472034127233,150,500-2000
healthy,rule,7.8125,6.018695771784339e-05,8.904053910321387e-05,0.00013967241944164553,150,500-2000
healthy,rule,11.71875,6.513825634812715e-05,0.00010516338948500211,0.00015356838292428853,150,500-2000
healthy,rule,15.625,6.251004211462147e-05,9.199644557214502e-05,0.00013245039260058688,150,500-2000
healthy,rule,19.53125,6.39016146480532e-05,0.00010291703734824352,0.00013417226427614375,150,500-2000
healthy,rule,23.4375,7.161986189616625e-05,0.0001082512192874283,0.0001474712055307432,150,500-2000
healthy,rule,27.34375,6.807821219960154e-05,0.00011258261225581003,0.00015573560739450963,150,500-2000
healthy,rule,31.25,6.879614240435871e-05,0.00010497283081659054,0.00015159028466750225,150,500-2000
healthy,rule,35.15625,6.461874824122713e-05,0.00010075231602663528,0.00015210542090945278,150,500-2000
healthy,rule,39.0625,6.103341294874013e-05,9.423653345012641e-05,0.00014373731279390098,150,500-2000
healthy,rule,42.96875,6.0254788364915995e-05,9.418271456786422e-05,0.00014082526845933668,150,500-2000
healthy,rule,46.875,6.950640749136489e-05,0.00010039355192434737,0.00013958745784264484,150,500-2000
healthy,rule,50.78125,6.45811066471739e-05,9.89947398537565e-05,0.00014514511355890388,150,500-2000
healthy,rule,54.6875,6.326127474318812e-05,9.78763580839307e-05,0.00015207167763012827,150,500-2000
healthy,rule,58.59375,5.5040251656723016e-05,9.556315157490177e-05,0.00014423388014259182,150,500-2000
healthy,rule,62.5,6.264609857475819e-05,0.00010159692870853799,0.00014203423425725555,150,500-2000
healthy,rule,66.40625,6.032433023647493e-05,9.414167105387243e-05,0.00012620731752672104,150,500-2000
healthy,rule,70.3125,5.956382331876265e-05,9.714167988585093e-05,0.00012982777850388752,150,500-2000
healthy,rule,74.21875,6.416389633440713e-05,8.809667273403827e-05,0.00012147344116199938,150,500-2000
healthy,rule,78.125,6.423439468968932e-05,9.063913583750845e-05,0.00012688397721836861,150,500-2000
healthy,rule,82.03125,6.895149451942243e-05,0.00010685912015816897,0.0001390110960712493,150,500-2000
healthy,rule,85.9375,6.522808352764538e-05,9.928044007412773e-05,0.000143463159101949,150,500-2000
healthy,rule,89.84375,6.185543112941527e-05,9.612072607747062e-05,0.000134031973284961,150,500-2000
healthy,rule,93.75,6.292038259088081e-05,9.98302814094431e-05,0.00013796755758554204,150,500-2000
healthy,rule,97.65625,6.321019923126529e-05,0.00010328366154605326,0.00014098731105627706,150,500-2000
healthy,rule,101.5625,5.374243874332644e-05,8.91410927458242e-05,0.00013012487997312962,150,500-2000
healthy,rule,105.46875,6.086520086599973e-05,0.00010577250944571142,0.0001441943507696326,150,500-2000
healthy,rule,109.375,6.793765195206046e-05,0.0001057295996459508,0.0001559769784141318,150,500-2000
healthy,rule,113.28125,6.37125599415941e-05,0.00010030177159663716,0.00014856939342397076,150,500-2000
healthy,rule,117.1875,6.703614285531601e-05,0.00010040119278141861,0.0001370114914888369,150,500-2000
healthy,rule,121.09375,6.0914234772647645e-05,0.00010295638491420565,0.00014265791629032196,150,500-2000
healthy,rule,125.0,5.993742994311143e-05,8.636129601966545e-05,0.00012878827590799726,150,500-2000
healthy,rule,128.90625,5.698670537931577e-05,9.125872439947347e-05,0.00012627264753370168,150,500-2000
healthy,rule,132.8125,6.888143410099503e-05,0.00010081884386541951,0.00014086019332032825,150,500-2000
healthy,rule,136.71875,6.021552454838659e-05,8.991003997805587e-05,0.00013458484967491906,150,500-2000
healthy,rule,140.625,6.854122522801065e-05,0.00010648630951547999,0.00014688810331324914,150,500-2000
healthy,rule,144.53125,6.386877748308051e-05,9.691785156460859e-05,0.00014662655869143222,150,500-2000
healthy,rule,148.4375,5.526470768878951e-05,8.964433658306746e-05,0.00014051987092504695,150,500-2000
healthy,rule,152.34375,5.54805185761276e-05,8.733966335023341e-05,0.0001295778592177127,150,500-2000
healthy,rule,156.25,5.9906321836235036e-05,9.294541519647129e-05,0.00013361638870796206,150,500-2000
healthy,rule,160.15625,6.168678082174432e-05,8.663905489184351e-05,0.00013142985130921135,150,500-2000
healthy,rule,164.0625,6.154369744285063e-05,0.0001048855773599329,0.00013346856781110407,150,500-2000
healthy,rule,167.96875,5.8504088958889e-05,8.957103458468696e-05,0.00013363459477068376,150,500-2000
healthy,rule,171.875,5.748309271704313e-05,0.00010342173192458078,0.0001401746191203018,150,500-2000
healthy,rule,175.78125,7.092356072832548e-05,9.667922940775675e-05,0.00015240343386977118,150,500-2000
healthy,rule,179.6875,6.767470850336649e-05,9.860559614309888e-05,0.00015403253703394007,150,500-2000
