split,method,n_real,metric,n_seeds,mean,std,median,min,max
lolo_load2,real_only,10,acc,40,0.30657999999999996,0.12371485038235387,0.3207,0.1097,0.5709
lolo_load2,real_only,10,macro_f1,40,0.2333425,0.13471549677194833,0.20435,0.0756,0.566
lolo_load2,real_only,25,acc,40,0.5544425000000001,0.07754624720209358,0.56645,0.372,0.7038
lolo_load2,real_only,25,macro_f1,40,0.5139549999999999,0.0842979786538693,0.5176000000000001,0.2962,0.6653
lolo_load3,llm,5,acc,40,0.621865,0.04378440507994973,0.6291,0.5423,0.7088
lolo_load3,llm,5,macro_f1,40,0.586425,0.06949762862584151,0.5972500000000001,0.4243,0.7217
lolo_load3,llm,10,acc,40,0.63473,0.04003921923468385,0.6416,0.5325,0.7124
lolo_load3,llm,10,macro_f1,40,0.6203875,0.05343166826028291,0.62435,0.5005,0.7286
lolo_load3,llm,25,acc,40,0.666555,0.037226795904742226,0.67055,0.5886,0.7284
lolo_load3,llm,25,macro_f1,40,0.665155,0.040844853110777936,0.66345,0.5617,0.7348
lolo_load3,rule,5,acc,40,0.5970799999999999,0.03604063376317462,0.5962000000000001,0.5165,0.6714
lolo_load3,rule,5,macro_f1,40,0.5597125000000001,0.06329055581307691,0.5609,0.4112,0.6776
lolo_load3,rule,10,acc,40,0.6057400000000001,0.038327587975243105,0.6126499999999999,0.5085,0.6705
lolo_load3,rule,10,macro_f1,40,0.5914325,0.05362071159112364,0.60625,0.4522,0.6797
lolo_load3,rule,25,acc,40,0.6496,0.03793820887057917,0.6527,0.5726,0.7106
lolo_load3,rule,25,macro_f1,40,0.6465725,0.041713313299356305,0.64535,0.5625,0.7181
lolo_load3,noise_aug,5,acc,40,0.5349325,0.0695400581384387,0.5276000000000001,0.2832,0.6759
lolo_load3,noise_aug,5,macro_f1,40,0.5100125,0.07822783355243638,0.49195,0.2179,0.6731
lolo_load3,noise_aug,10,acc,40,0.5655075,0.04977477678348899,0.5681,0.4764,0.6946
lolo_load3,noise_aug,10,macro_f1,40,0.54367,0.06756653017582005,0.5357000000000001,0.4166,0.6971
lolo_load3,noise_aug,25,acc,40,0.6385350000000001,0.048635966168342995,0.6376,0.5361,0.7275
lolo_load3,noise_aug,25,macro_f1,40,0.6339425000000001,0.054366099389422017,0.6375,0.5335,0.722
lolo_load3,real_only,5,acc,40,0.24866749999999999,0.06324270055173896,0.21815,0.1701,0.4087
lolo_load3,real_only,5,macro_f1,40,0.14060999999999998,0.06136370262622685,0.12539999999999998,0.0868,0.3479
lolo_load3,real_only,10,acc,40,0.3131325,0.11885470204715481,0.3241,0.1104,0.5797
lolo_load3,real_only,10,macro_f1,40,0.23847999999999997,0.13662713099189677,0.18945,0.0701,0.6083
lolo_load3,real_only,25,acc,40,0.5502925000000001,0.07493813649459166,0.56945,0.3695,0.6723
lolo_load3,real_only,25,macro_f1,40,0.50899,0.08146576062276811,0.5314000000000001,0.3187,0.6315
