method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
random_open_loop,sharp,ch5_kurtosis,2.9488381,2.6994406,-0.24939749,-0.529903,-0.084575,0.468627
random_open_loop,sharp,ch5_rms,0.19132361,0.28884335,0.09751974,2.661444,0.509711,0.047059
random_open_loop,sharp,ch5_skewness,0.38125467,-0.078179087,-0.45943376,-1.581678,-1.205057,0.269608
random_open_loop,sharp,ch5_tooth_rms_cv,0.10203803,0.46430473,0.36226671,7.178524,3.550311,0.000000
random_open_loop,sharp,ch5_tpf_amp_ratio,0.055496024,0.047695078,-0.0078009463,-0.257409,-0.140568,0.401961
random_open_loop,sharp,energy_frac_ch0,0.058475151,0.12345283,0.064977677,36.518254,1.111202,0.000000
random_open_loop,sharp,energy_frac_ch1,0.8836246,0.84969299,-0.033931606,-1.000209,-0.038400,0.047059
random_open_loop,sharp,energy_frac_ch2,0.04113655,0.019163881,-0.021972669,-0.641990,-0.534140,0.178431
random_open_loop,sharp,energy_frac_ch3,0.0048482995,0.0044698753,-0.0003784242,-0.139819,-0.078053,0.507843
random_open_loop,sharp,energy_frac_ch4,0.0010649405,0.00090411823,-0.00016082224,-0.362215,-0.151015,0.465686
random_open_loop,sharp,energy_frac_ch5,0.0018104221,0.0023163069,0.00050588482,0.448021,0.279429,0.182353
random_open_loop,sharp,high_band_frac,0.011751773,0.032485966,0.020734192,3.672424,1.764346,0.123529
random_open_loop,sharp,total_rms,1.8646022,2.7025872,0.83798503,1.217685,0.449418,0.052941
random_open_loop,worn,ch0_band0_frac,0.0046332941,0.0062303423,0.0015970483,0.563786,0.344690,0.521799
random_open_loop,worn,ch0_band1_frac,0.98208213,0.94023443,-0.041847692,-6.821374,-0.042611,0.005190
random_open_loop,worn,ch0_band2_frac,0.002728005,0.012113452,0.0093854468,6.175715,3.440407,0.065744
random_open_loop,worn,ch0_band3_frac,0.0026568001,0.015755221,0.013098421,11.001002,4.930149,0.000000
random_open_loop,worn,ch0_band4_frac,0.0030907785,0.016027398,0.01293662,9.926272,4.185554,0.005190
random_open_loop,worn,ch0_band5_frac,0.0031478864,0.013392621,0.010244735,7.535147,3.254480,0.000000
random_open_loop,worn,ch0_crest,1.8972932,2.6289959,0.73170274,4.186237,0.385656,0.108824
random_open_loop,worn,ch0_kurtosis,1.5981081,2.6205311,1.022423,20.419507,0.639771,0.044983
random_open_loop,worn,ch0_rms,1.6641238,2.5667802,0.90265641,1.049367,0.542421,0.093426
random_open_loop,worn,ch0_skewness,-0.011776697,0.0058801577,0.017656854,0.890852,1.499305,0.267647
random_open_loop,worn,ch0_tooth_rms_cv,0.39760559,0.58515371,0.18754812,6.454741,0.471694,0.119377
random_open_loop,worn,ch0_tpf_amp_ratio,0.0030529902,0.010886614,0.0078336238,5.541464,2.565886,0.025952
random_open_loop,worn,ch1_band0_frac,0.65669002,0.71355163,0.056861605,0.088452,0.086588,0.148789
random_open_loop,worn,ch1_band1_frac,0.022030967,0.12210799,0.10007702,1.203296,4.542561,0.229931
random_open_loop,worn,ch1_band2_frac,0.083980745,0.079242275,-0.0047384699,-0.030278,-0.056423,0.281834
random_open_loop,worn,ch1_band3_frac,0.00017600102,0.028413287,0.028237286,105.223377,160.438193,0.300000
random_open_loop,worn,ch1_band4_frac,6.3335488e-05,0.025999984,0.025936649,185.247342,409.512096,0.008651
random_open_loop,worn,ch1_band5_frac,4.343938e-05,0.020222974,0.020179535,223.218680,464.544716,0.000000
random_open_loop,worn,ch1_crest,1.0387061,2.7217981,1.683092,39.961556,1.620374,0.003460
random_open_loop,worn,ch1_kurtosis,2.371822,2.5871735,0.21535152,0.291058,0.090796,0.970588
random_open_loop,worn,ch1_rms,6.5480722,10.501039,3.952967,1.172511,0.603684,0.019031
random_open_loop,worn,ch1_skewness,-0.031065346,-0.050320858,-0.019255512,-0.108359,-0.619839,0.620242
random_open_loop,worn,ch1_tooth_rms_cv,0.017993949,0.62352956,0.60553561,25.824983,33.652181,0.010381
random_open_loop,worn,ch1_tpf_amp_ratio,0.00058047516,0.010604418,0.010023943,9.474043,17.268513,0.010381
random_open_loop,worn,ch2_band0_frac,0.016298047,0.022037923,0.0057398755,0.300194,0.352182,0.846021
random_open_loop,worn,ch2_band1_frac,0.16039355,0.30902128,0.14862774,0.910853,0.926644,0.297405
random_open_loop,worn,ch2_band2_frac,0.29373118,0.46801544,0.17428427,0.852051,0.593346,0.280277
random_open_loop,worn,ch2_band3_frac,0.10298489,0.087973385,-0.015011502,-0.212200,-0.145764,0.463495
random_open_loop,worn,ch2_band4_frac,0.23902639,0.082903887,-0.15612251,-0.636892,-0.653160,0.292388
random_open_loop,worn,ch2_band5_frac,0.013238743,0.022283849,0.0090451059,1.220709,0.683230,0.287197
random_open_loop,worn,ch2_crest,1.374628,2.9730924,1.5984644,7.443402,1.162834,0.020761
random_open_loop,worn,ch2_kurtosis,2.6675527,2.6624455,-0.0051072104,-0.011495,-0.001915,0.652076
random_open_loop,worn,ch2_rms,0.82795875,1.1748738,0.3469151,0.949944,0.419000,0.110727
random_open_loop,worn,ch2_skewness,0.018945702,-0.064467365,-0.083413066,-0.197278,-4.402744,0.702249
random_open_loop,worn,ch2_tooth_rms_cv,0.11990188,0.46787392,0.34797204,4.908647,2.902140,0.017301
random_open_loop,worn,ch2_tpf_amp_ratio,0.10006333,0.068378528,-0.031684799,-0.392170,-0.316647,0.354498
random_open_loop,worn,ch3_band0_frac,0.33678739,0.46442439,0.127637,0.570162,0.378984,0.373702
random_open_loop,worn,ch3_band1_frac,0.14046564,0.12639614,-0.014069498,-0.233296,-0.100163,0.543253
random_open_loop,worn,ch3_band2_frac,0.1506968,0.13819174,-0.012505054,-0.155578,-0.082982,0.521799
