baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
phaseA_v2_random_open_loop,5,11,450,0.4615,0.4543,0.4116,0.3567,0.5947,"[[78,209,13],[1,140,160],[0,135,226]]"
phaseA_v2_random_open_loop,5,12,450,0.4543,0.4597,0.4623,0.3909,0.5260,"[[92,191,17],[6,163,132],[0,179,182]]"
phaseA_v2_random_open_loop,5,13,450,0.4064,0.3415,0.1246,0.4879,0.4121,"[[20,259,21],[1,262,38],[0,252,109]]"
phaseA_v2_random_open_loop,5,14,450,0.4116,0.3659,0.1976,0.4755,0.4244,"[[33,226,41],[1,238,62],[0,236,125]]"
phaseA_v2_random_open_loop,5,15,450,0.4293,0.4044,0.2751,0.4437,0.4943,"[[48,237,15],[1,213,87],[0,209,152]]"
phaseA_v2_random_open_loop,5,16,450,0.4782,0.4689,0.4264,0.4949,0.4854,"[[84,210,6],[10,243,48],[0,228,133]]"
phaseA_v2_random_open_loop,5,17,450,0.3846,0.3021,0.0390,0.4804,0.3868,"[[6,273,21],[2,264,35],[0,261,100]]"
phaseA_v2_random_open_loop,5,18,450,0.4699,0.4807,0.5286,0.3822,0.5314,"[[120,164,16],[25,150,126],[9,170,182]]"
phaseA_v2_random_open_loop,5,19,450,0.4740,0.4711,0.4490,0.4742,0.4900,"[[88,196,16],[4,221,76],[0,214,147]]"
phaseA_v2_random_open_loop,10,0,450,0.4730,0.4706,0.5115,0.4890,0.4112,"[[122,152,26],[40,223,38],[15,236,110]]"
phaseA_v2_random_open_loop,10,1,450,0.4990,0.5054,0.5097,0.4084,0.5980,"[[105,194,1],[7,166,128],[0,152,209]]"
phaseA_v2_random_open_loop,10,2,450,0.4657,0.4686,0.5179,0.2996,0.5882,"[[123,171,6],[35,105,161],[17,124,220]]"
phaseA_v2_random_open_loop,10,3,450,0.4730,0.4815,0.5323,0.4294,0.4829,"[[136,160,4],[45,178,78],[30,190,141]]"
phaseA_v2_random_open_loop,10,4,450,0.4688,0.4711,0.5300,0.3099,0.5733,"[[128,149,23],[39,106,156],[16,128,217]]"
phaseA_v2_random_open_loop,10,5,450,0.4854,0.4825,0.5223,0.5000,0.4253,"[[129,153,18],[42,227,32],[23,227,111]]"
phaseA_v2_random_open_loop,10,6,450,0.4979,0.5030,0.5268,0.4866,0.4957,"[[108,188,4],[2,227,72],[0,217,144]]"
phaseA_v2_random_open_loop,10,7,450,0.4896,0.5001,0.5538,0.3653,0.5813,"[[121,173,6],[14,139,148],[2,148,211]]"
phaseA_v2_random_open_loop,10,8,450,0.4719,0.4797,0.5203,0.3427,0.5763,"[[122,172,6],[36,128,137],[11,146,204]]"
phaseA_v2_random_open_loop,10,9,450,0.4740,0.4779,0.5234,0.3174,0.5930,"[[123,173,4],[31,113,157],[16,125,220]]"
phaseA_v2_random_open_loop,10,10,450,0.4917,0.4779,0.5116,0.2682,0.6540,"[[132,165,3],[51,83,167],[33,70,258]]"
phaseA_v2_random_open_loop,10,11,450,0.4969,0.5043,0.5566,0.3545,0.6018,"[[118,177,5],[4,131,166],[2,130,229]]"
phaseA_v2_random_open_loop,10,12,450,0.4709,0.4753,0.5199,0.3390,0.5669,"[[137,155,8],[53,119,129],[37,127,197]]"
phaseA_v2_random_open_loop,10,13,450,0.4626,0.4686,0.5115,0.3366,0.5577,"[[133,158,9],[56,121,124],[31,139,191]]"
phaseA_v2_random_open_loop,10,14,450,0.4990,0.5078,0.5607,0.4810,0.4818,"[[120,175,5],[8,221,72],[0,222,139]]"
phaseA_v2_random_open_loop,10,15,450,0.4896,0.4789,0.5308,0.2717,0.6341,"[[125,157,18],[34,86,181],[12,89,260]]"
phaseA_v2_random_open_loop,10,16,450,0.4834,0.4931,0.5278,0.4144,0.5371,"[[128,165,7],[39,167,95],[18,173,170]]"
phaseA_v2_random_open_loop,10,17,450,0.4979,0.5102,0.5660,0.3856,0.5789,"[[120,176,4],[3,150,148],[1,151,209]]"
phaseA_v2_random_open_loop,10,18,450,0.4813,0.4946,0.5467,0.4185,0.5186,"[[120,172,8],[17,176,108],[2,192,167]]"
phaseA_v2_random_open_loop,10,19,450,0.4979,0.5042,0.5522,0.4900,0.4704,"[[119,159,22],[11,221,69],[1,221,139]]"
phaseA_v2_random_open_loop,25,0,450,0.4865,0.4934,0.5668,0.3785,0.5347,"[[157,129,14],[57,134,110],[40,144,177]]"
phaseA_v2_random_open_loop,25,1,450,0.5405,0.5238,0.6529,0.2926,0.6259,"[[190,89,21],[53,79,169],[39,71,251]]"
phaseA_v2_random_open_loop,25,2,450,0.5083,0.5144,0.6109,0.3942,0.5381,"[[179,119,2],[57,137,107],[50,138,173]]"
phaseA_v2_random_open_loop,25,3,450,0.5333,0.5350,0.7034,0.3748,0.5268,"[[217,74,9],[57,119,125],[43,141,177]]"
phaseA_v2_random_open_loop,25,4,450,0.5541,0.5505,0.6232,0.4207,0.6077,"[[177,79,44],[53,126,122],[38,93,230]]"
phaseA_v2_random_open_loop,25,5,450,0.5177,0.5073,0.6168,0.2847,0.6205,"[[173,116,11],[52,83,166],[36,83,242]]"
phaseA_v2_random_open_loop,25,6,450,0.5530,0.5424,0.6438,0.3253,0.6582,"[[178,119,3],[42,95,164],[33,69,259]]"
phaseA_v2_random_open_loop,25,7,450,0.5312,0.5363,0.5486,0.4415,0.6189,"[[144,151,5],[50,164,87],[31,127,203]]"
phaseA_v2_random_open_loop,25,8,450,0.5301,0.5351,0.5982,0.4104,0.5968,"[[166,128,6],[51,142,108],[38,121,202]]"
phaseA_v2_random_open_loop,25,9,450,0.5218,0.5190,0.6032,0.3349,0.6189,"[[168,130,2],[48,105,148],[41,91,229]]"
phaseA_v2_random_open_loop,25,10,450,0.5270,0.5314,0.5993,0.4018,0.5930,"[[166,123,11],[52,137,112],[36,121,204]]"
phaseA_v2_random_open_loop,25,11,450,0.5052,0.5139,0.5893,0.3967,0.5557,"[[160,138,2],[47,144,110],[36,143,182]]"
phaseA_v2_random_open_loop,25,12,450,0.5489,0.5348,0.6472,0.3102,0.6471,"[[188,105,7],[53,87,161],[40,68,253]]"
phaseA_v2_random_open_loop,25,13,450,0.5031,0.4931,0.5878,0.2784,0.6132,"[[169,127,4],[57,82,162],[49,79,233]]"
phaseA_v2_random_open_loop,25,14,450,0.5426,0.5420,0.6275,0.3619,0.6365,"[[160,134,6],[25,116,160],[25,90,246]]"
phaseA_v2_random_open_loop,25,15,450,0.5686,0.5526,0.6314,0.3435,0.6829,"[[185,111,4],[57,96,148],[44,51,266]]"
phaseA_v2_random_open_loop,25,16,450,0.5665,0.5457,0.6436,0.3178,0.6757,"[[186,102,12],[52,85,164],[40,47,274]]"
phaseA_v2_random_open_loop,25,17,450,0.5062,0.5114,0.5528,0.3950,0.5863,"[[136,150,14],[30,142,129],[26,126,209]]"
phaseA_v2_random_open_loop,25,18,450,0.5198,0.5277,0.5760,0.4075,0.5997,"[[127,163,10],[4,152,145],[10,130,221]]"
phaseA_v2_random_open_loop,25,19,450,0.5208,0.5244,0.6678,0.3794,0.5260,"[[204,93,3],[58,125,118],[49,140,172]]"
phaseA_v2_random_open_loop,50,0,450,0.6653,0.6657,0.7642,0.5807,0.6522,"[[243,47,10],[51,187,63],[42,109,210]]"
