source,class,slot,accepted_slot,n_candidates,n_feasible_expansions
rule,healthy,46,False,1,0
rule,healthy,47,False,1,0
rule,healthy,48,False,1,0
rule,healthy,49,False,1,0
rule,healthy,50,False,1,0
rule,healthy,51,False,1,0
rule,healthy,52,True,1,4
rule,healthy,53,False,1,0
rule,healthy,54,False,1,0
rule,healthy,55,False,1,0
rule,healthy,56,False,1,0
rule,healthy,57,False,1,0
rule,healthy,58,True,1,4
rule,healthy,59,True,1,3
rule,healthy,60,True,1,4
rule,healthy,61,True,1,4
rule,healthy,62,False,1,0
rule,healthy,63,False,1,0
rule,healthy,64,False,1,0
rule,healthy,65,True,1,2
rule,healthy,66,True,1,4
rule,healthy,67,False,1,0
rule,healthy,68,False,1,0
rule,healthy,69,False,1,0
rule,healthy,70,True,1,4
rule,healthy,71,True,1,4
rule,healthy,72,False,1,0
rule,healthy,73,False,1,0
rule,healthy,74,True,1,4
rule,healthy,75,False,1,0
rule,healthy,76,True,1,4
rule,healthy,77,True,1,4
rule,healthy,78,False,1,0
rule,healthy,79,True,1,4
rule,healthy,80,False,1,0
rule,healthy,81,False,1,0
rule,healthy,82,False,1,0
rule,healthy,83,True,1,3
rule,healthy,84,False,1,0
rule,healthy,85,False,1,0
rule,healthy,86,False,1,0
rule,healthy,87,False,1,0
rule,healthy,88,True,1,4
rule,healthy,89,True,1,4
rule,healthy,90,False,1,0
rule,healthy,91,False,1,0
rule,healthy,92,False,1,0
rule,healthy,93,False,1,0
rule,healthy,94,False,1,0
rule,healthy,95,True,1,4
rule,healthy,96,True,1,3
rule,healthy,97,True,1,3
rule,healthy,98,True,1,2
rule,healthy,99,False,1,0
rule,healthy,100,False,1,0
rule,healthy,101,False,1,0
rule,healthy,102,False,1,0
rule,healthy,103,False,1,0
rule,healthy,104,True,1,3
rule,healthy,105,True,1,4
rule,healthy,106,False,1,0
rule,healthy,107,False,1,0
rule,healthy,108,False,1,0
rule,healthy,109,False,1,0
rule,healthy,110,False,1,0
rule,healthy,111,True,1,4
rule,healthy,112,False,1,0
rule,healthy,113,False,1,0
rule,healthy,114,True,1,4
rule,healthy,115,True,1,4
rule,healthy,116,True,1,4
rule,healthy,117,True,1,4
rule,healthy,118,False,1,0
rule,healthy,119,True,1,4
rule,healthy,120,False,1,0
rule,healthy,121,True,1,3
rule,healthy,122,False,1,0
rule,healthy,123,False,1,0
rule,healthy,124,True,1,3
rule,healthy,125,True,1,4
rule,healthy,126,False,1,0
rule,healthy,127,False,1,0
rule,healthy,128,False,1,0
rule,healthy,129,False,1,0
rule,healthy,130,False,1,0
rule,healthy,131,True,1,2
rule,healthy,132,False,1,0
rule,healthy,133,False,1,0
rule,healthy,134,False,1,0
rule,healthy,135,False,1,0
rule,healthy,136,False,1,0
rule,healthy,137,False,1,0
rule,healthy,138,False,1,0
rule,healthy,139,False,1,0
rule,healthy,140,True,1,4
rule,healthy,141,True,1,4
rule,healthy,142,False,1,0
rule,healthy,143,True,1,3
rule,healthy,144,False,1,0
rule,healthy,145,False,1,0
rule,healthy,146,False,1,0
rule,healthy,147,True,1,4
rule,healthy,148,False,1,0
rule,healthy,149,False,1,0
