dataset,method,class,metric,metric_label,method_distance,rule_distance,log2_ratio,n_pool,status
berkeley,llm,degraded,rms_w1,RMS-W1,0.5663043549,0.5583219615,0.020480318842762472,20,available
berkeley,llm,degraded,kurtosis_w1,Kurtosis-W1,,,,20,NA: metric unavailable
berkeley,llm,degraded,psd_w1_mean,PSD-W1,2.920279567,5.630316205,-0.947109458805015,20,available
berkeley,llm,degraded,band_energy_relative_error_mean,Band error,0.2369595129,0.2352461629,0.01046938875392458,20,available
berkeley,llm,degraded,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
berkeley,noise_aug,healthy,rms_w1,RMS-W1,0.1180656104,0.366441503,-1.6339941072363506,20,available
berkeley,noise_aug,healthy,kurtosis_w1,Kurtosis-W1,,,,20,NA: metric unavailable
berkeley,noise_aug,healthy,psd_w1_mean,PSD-W1,10.46463711,3.245105695,1.6891849095248679,20,available
berkeley,noise_aug,healthy,band_energy_relative_error_mean,Band error,7.996137054,0.2512796798,4.991937285302776,20,available
berkeley,noise_aug,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
berkeley,noise_aug,degraded,rms_w1,RMS-W1,0.1738705486,0.5583219615,-1.6830837257577471,20,available
berkeley,noise_aug,degraded,kurtosis_w1,Kurtosis-W1,,,,20,NA: metric unavailable
berkeley,noise_aug,degraded,psd_w1_mean,PSD-W1,10.78344585,5.630316205,0.937530411851004,20,available
berkeley,noise_aug,degraded,band_energy_relative_error_mean,Band error,10.8917897,0.2352461629,5.532926030458792,20,available
berkeley,noise_aug,degraded,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
berkeley,random_open_loop,healthy,rms_w1,RMS-W1,0.5374749408,0.366441503,0.5526145804604695,20,available
berkeley,random_open_loop,healthy,kurtosis_w1,Kurtosis-W1,,,,20,NA: metric unavailable
berkeley,random_open_loop,healthy,psd_w1_mean,PSD-W1,5.046297033,3.245105695,0.6369596597032149,20,available
berkeley,random_open_loop,healthy,band_energy_relative_error_mean,Band error,1.841743485,0.2512796798,2.8737062244084717,20,available
berkeley,random_open_loop,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
berkeley,random_open_loop,degraded,rms_w1,RMS-W1,0.6526900522,0.5583219615,0.2253007456208535,20,available
berkeley,random_open_loop,degraded,kurtosis_w1,Kurtosis-W1,,,,20,NA: metric unavailable
berkeley,random_open_loop,degraded,psd_w1_mean,PSD-W1,6.663656725,5.630316205,0.24309813490700724,20,available
berkeley,random_open_loop,degraded,band_energy_relative_error_mean,Band error,3.205960813,0.2352461629,3.768513694834755,20,available
berkeley,random_open_loop,degraded,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
