class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
OR,random_open_loop,7.8125,9.095873200521478e-05,0.00024632855446083914,0.000692783801606977,150,500-2000
OR,random_open_loop,11.71875,8.325217406082711e-05,0.000292339835406295,0.0006152141961819222,150,500-2000
OR,random_open_loop,15.625,8.179089085901304e-05,0.00023770135774308466,0.000606964718226053,150,500-2000
OR,random_open_loop,19.53125,8.71139197790493e-05,0.00020947802793599323,0.0006144717364739485,150,500-2000
OR,random_open_loop,23.4375,8.596888654411878e-05,0.00021405507905912377,0.0005890647894798559,150,500-2000
OR,random_open_loop,27.34375,8.79238295506043e-05,0.0002350105098022885,0.0007385657156202044,150,500-2000
OR,random_open_loop,31.25,8.928330040702103e-05,0.0002473279470843894,0.0006353431016413824,150,500-2000
OR,random_open_loop,35.15625,9.483542710245144e-05,0.0002450947561834291,0.0006406518898649091,150,500-2000
OR,random_open_loop,39.0625,0.0001009124451956165,0.0002496676171613689,0.0007612223600509695,150,500-2000
OR,random_open_loop,42.96875,0.00017753235062852642,0.0005014920907093312,0.0015476660812574403,150,500-2000
OR,random_open_loop,46.875,0.00019694418498142444,0.0007124100406815897,0.0018922651627427838,150,500-2000
OR,random_open_loop,50.78125,0.00011999765486457902,0.0003300103558831598,0.0010469523671333362,150,500-2000
OR,random_open_loop,54.6875,8.749011319952497e-05,0.0002589455923339741,0.0006018991765823821,150,500-2000
OR,random_open_loop,58.59375,9.214974669030797e-05,0.00022107380258853813,0.0005623630738168662,150,500-2000
OR,random_open_loop,62.5,8.012393186832055e-05,0.00021575388204397183,0.000621782233421719,150,500-2000
OR,random_open_loop,66.40625,8.835935166373875e-05,0.0002066702201919312,0.0006842705863118431,150,500-2000
OR,random_open_loop,70.3125,0.0001056909996250787,0.0002119516747195345,0.0005791477719527509,150,500-2000
OR,random_open_loop,74.21875,7.55052516381899e-05,0.00022844906769455497,0.0006465904717370812,150,500-2000
OR,random_open_loop,78.125,9.067028946064115e-05,0.00024026533643811319,0.0005070584870939756,150,500-2000
OR,random_open_loop,82.03125,7.47254025698624e-05,0.0002308423280812168,0.0005393332347708626,150,500-2000
OR,random_open_loop,85.9375,8.887366874362284e-05,0.00027091676471316373,0.0007417567620654468,150,500-2000
OR,random_open_loop,89.84375,0.00015039126290431005,0.0005848553535571049,0.0015299830307299973,150,500-2000
OR,random_open_loop,93.75,0.00018603841392192153,0.0006046085454501127,0.001477729171306379,150,500-2000
OR,random_open_loop,97.65625,0.00012537899597135537,0.0002526152117509437,0.0007806734065523972,150,500-2000
OR,random_open_loop,101.5625,0.00010997740934620306,0.00023618850857185514,0.0006233194615825308,150,500-2000
OR,random_open_loop,105.46875,8.582411525782661e-05,0.00021470070323637111,0.0005231913821063525,150,500-2000
OR,random_open_loop,109.375,8.098340335593139e-05,0.00021375285450346427,0.000589931636968562,150,500-2000
OR,random_open_loop,113.28125,7.903906495663148e-05,0.00018095678949493527,0.000575488852598499,150,500-2000
OR,random_open_loop,117.1875,7.441566558133413e-05,0.00019941225186306238,0.0006607678293643352,150,500-2000
OR,random_open_loop,121.09375,7.940168891770928e-05,0.0001983733942714303,0.0006126178687097652,150,500-2000
OR,random_open_loop,125.0,8.552418918034044e-05,0.00021527909336447785,0.0005140038785502391,150,500-2000
OR,random_open_loop,128.90625,8.024347060086218e-05,0.0002197671253209274,0.0005900571619427419,150,500-2000
OR,random_open_loop,132.8125,0.00011279400316719969,0.0003031860490499117,0.000687650259090262,150,500-2000
OR,random_open_loop,136.71875,0.00014685326712551058,0.0005673546056865158,0.001449931051853044,150,500-2000
