method,class,channel,band,real_frac,method_frac,delta
rule,sharp,vib_spindle,70-100,0.156027,0.074984,-0.081043
rule,sharp,vib_spindle,100-125,0.057991,0.083407,0.025416
rule,sharp,AE_table,0-8,0.066627,0.041844,-0.024783
rule,sharp,AE_table,8-20,0.356623,0.308592,-0.048032
rule,sharp,AE_table,20-40,0.223879,0.282455,0.058577
rule,sharp,AE_table,40-70,0.139254,0.184835,0.045582
rule,sharp,AE_table,70-100,0.166297,0.095725,-0.070573
rule,sharp,AE_table,100-125,0.047321,0.086549,0.039229
rule,sharp,AE_spindle,0-8,0.041541,0.035306,-0.006235
rule,sharp,AE_spindle,8-20,0.373351,0.252771,-0.120581
rule,sharp,AE_spindle,20-40,0.325461,0.442888,0.117427
rule,sharp,AE_spindle,40-70,0.131478,0.167908,0.036431
rule,sharp,AE_spindle,70-100,0.085430,0.051584,-0.033846
rule,sharp,AE_spindle,100-125,0.042739,0.049543,0.006804
rule,worn,smcAC,0-8,0.004151,0.013142,0.008991
rule,worn,smcAC,8-20,0.985060,0.969430,-0.015630
rule,worn,smcAC,20-40,0.003068,0.007589,0.004521
rule,worn,smcAC,40-70,0.002552,0.003076,0.000525
rule,worn,smcAC,70-100,0.002816,0.003264,0.000448
rule,worn,smcAC,100-125,0.002354,0.003499,0.001145
rule,worn,smcDC,0-8,0.927060,0.616341,-0.310719
rule,worn,smcDC,8-20,0.025119,0.166238,0.141119
rule,worn,smcDC,20-40,0.040522,0.214658,0.174136
rule,worn,smcDC,40-70,0.006290,0.001598,-0.004692
rule,worn,smcDC,70-100,0.000814,0.000713,-0.000101
rule,worn,smcDC,100-125,0.000195,0.000452,0.000257
rule,worn,vib_table,0-8,0.052770,0.015650,-0.037120
rule,worn,vib_table,8-20,0.214616,0.256432,0.041815
rule,worn,vib_table,20-40,0.287798,0.446326,0.158528
rule,worn,vib_table,40-70,0.114899,0.104112,-0.010787
rule,worn,vib_table,70-100,0.317423,0.165479,-0.151944
rule,worn,vib_table,100-125,0.012494,0.012001,-0.000493
rule,worn,vib_spindle,0-8,0.110530,0.399909,0.289379
rule,worn,vib_spindle,8-20,0.229694,0.186515,-0.043179
rule,worn,vib_spindle,20-40,0.225050,0.142089,-0.082961
rule,worn,vib_spindle,40-70,0.220972,0.095481,-0.125491
rule,worn,vib_spindle,70-100,0.147118,0.077111,-0.070006
rule,worn,vib_spindle,100-125,0.066637,0.098894,0.032258
rule,worn,AE_table,0-8,0.105419,0.090194,-0.015225
rule,worn,AE_table,8-20,0.194408,0.262574,0.068165
rule,worn,AE_table,20-40,0.184379,0.214334,0.029955
rule,worn,AE_table,40-70,0.123423,0.153294,0.029872
rule,worn,AE_table,70-100,0.354388,0.234288,-0.120100
rule,worn,AE_table,100-125,0.037983,0.045316,0.007333
rule,worn,AE_spindle,0-8,0.164121,0.126857,-0.037264
rule,worn,AE_spindle,8-20,0.209481,0.229899,0.020418
rule,worn,AE_spindle,20-40,0.213533,0.225067,0.011534
rule,worn,AE_spindle,40-70,0.117671,0.134350,0.016679
rule,worn,AE_spindle,70-100,0.260681,0.233035,-0.027646
rule,worn,AE_spindle,100-125,0.034514,0.050791,0.016278
rule,severe,smcAC,0-8,0.003696,0.007953,0.004257
rule,severe,smcAC,8-20,0.986361,0.977810,-0.008551
