baseline,n_real,seed,n_syn,acc,f1
open_loop_basic,50,6,300,0.5479,0.4759
open_loop_basic,50,7,300,0.5003,0.4013
open_loop_phys,10,0,300,0.3003,0.1581
open_loop_phys,10,1,300,0.0903,0.0631
open_loop_phys,10,2,300,0.1479,0.0887
open_loop_phys,10,3,300,0.1878,0.1697
open_loop_phys,10,4,300,0.0825,0.0779
open_loop_phys,10,5,300,0.2199,0.1246
open_loop_phys,10,6,300,0.3119,0.1716
open_loop_phys,10,7,300,0.2637,0.1444
open_loop_phys,25,0,300,0.3335,0.2805
open_loop_phys,25,1,300,0.2931,0.2472
open_loop_phys,25,2,300,0.3091,0.3059
open_loop_phys,25,3,300,0.2172,0.1732
open_loop_phys,25,4,300,0.3114,0.2627
open_loop_phys,25,5,300,0.2205,0.1824
open_loop_phys,25,6,300,0.2083,0.1620
open_loop_phys,25,7,300,0.3280,0.2760
open_loop_phys,50,0,300,0.5141,0.5305
open_loop_phys,50,1,300,0.3235,0.2719
open_loop_phys,50,2,300,0.3385,0.2910
open_loop_phys,50,3,300,0.5407,0.5521
open_loop_phys,50,4,300,0.3357,0.2942
open_loop_phys,50,5,300,0.3767,0.3824
open_loop_phys,50,6,300,0.6632,0.5318
open_loop_phys,50,7,300,0.3307,0.2802
stats_only,10,0,20,0.6659,0.5333
stats_only,10,1,20,0.6504,0.5254
stats_only,10,2,20,0.6659,0.5330
stats_only,10,3,20,0.4366,0.3828
stats_only,10,4,20,0.5291,0.4545
stats_only,10,5,20,0.0914,0.0813
stats_only,10,6,20,0.6654,0.5327
stats_only,10,7,20,0.6083,0.5046
stats_only,25,0,20,0.6659,0.5330
stats_only,25,1,20,0.6526,0.5265
stats_only,25,2,20,0.6449,0.5236
stats_only,25,3,20,0.6648,0.5324
stats_only,25,4,20,0.6316,0.5158
stats_only,25,5,20,0.2781,0.1487
stats_only,25,6,20,0.6643,0.5322
stats_only,25,7,20,0.6659,0.5330
stats_only,50,0,20,0.5939,0.5544
stats_only,50,1,20,0.6687,0.6383
stats_only,50,2,20,0.6105,0.5941
stats_only,50,3,20,0.6116,0.5091
stats_only,50,4,20,0.6449,0.6285
stats_only,50,5,20,0.6438,0.5222
stats_only,50,6,20,0.6271,0.5135
stats_only,50,7,20,0.6488,0.5372
envelope_only,10,0,300,0.2958,0.1560
envelope_only,10,1,300,0.1474,0.1262
envelope_only,10,2,300,0.1928,0.1121
envelope_only,10,3,300,0.2022,0.1801
envelope_only,10,4,300,0.2648,0.2288
envelope_only,10,5,300,0.2537,0.2012
envelope_only,10,6,300,0.1208,0.0809
envelope_only,10,7,300,0.1884,0.1101
envelope_only,25,0,300,0.3368,0.2860
envelope_only,25,1,300,0.3141,0.2645
envelope_only,25,2,300,0.3878,0.3871
envelope_only,25,3,300,0.3330,0.2810
envelope_only,25,4,300,0.3280,0.2762
envelope_only,25,5,300,0.2593,0.1407
envelope_only,25,6,300,0.2266,0.1820
envelope_only,25,7,300,0.3224,0.2715
envelope_only,50,0,300,0.5335,0.5483
envelope_only,50,1,300,0.3202,0.2689
envelope_only,50,2,300,0.3346,0.2798
envelope_only,50,3,300,0.4438,0.4553
envelope_only,50,4,300,0.4814,0.4975
envelope_only,50,5,300,0.3102,0.1598
envelope_only,50,6,300,0.6654,0.5352
envelope_only,50,7,300,0.3573,0.3247
breeze_k0,10,0,8,0.5989,0.4939
breeze_k0,10,1,8,0.6659,0.5330
breeze_k0,10,2,8,0.6659,0.5330
breeze_k0,10,3,8,0.4332,0.3701
breeze_k0,10,4,8,0.5069,0.4388
breeze_k0,10,5,8,0.5003,0.4006
breeze_k0,10,6,8,0.5723,0.4825
breeze_k0,10,7,8,0.6659,0.5335
breeze_k0,25,0,8,0.6654,0.5327
breeze_k0,25,1,8,0.6659,0.5330
breeze_k0,25,2,8,0.6543,0.5273
breeze_k0,25,3,8,0.6194,0.5093
breeze_k0,25,4,8,0.5972,0.4971
breeze_k0,25,5,8,0.6454,0.5328
breeze_k0,25,6,8,0.5507,0.4689
breeze_k0,25,7,8,0.6659,0.5330
breeze_k0,50,0,8,0.6532,0.6402
breeze_k0,50,1,8,0.6748,0.6616
breeze_k0,50,2,8,0.6388,0.5822
breeze_k0,50,3,8,0.6471,0.5275
breeze_k0,50,4,8,0.6659,0.5330
breeze_k0,50,5,8,0.6615,0.5315
breeze_k0,50,6,8,0.6604,0.5303
breeze_k0,50,7,8,0.6648,0.5324
breeze_k1,10,0,105,0.2958,0.1551
breeze_k1,10,1,121,0.3485,0.3134
breeze_k1,10,2,109,0.6399,0.5120
breeze_k1,10,3,116,0.3452,0.3482
breeze_k1,10,4,104,0.6094,0.5039
breeze_k1,10,5,123,0.2587,0.2182
breeze_k1,10,6,116,0.3706,0.3160
breeze_k1,10,7,115,0.2604,0.1424
breeze_k1,25,0,150,0.5097,0.4205
breeze_k1,25,1,136,0.5086,0.5063
breeze_k1,25,2,130,0.6460,0.6422
breeze_k1,25,3,148,0.4875,0.4819
breeze_k1,25,4,145,0.2643,0.2247
breeze_k1,25,5,136,0.2438,0.1341
breeze_k1,25,6,136,0.2953,0.1625
breeze_k1,25,7,143,0.5163,0.4047
breeze_k1,50,0,145,0.6604,0.6484
breeze_k1,50,1,147,0.3263,0.2796
breeze_k1,50,2,148,0.3385,0.3139
breeze_k1,50,3,146,0.6587,0.6467
breeze_k1,50,4,149,0.3230,0.2735
breeze_k1,50,5,145,0.5878,0.5918
breeze_k1,50,6,146,0.5368,0.5009
breeze_k1,50,7,149,0.6765,0.6626
breeze_k2,10,0,144,0.6493,0.5330
breeze_k2,10,1,176,0.4449,0.3576
breeze_k2,10,2,150,0.6050,0.4835
breeze_k2,10,3,157,0.2825,0.2486
breeze_k2,10,4,141,0.4161,0.3038
breeze_k2,10,5,175,0.1762,0.1444
breeze_k2,10,6,186,0.2604,0.1572
breeze_k2,10,7,162,0.2715,0.1499
breeze_k2,25,0,246,0.2582,0.1687
breeze_k2,25,1,221,0.3706,0.3674
breeze_k2,25,2,194,0.3745,0.3097
breeze_k2,25,3,241,0.3302,0.3279
breeze_k2,25,4,236,0.1812,0.1148
breeze_k2,25,5,219,0.2288,0.1274
breeze_k2,25,6,214,0.2654,0.1445
breeze_k2,25,7,229,0.3756,0.3327
breeze_k2,50,0,235,0.5385,0.5298
breeze_k2,50,1,244,0.3302,0.2813
breeze_k2,50,2,239,0.3053,0.2689
breeze_k2,50,3,237,0.3717,0.3610
breeze_k2,50,4,242,0.2604,0.2317
breeze_k2,50,5,238,0.2321,0.1306
breeze_k2,50,6,241,0.6028,0.4938
breeze_k2,50,7,245,0.6416,0.5209
breeze_k3,10,0,164,0.2997,0.1609
breeze_k3,10,1,200,0.1839,0.1301
breeze_k3,10,2,162,0.2914,0.1684
breeze_k3,10,3,170,0.3274,0.3139
breeze_k3,10,4,152,0.4222,0.4019
breeze_k3,10,5,203,0.1668,0.0989
breeze_k3,10,6,218,0.1950,0.1283
breeze_k3,10,7,180,0.2410,0.1331
breeze_k3,25,0,297,0.2698,0.2565
breeze_k3,25,1,265,0.3202,0.2214
breeze_k3,25,2,226,0.2271,0.1406
breeze_k3,25,3,295,0.2576,0.2520
breeze_k3,25,4,277,0.1695,0.1046
breeze_k3,25,5,261,0.1695,0.0993
breeze_k3,25,6,256,0.1629,0.1054
breeze_k3,25,7,279,0.4277,0.3798
breeze_k3,50,0,272,0.3147,0.2674
breeze_k3,50,1,288,0.3274,0.2766
breeze_k3,50,2,293,0.5163,0.5005
breeze_k3,50,3,277,0.4648,0.4629
breeze_k3,50,4,296,0.3341,0.1931
breeze_k3,50,5,276,0.2449,0.1370
breeze_k3,50,6,282,0.4249,0.3252
breeze_k3,50,7,293,0.3335,0.1703
