baseline,n_real,seed,n_syn,acc,f1
breeze_k2,50,1,600,0.8430,0.8477
breeze_k2,50,2,600,0.8378,0.8396
breeze_k2,50,3,547,0.8347,0.8383
breeze_k2,50,4,600,0.8534,0.8514
breeze_k2,50,5,600,0.8493,0.8534
breeze_k2,50,6,600,0.8430,0.8473
breeze_k2,50,7,600,0.8576,0.8599
breeze_k3,10,0,264,0.5800,0.5806
breeze_k3,10,1,418,0.7640,0.7643
breeze_k3,10,2,466,0.7277,0.7217
breeze_k3,10,3,463,0.8025,0.8087
breeze_k3,10,4,426,0.7339,0.7367
breeze_k3,10,5,306,0.7339,0.7423
breeze_k3,10,6,302,0.7734,0.7777
breeze_k3,10,7,343,0.7110,0.7115
breeze_k3,25,0,578,0.7495,0.7596
breeze_k3,25,1,489,0.8222,0.8113
breeze_k3,25,2,556,0.7973,0.8024
breeze_k3,25,3,552,0.7672,0.7702
breeze_k3,25,4,566,0.7796,0.7876
breeze_k3,25,5,594,0.7609,0.7653
breeze_k3,25,6,513,0.7911,0.7721
breeze_k3,25,7,600,0.8077,0.8137
breeze_k3,50,0,600,0.8087,0.8115
breeze_k3,50,1,600,0.8337,0.8387
breeze_k3,50,2,600,0.8337,0.8343
breeze_k3,50,3,556,0.8202,0.8240
breeze_k3,50,4,600,0.8274,0.8218
breeze_k3,50,5,600,0.8347,0.8384
breeze_k3,50,6,600,0.8399,0.8427
breeze_k3,50,7,600,0.8555,0.8577
